Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0104, 1470, 1024, 1024, 0.0478349, 0.00373834, 0.0537109, 0.0351562, 48, 3.82806, 55, 36, 0.0203998, 0.00536546, 0.0671301, 0.0118702
30.0037, 1503, 1024, 1024, 0.0489198, 0.00301426, 0.0537109, 0.0429688, 50, 3.0866, 55, 44, 0.0199472, 0.00474966, 0.0520611, 0.0108629
30.0137, 1507, 1024, 1024, 0.0490336, 0.00279056, 0.0537109, 0.0410156, 50, 2.85754, 55, 42, 0.0199009, 0.00495869, 0.0774806, 0.0121377
30.0075, 1431, 1024, 1024, 0.0465704, 0.00416168, 0.0537109, 0.03125, 47, 4.26156, 55, 32, 0.020954, 0.00867366, 0.289852, 0.0136225
30.0174, 1474, 1024, 1024, 0.0479539, 0.00225552, 0.0527344, 0.0410156, 49, 2.30965, 54, 42, 0.0203492, 0.00583018, 0.106735, 0.0114127
30.0109, 1479, 1024, 1024, 0.048127, 0.00214466, 0.0517578, 0.0419922, 49, 2.19613, 53, 43, 0.0202757, 0.00565715, 0.0715981, 0.0116782
30.0086, 1532, 1024, 1024, 0.0498554, 0.00348333, 0.0546875, 0.0371094, 51, 3.56693, 56, 38, 0.0195722, 0.00757045, 0.221019, 0.0114866
30.0099, 1467, 1024, 1024, 0.0477382, 0.00348569, 0.0537109, 0.0400391, 48, 3.56935, 55, 41, 0.0204422, 0.00857099, 0.157852, 0.0105274
30.0051, 1441, 1024, 1024, 0.0468996, 0.00222574, 0.0507812, 0.0429688, 48, 2.27916, 52, 44, 0.0208069, 0.00517086, 0.0673152, 0.0126276
30.0052, 1495, 2048, 2048, 0.097314, 0.00449246, 0.105469, 0.0898438, 49, 2.30014, 54, 46, 0.0200549, 0.00494946, 0.059181, 0.0113157
30.0175, 1470, 2048, 2048, 0.0956474, 0.00539131, 0.107422, 0.0839844, 48, 2.76035, 55, 43, 0.0204047, 0.0057479, 0.0893246, 0.0129395
30.025, 1559, 2048, 2048, 0.101413, 0.0050499, 0.113281, 0.0878906, 51, 2.58555, 58, 45, 0.0192433, 0.00598644, 0.0751601, 0.0108106
30.0044, 1523, 2048, 2048, 0.0991392, 0.0047763, 0.109375, 0.09375, 50, 2.44546, 56, 48, 0.0196852, 0.00540455, 0.0885973, 0.0112895
30.0083, 1472, 2048, 2048, 0.0958068, 0.00501199, 0.107422, 0.0859375, 49, 2.56614, 55, 44, 0.0203712, 0.00618811, 0.128566, 0.0105142
30.0201, 1400, 2048, 2048, 0.0910848, 0.0189882, 0.109375, 0.0449219, 46, 9.72194, 56, 23, 0.021427, 0.011977, 0.116383, 0.0120633
30.0001, 1533, 2048, 2048, 0.0998044, 0.00691486, 0.111328, 0.0859375, 51, 3.54041, 57, 44, 0.0195542, 0.00593917, 0.0679101, 0.010854
30.0118, 1500, 2048, 2048, 0.0976179, 0.00541566, 0.105469, 0.0859375, 49, 2.77282, 54, 44, 0.0199919, 0.00558846, 0.0917349, 0.0108042
30.0189, 1466, 2048, 2048, 0.0953826, 0.00866028, 0.107422, 0.0644531, 48, 4.43406, 55, 33, 0.0204616, 0.00965711, 0.288312, 0.0118798
30.0049, 1407, 4096, 4096, 0.183173, 0.00833389, 0.203125, 0.164062, 46, 2.13348, 52, 42, 0.0213099, 0.0054008, 0.0691885, 0.0117558
30.0112, 1487, 4096, 4096, 0.193548, 0.0108434, 0.210938, 0.167969, 49, 2.77592, 54, 43, 0.020167, 0.00593617, 0.0844148, 0.0118645
30.0178, 1472, 4096, 4096, 0.191553, 0.0103341, 0.210938, 0.171875, 49, 2.64553, 54, 44, 0.0203768, 0.00577482, 0.0675526, 0.0117166
30.0011, 1516, 4096, 4096, 0.197388, 0.00895139, 0.214844, 0.175781, 50, 2.29156, 55, 45, 0.0197738, 0.00511523, 0.0705513, 0.0101476
30.0147, 1472, 4096, 4096, 0.191573, 0.0114454, 0.210938, 0.171875, 49, 2.93003, 54, 44, 0.0203751, 0.00570933, 0.0759149, 0.0114598
