Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0314, 562, 4194304, 4194304, 74.8549, 18, 9.92501, 29, 0, 0.0526029, 1.09175, 0.00894648
30.0372, 742, 4194304, 4194304, 98.8108, 24, 2.05359, 29, 20, 0.0396927, 0.140287, 0.0110257
30.0332, 742, 4194304, 4194304, 98.8239, 24, 1.4657, 27, 21, 0.0396436, 0.123329, 0.00774334
30.0215, 750, 4194304, 4194304, 99.9284, 24, 1.35146, 27, 21, 0.0391869, 0.102452, 0.0125915
30.0466, 741, 4194304, 4194304, 98.6466, 24, 1.70867, 28, 20, 0.0397061, 0.146409, 0.0117318
30.0163, 751, 4194304, 4194304, 100.079, 25, 1.5086, 28, 22, 0.0392045, 0.120647, 0.0082253
30.0049, 739, 4194304, 4194304, 98.5173, 24, 1.93681, 28, 20, 0.0398264, 0.129283, 0.00800073
30.0237, 750, 4194304, 4194304, 99.9212, 24, 1.42595, 27, 23, 0.039246, 0.117574, 0.00848155
30.0138, 742, 4194304, 4194304, 98.8878, 24, 1.53466, 27, 21, 0.0396447, 0.113152, 0.00865556
30.0194, 1446, 4194304, 4194304, 192.675, 48, 2.82517, 53, 41, 0.0406638, 0.177685, 0.00884126
30.0348, 1469, 4194304, 4194304, 195.64, 48, 2.04011, 54, 46, 0.039997, 0.14151, 0.00810023
30.0338, 1504, 4194304, 4194304, 200.308, 50, 2.01603, 54, 46, 0.039093, 0.109162, 0.00790756
30.0364, 1487, 4194304, 4194304, 198.026, 49, 2.31561, 54, 45, 0.0395361, 0.124879, 0.00996154
30.0299, 1483, 4194304, 4194304, 197.537, 49, 2.84645, 55, 44, 0.0396863, 0.109901, 0.00826215
30.0258, 1473, 4194304, 4194304, 196.231, 49, 2.57954, 54, 44, 0.0399333, 0.115339, 0.00876819
30.0146, 1493, 4194304, 4194304, 198.97, 49, 2.4516, 55, 44, 0.0393872, 0.128837, 0.00976445
30.031, 1495, 4194304, 4194304, 199.127, 49, 2.45511, 54, 45, 0.03935, 0.104745, 0.00846129
30.0257, 1483, 4194304, 4194304, 197.564, 49, 3.03542, 54, 42, 0.0397001, 0.135983, 0.00757969
30.0543, 2153, 4194304, 4194304, 286.548, 71, 3.50517, 78, 65, 0.0410122, 0.162949, 0.00794931
30.0326, 2156, 4194304, 4194304, 287.154, 71, 3.20219, 78, 65, 0.0409375, 0.128919, 0.0073648
30.0134, 2165, 4194304, 4194304, 288.538, 72, 3.97709, 79, 63, 0.0407382, 0.140378, 0.00798575
30.0405, 2135, 4194304, 4194304, 284.282, 71, 3.9335, 81, 63, 0.0413172, 0.134764, 0.00865398
30.0374, 2162, 4194304, 4194304, 287.907, 71, 3.31142, 77, 65, 0.0408246, 0.175888, 0.00947981
30.0378, 2187, 4194304, 4194304, 291.233, 72, 3.51744, 80, 64, 0.0403442, 0.141348, 0.00834404
30.031, 2142, 4194304, 4194304, 285.305, 71, 3.32338, 78, 64, 0.0411738, 0.163844, 0.00778631
30.0335, 2177, 4194304, 4194304, 289.943, 72, 2.93316, 76, 64, 0.0405414, 0.148328, 0.00781028
30.0453, 2169, 4194304, 4194304, 288.764, 72, 3.08146, 78, 67, 0.0406976, 0.143314, 0.00942887
30.0207, 2745, 4194304, 4194304, 365.747, 91, 4.65857, 98, 76, 0.0429115, 0.165044, 0.00907254
30.0473, 2791, 4194304, 4194304, 371.548, 92, 3.76859, 101, 85, 0.0421811, 0.164265, 0.00826733
30.0447, 2720, 4194304, 4194304, 362.127, 90, 4.36074, 99, 82, 0.043324, 0.185205, 0.00868145
30.0408, 2737, 4194304, 4194304, 364.437, 91, 4.86177, 101, 80, 0.0430347, 0.208724, 0.009354
30.04, 2764, 4194304, 4194304, 368.043, 92, 3.52332, 99, 86, 0.0426178, 0.159081, 0.00830816
30.0538, 2721, 4194304, 4194304, 362.15, 90, 3.75714, 99, 83, 0.0433184, 0.143128, 0.00856116
30.043, 2721, 4194304, 4194304, 362.281, 90, 4.69544, 99, 78, 0.0433204, 0.155986, 0.00931548
30.0326, 2739, 4194304, 4194304, 364.803, 91, 5.35241, 104, 79, 0.0430025, 0.247125, 0.00929657
30.0304, 2753, 4194304, 4194304, 366.695, 91, 5.23472, 100, 81, 0.0427874, 0.179488, 0.00799382
30.0336, 3290, 4194304, 4194304, 438.175, 109, 5.82316, 125, 99, 0.0447816, 0.170457, 0.00869621
30.0539, 3316, 4194304, 4194304, 441.34, 110, 6.08267, 122, 95, 0.0444337, 0.156512, 0.00834164
30.0462, 3259, 4194304, 4194304, 433.866, 108, 5.11747, 119, 100, 0.0452217, 0.160539, 0.00757324
30.0663, 3253, 4194304, 4194304, 432.777, 108, 5.01675, 119, 96, 0.0453117, 0.316796, 0.00920747
30.0752, 3199, 4194304, 4194304, 425.467, 106, 5.04292, 116, 96, 0.0460098, 0.247549, 0.00901653
30.0798, 3212, 4194304, 4194304, 427.131, 106, 6.14396, 117, 85, 0.0458318, 0.198115, 0.00878251
30.0345, 3255, 4194304, 4194304, 433.502, 108, 4.93044, 117, 95, 0.0452617, 0.165716, 0.00926035
30.0586, 3210, 4194304, 4194304, 427.166, 106, 5.70984, 118, 89, 0.0459186, 0.192243, 0.00753699
30.0362, 3282, 4194304, 4194304, 437.073, 109, 4.14521, 118, 99, 0.0448895, 0.161027, 0.00746452
30.0307, 3703, 4194304, 4194304, 493.228, 123, 8.70566, 136, 104, 0.0477988, 0.303409, 0.0075084
30.0835, 3692, 4194304, 4194304, 490.9, 122, 6.45266, 135, 113, 0.0479454, 0.233832, 0.00798191
30.0388, 3747, 4194304, 4194304, 498.954, 124, 5.98811, 136, 111, 0.0471756, 0.242813, 0.00894527
30.0306, 3699, 4194304, 4194304, 492.698, 123, 5.05612, 137, 112, 0.0477408, 0.264432, 0.00980132
30.0303, 3738, 4194304, 4194304, 497.898, 124, 4.98746, 134, 115, 0.0473627, 0.195223, 0.00833798
30.0764, 3822, 4194304, 4194304, 508.305, 127, 6.20863, 139, 114, 0.0462916, 0.180193, 0.00851902
30.0542, 3712, 4194304, 4194304, 494.041, 123, 6.67333, 134, 106, 0.047706, 0.227418, 0.0085389
