Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0015, 856, 4194304, 4194304, 114.127, 28, 2.73096, 33, 19, 0.0350335, 0.114001, 0.0119639
30.0155, 858, 4194304, 4194304, 114.341, 28, 2.56882, 33, 22, 0.0349676, 0.104546, 0.0122852
30.0059, 866, 4194304, 4194304, 115.444, 28, 2.80789, 33, 21, 0.0346333, 0.120237, 0.0120117
30.0133, 854, 4194304, 4194304, 113.816, 28, 2.31462, 32, 23, 0.0351286, 0.106739, 0.0120425
30.0241, 859, 4194304, 4194304, 114.441, 28, 2.49966, 34, 22, 0.0349365, 0.106549, 0.0123263
30.0263, 856, 4194304, 4194304, 114.033, 28, 2.66199, 33, 22, 0.0350619, 0.143568, 0.0121531
30.0009, 856, 4194304, 4194304, 114.13, 28, 2.65133, 32, 22, 0.0350313, 0.121347, 0.0123748
30.0017, 863, 4194304, 4194304, 115.06, 28, 2.41863, 33, 23, 0.0347493, 0.103734, 0.0125294
30.0284, 858, 4194304, 4194304, 114.292, 28, 2.83675, 35, 22, 0.0349823, 0.114127, 0.0118511
30.0296, 1691, 4194304, 4194304, 225.245, 56, 3.39523, 63, 48, 0.0354995, 0.161418, 0.0122775
30.0077, 1662, 4194304, 4194304, 221.543, 55, 3.57658, 63, 47, 0.0360924, 0.270215, 0.0125955
30.0326, 1670, 4194304, 4194304, 222.425, 55, 3.5194, 66, 49, 0.0359413, 0.120608, 0.0122052
30.0334, 1668, 4194304, 4194304, 222.153, 55, 3.8393, 63, 49, 0.0359889, 0.106777, 0.0127939
30.0358, 1662, 4194304, 4194304, 221.336, 55, 4.08811, 63, 44, 0.0361165, 0.122922, 0.0127111
30.0392, 1677, 4194304, 4194304, 223.308, 55, 3.86927, 63, 46, 0.0357899, 0.110214, 0.0119697
30.0037, 1683, 4194304, 4194304, 224.373, 56, 3.59221, 63, 48, 0.0356382, 0.156597, 0.0125202
30.0552, 1667, 4194304, 4194304, 221.858, 55, 3.52087, 64, 48, 0.0360332, 0.106752, 0.0124948
30.0276, 1672, 4194304, 4194304, 222.728, 55, 4.13841, 63, 43, 0.0358949, 0.116755, 0.0126951
22.548, 1795, 4194304, 4194304, 318.431, 79, 4.90626, 88, 70, 0.0376393, 0.171367, 0.0127172
22.739, 1795, 4194304, 4194304, 315.757, 78, 5.51346, 90, 70, 0.0379548, 0.11847, 0.0128018
22.3247, 1795, 4194304, 4194304, 321.617, 80, 4.50805, 90, 72, 0.0372814, 0.111344, 0.0126771
22.582, 1795, 4194304, 4194304, 317.953, 79, 5.06516, 86, 70, 0.0376922, 0.13182, 0.0120952
22.5668, 1795, 4194304, 4194304, 318.166, 79, 5.40182, 88, 68, 0.037678, 0.149824, 0.0125112
22.5477, 1795, 4194304, 4194304, 318.437, 79, 4.82777, 89, 69, 0.0376384, 0.132972, 0.0119299
22.5449, 1795, 4194304, 4194304, 318.476, 79, 4.44811, 89, 73, 0.0376374, 0.134595, 0.0129524
23.25, 1795, 4194304, 4194304, 308.817, 77, 4.58171, 88, 69, 0.0388146, 0.146342, 0.0126213
22.8762, 1795, 4194304, 4194304, 313.863, 78, 4.88482, 88, 69, 0.0381891, 0.120529, 0.0126531
18.6343, 1795, 4194304, 4194304, 385.311, 96, 6.26355, 109, 83, 0.0414679, 0.28834, 0.0127824
18.4398, 1795, 4194304, 4194304, 389.376, 97, 6.04369, 107, 84, 0.0410304, 0.213494, 0.0128044
18.4726, 1795, 4194304, 4194304, 388.683, 97, 6.06716, 107, 84, 0.0410889, 0.196475, 0.0121167
