Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0533, 891, 4194304, 4194304, 118.589, 29, 2.41166, 35, 26, 0.0337154, 0.103164, 0.0114144
30.0161, 868, 4194304, 4194304, 115.671, 28, 2.4962, 33, 23, 0.034566, 0.107845, 0.0116525
30.0065, 851, 4194304, 4194304, 113.442, 28, 2.97499, 34, 22, 0.0352437, 0.110028, 0.0118938
30.0178, 871, 4194304, 4194304, 116.064, 29, 2.28941, 33, 24, 0.0344482, 0.108124, 0.0116844
30.0053, 858, 4194304, 4194304, 114.38, 28, 2.14449, 32, 24, 0.0349543, 0.104128, 0.0123185
30.0279, 863, 4194304, 4194304, 114.96, 28, 2.65139, 33, 23, 0.0347789, 0.107377, 0.0120147
30.01, 871, 4194304, 4194304, 116.095, 29, 2.65226, 34, 23, 0.0344388, 0.107992, 0.0120009
30.0186, 861, 4194304, 4194304, 114.729, 28, 2.69525, 33, 24, 0.0348497, 0.152819, 0.0118373
30.0028, 854, 4194304, 4194304, 113.856, 28, 2.86004, 35, 21, 0.0351161, 0.104977, 0.0122759
30.0309, 1650, 4194304, 4194304, 219.773, 54, 3.73181, 60, 43, 0.0363738, 0.127663, 0.0118719
30.0343, 1672, 4194304, 4194304, 222.679, 55, 3.64975, 63, 50, 0.0358898, 0.109855, 0.0124991
30.0221, 1671, 4194304, 4194304, 222.636, 55, 3.68111, 63, 48, 0.0359103, 0.122197, 0.0125479
30.0171, 1662, 4194304, 4194304, 221.473, 55, 3.17678, 63, 49, 0.0361031, 0.145461, 0.0120985
30.0231, 1650, 4194304, 4194304, 219.831, 54, 3.46344, 63, 49, 0.0363742, 0.123652, 0.0124184
30.0422, 1647, 4194304, 4194304, 219.291, 54, 3.47487, 63, 48, 0.036449, 0.112028, 0.0127177
30.0125, 1660, 4194304, 4194304, 221.241, 55, 4.0099, 63, 43, 0.0361391, 0.143329, 0.0122071
30.0653, 1655, 4194304, 4194304, 220.188, 55, 3.47751, 64, 48, 0.0363021, 0.120167, 0.0126587
30.0158, 1652, 4194304, 4194304, 220.15, 55, 3.24285, 61, 49, 0.0363142, 0.110508, 0.012442
22.6738, 1795, 4194304, 4194304, 316.665, 79, 4.60308, 87, 69, 0.0378536, 0.211682, 0.0126779
22.427, 1795, 4194304, 4194304, 320.149, 80, 4.05081, 86, 72, 0.0374273, 0.14429, 0.0125817
22.7371, 1795, 4194304, 4194304, 315.783, 78, 4.62278, 86, 70, 0.0379587, 0.160528, 0.0126509
22.8295, 1795, 4194304, 4194304, 314.505, 78, 5.42242, 90, 67, 0.0381018, 0.170151, 0.012894
22.9879, 1795, 4194304, 4194304, 312.338, 78, 4.61153, 87, 71, 0.038372, 0.145845, 0.0129402
22.7362, 1795, 4194304, 4194304, 315.795, 78, 5.23165, 86, 60, 0.0379665, 0.179158, 0.0126762
23.9854, 1795, 4194304, 4194304, 299.349, 74, 5.65056, 88, 66, 0.0400501, 0.245558, 0.0124888
23.7625, 1795, 4194304, 4194304, 302.157, 75, 4.35073, 83, 68, 0.0395457, 0.206108, 0.0125498
24.0321, 1795, 4194304, 4194304, 298.767, 74, 4.10373, 83, 67, 0.0401185, 0.207938, 0.0121726
19.1963, 1795, 4194304, 4194304, 374.03, 93, 5.62991, 104, 85, 0.0425783, 0.251435, 0.0125872
19.1693, 1795, 4194304, 4194304, 374.558, 93, 6.16631, 103, 84, 0.042605, 0.263695, 0.0132286
19.2202, 1795, 4194304, 4194304, 373.566, 93, 6.86248, 105, 81, 0.0427554, 0.221617, 0.0125681
19.0121, 1795, 4194304, 4194304, 377.654, 94, 5.65013, 103, 84, 0.0422944, 0.23974, 0.0129777
18.8855, 1795, 4194304, 4194304, 380.186, 95, 4.87658, 105, 87, 0.0420309, 0.202981, 0.0126469
18.9571, 1795, 4194304, 4194304, 378.749, 94, 4.69355, 101, 85, 0.0421826, 0.181224, 0.0131581
18.9191, 1795, 4194304, 4194304, 379.51, 94, 4.24264, 103, 88, 0.042081, 0.229085, 0.0126949
19.1184, 1795, 4194304, 4194304, 375.555, 93, 5.24377, 101, 82, 0.0424881, 0.1883, 0.0126709
19.0954, 1795, 4194304, 4194304, 376.007, 94, 5.4252, 103, 84, 0.0424678, 0.224058, 0.0127016
16.0032, 1795, 4194304, 4194304, 448.661, 112, 5.82952, 122, 103, 0.0445013, 0.18632, 0.0133188
15.9297, 1795, 4194304, 4194304, 450.729, 112, 6.31174, 121, 103, 0.0443022, 0.256711, 0.0130144
16.2693, 1795, 4194304, 4194304, 441.322, 110, 7.85891, 124, 95, 0.0452439, 0.204095, 0.0134472
16.3873, 1795, 4194304, 4194304, 438.144, 109, 4.94638, 118, 101, 0.0455877, 0.241189, 0.0129751
16.1284, 1795, 4194304, 4194304, 445.177, 111, 6.34429, 121, 101, 0.0448453, 0.19686, 0.0130308
16.0035, 1795, 4194304, 4194304, 448.653, 112, 7.69307, 124, 93, 0.0444972, 0.207395, 0.0134984
16.1435, 1795, 4194304, 4194304, 444.762, 111, 6.82031, 121, 98, 0.0448672, 0.216712, 0.012657
16.0617, 1795, 4194304, 4194304, 447.025, 111, 4.80278, 121, 103, 0.0445738, 0.230796, 0.0130265
15.8858, 1795, 4194304, 4194304, 451.975, 112, 5.77515, 122, 102, 0.0441243, 0.192594, 0.0128186
