Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0561, 696, 4194304, 4194304, 92.6267, 23, 2.46469, 26, 19, 0.04231, 0.160412, 0.00807306
30.007, 682, 4194304, 4194304, 90.912, 22, 2.03673, 27, 18, 0.0430623, 0.175065, 0.00793931
30.0389, 694, 4194304, 4194304, 92.4136, 23, 2.00603, 26, 18, 0.0423387, 0.198427, 0.00912715
30.0093, 697, 4194304, 4194304, 92.9045, 23, 2.12376, 26, 18, 0.0421509, 0.211129, 0.00899989
30.0317, 706, 4194304, 4194304, 94.0341, 23, 1.77628, 27, 20, 0.041622, 0.235963, 0.00873872
30.0083, 685, 4194304, 4194304, 91.3081, 22, 1.64841, 26, 19, 0.0429526, 0.182489, 0.00949053
30.0144, 702, 4194304, 4194304, 93.5552, 23, 2.07586, 27, 19, 0.0419107, 0.208924, 0.00742678
30.0068, 713, 4194304, 4194304, 95.0452, 23, 1.68018, 26, 20, 0.0411683, 0.179959, 0.00715542
30.1293, 703, 4194304, 4194304, 93.331, 23, 1.92264, 27, 18, 0.0419979, 0.212617, 0.00790557
30.046, 1410, 4194304, 4194304, 187.712, 46, 3.02784, 52, 41, 0.0416692, 0.213448, 0.00954497
30.0297, 1373, 4194304, 4194304, 182.886, 45, 2.84241, 50, 38, 0.0427268, 0.220711, 0.00950125
30.0042, 1360, 4194304, 4194304, 181.308, 45, 2.96905, 50, 38, 0.0432356, 0.226172, 0.00969302
30.0456, 1400, 4194304, 4194304, 186.383, 46, 2.98829, 53, 40, 0.0420137, 0.183171, 0.0091275
30.0517, 1391, 4194304, 4194304, 185.148, 46, 3.20721, 51, 39, 0.0422969, 0.256769, 0.00827238
30.0229, 1414, 4194304, 4194304, 188.39, 47, 2.77116, 51, 39, 0.0416094, 0.17782, 0.00850342
30.0227, 1409, 4194304, 4194304, 187.724, 46, 2.69546, 51, 41, 0.0417441, 0.22997, 0.00823211
30.0396, 1395, 4194304, 4194304, 185.755, 46, 2.75034, 50, 41, 0.0421081, 0.20286, 0.00794899
30.1193, 1396, 4194304, 4194304, 185.396, 46, 3.24551, 51, 36, 0.0422035, 0.222975, 0.00880033
30.041, 2019, 4194304, 4194304, 268.833, 67, 2.90541, 74, 63, 0.0437595, 0.275928, 0.008196
30.0436, 2024, 4194304, 4194304, 269.475, 67, 3.79185, 73, 59, 0.0436097, 0.23852, 0.00770458
30.0309, 2013, 4194304, 4194304, 268.124, 67, 4.71595, 75, 55, 0.0438826, 0.268182, 0.00881223
30.0375, 2012, 4194304, 4194304, 267.932, 66, 3.61494, 72, 59, 0.0438602, 0.225871, 0.00825966
30.0344, 2051, 4194304, 4194304, 273.154, 68, 3.78882, 75, 61, 0.0430255, 0.196398, 0.00968555
30.0556, 2031, 4194304, 4194304, 270.299, 67, 3.74718, 76, 59, 0.0434824, 0.211058, 0.0100676
30.0586, 2057, 4194304, 4194304, 273.732, 68, 3.52071, 76, 63, 0.042914, 0.182784, 0.00869432
30.025, 2038, 4194304, 4194304, 271.507, 67, 3.36394, 74, 59, 0.0433691, 0.220331, 0.00940264
30.0269, 2035, 4194304, 4194304, 271.09, 67, 4.99436, 75, 57, 0.0433537, 0.23269, 0.00966141
30.0989, 2624, 4194304, 4194304, 348.718, 87, 4.19633, 94, 80, 0.0449332, 0.235303, 0.00721278
30.0323, 2610, 4194304, 4194304, 347.625, 86, 3.6232, 93, 80, 0.0451378, 0.248556, 0.0100325
