Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 70.3475, 1000, 4227072, 4227072, 57.3048, 14, 2.65177, 20, 8, 0.0695621, 0.308992, 0.0206936
1, 64.3399, 1000, 4227072, 4227072, 62.6555, 15, 2.22534, 19, 10, 0.0634852, 0.337175, 0.0205906
1, 61.1555, 1000, 4227072, 4227072, 65.918, 16, 2.46117, 20, 9, 0.0604425, 0.27038, 0.0206397
1, 60.4584, 1000, 4227072, 4227072, 66.6781, 16, 2.22841, 21, 11, 0.0597126, 0.299361, 0.0203845
1, 58.6785, 1000, 4227072, 4227072, 68.7006, 17, 1.93239, 21, 13, 0.0578684, 0.2756, 0.0205097
1, 58.5261, 1000, 4227072, 4227072, 68.8795, 17, 1.88997, 20, 13, 0.0577219, 0.273084, 0.0207427
1, 61.1432, 1000, 4227072, 4227072, 65.9313, 16, 2.39364, 20, 9, 0.0603838, 0.307317, 0.0205954
1, 58.5608, 1000, 4227072, 4227072, 68.8387, 17, 2.03842, 21, 12, 0.0578204, 0.300088, 0.0205445
1, 60.3858, 1000, 4227072, 4227072, 66.7582, 16, 2.30842, 22, 11, 0.0596239, 0.295599, 0.0201773
1, 59.9725, 1000, 4227072, 4227072, 67.2183, 16, 2.33127, 21, 11, 0.059201, 0.306652, 0.0207657
2, 48.7874, 1000, 4227072, 4227072, 82.6289, 20, 2.43124, 27, 15, 0.0967261, 0.712669, 0.0205909
2, 48.2261, 1000, 4227072, 4227072, 83.5906, 20, 2.22653, 26, 16, 0.0955989, 0.705708, 0.0213072
2, 48.0967, 1000, 4227072, 4227072, 83.8155, 20, 2.67773, 26, 15, 0.095335, 0.48121, 0.0215526
2, 47.3649, 1000, 4227072, 4227072, 85.1104, 21, 2.38307, 25, 13, 0.0936402, 0.547237, 0.020375
2, 48.4135, 1000, 4227072, 4227072, 83.2671, 20, 2.62253, 26, 11, 0.0959672, 0.498955, 0.0209055
2, 46.8609, 1000, 4227072, 4227072, 86.0258, 21, 2.16917, 26, 16, 0.0927613, 0.56482, 0.0211525
2, 47.9871, 1000, 4227072, 4227072, 84.007, 20, 2.2872, 25, 16, 0.0949569, 0.368468, 0.0214647
2, 47.1878, 1000, 4227072, 4227072, 85.43, 21, 2.15002, 27, 17, 0.0935444, 0.731946, 0.0206252
2, 47.7774, 1000, 4227072, 4227072, 84.3757, 20, 2.3575, 26, 16, 0.0946544, 0.736962, 0.0214242
2, 45.8576, 1000, 4227072, 4227072, 87.9081, 21, 2.21154, 27, 17, 0.0908932, 0.505102, 0.0209217
4, 38.7695, 1000, 4227072, 4227072, 103.98, 25, 1.65799, 29, 22, 0.153483, 0.688503, 0.0208518
4, 38.9716, 1000, 4227072, 4227072, 103.441, 25, 1.76177, 29, 21, 0.154606, 0.784672, 0.0224806
4, 38.7654, 1000, 4227072, 4227072, 103.991, 25, 2.00213, 29, 22, 0.153838, 1.19527, 0.0224822
4, 38.5615, 1000, 4227072, 4227072, 104.541, 25, 2.14831, 30, 19, 0.153237, 0.789787, 0.02207
4, 39.5639, 1000, 4227072, 4227072, 101.892, 25, 2.38925, 32, 20, 0.157007, 0.962752, 0.0242557
4, 39.4599, 1000, 4227072, 4227072, 102.161, 25, 1.85435, 29, 21, 0.15666, 0.814737, 0.0243725
4, 39.1514, 1000, 4227072, 4227072, 102.966, 25, 2.83653, 30, 15, 0.155542, 1.19159, 0.0266137
4, 40.5615, 1000, 4227072, 4227072, 99.3862, 24, 2.46709, 29, 18, 0.16098, 1.35154, 0.0227981
4, 39.5126, 1000, 4227072, 4227072, 102.025, 25, 2.08943, 30, 20, 0.156995, 1.29907, 0.0245892
4, 39.895, 1000, 4227072, 4227072, 101.047, 25, 2.2523, 31, 20, 0.158506, 0.708904, 0.0209155
8, 35.828, 1000, 4227072, 4227072, 112.517, 27, 2.27223, 35, 23, 0.283933, 1.63834, 0.0269475
8, 35.5802, 1000, 4227072, 4227072, 113.3, 28, 1.56216, 30, 25, 0.281877, 1.67127, 0.0326134
8, 35.047, 1000, 4227072, 4227072, 115.024, 28, 2.27998, 33, 23, 0.277462, 1.51622, 0.0250934
8, 35.3069, 1000, 4227072, 4227072, 114.177, 28, 2.10841, 33, 22, 0.280391, 1.2128, 0.0326115
8, 35.115, 1000, 4227072, 4227072, 114.801, 28, 1.99073, 32, 25, 0.278381, 1.21791, 0.0373378
8, 34.9105, 1000, 4227072, 4227072, 115.474, 28, 1.9724, 34, 25, 0.277721, 1.47244, 0.0377833
8, 35.22, 1000, 4227072, 4227072, 114.459, 28, 2.12943, 32, 24, 0.279451, 1.15509, 0.032662
8, 35.3324, 1000, 4227072, 4227072, 114.095, 28, 1.84026, 32, 25, 0.280435, 1.36059, 0.0355194
8, 35.1101, 1000, 4227072, 4227072, 114.817, 28, 2.44159, 35, 24, 0.279286, 1.44756, 0.031274
8, 35.4351, 1000, 4227072, 4227072, 113.764, 28, 2.21151, 33, 23, 0.281361, 1.32538, 0.0277274
16, 33.9235, 1000, 4227072, 4227072, 118.834, 29, 2.52525, 34, 25, 0.532514, 2.65191, 0.0395006
16, 33.8326, 1000, 4227072, 4227072, 119.153, 29, 2.34561, 35, 24, 0.531623, 2.56779, 0.0373772
16, 34.0067, 1000, 4227072, 4227072, 118.543, 29, 1.90879, 33, 25, 0.536802, 2.60523, 0.0376113
16, 33.7108, 1000, 4227072, 4227072, 119.583, 29, 1.87235, 34, 25, 0.533425, 2.56194, 0.0348247
16, 34.302, 1000, 4227072, 4227072, 117.522, 29, 3.29154, 38, 21, 0.543058, 1.91893, 0.0469182
16, 34.1109, 1000, 4227072, 4227072, 118.181, 29, 2.56206, 33, 23, 0.536789, 2.59924, 0.0311626
16, 33.9054, 1000, 4227072, 4227072, 118.897, 29, 2.50114, 34, 25, 0.532306, 2.57195, 0.0384357
16, 33.4212, 1000, 4227072, 4227072, 120.619, 29, 1.9545, 33, 25, 0.528799, 2.14686, 0.0386866
16, 34.354, 1000, 4227072, 4227072, 117.344, 29, 2.44165, 34, 24, 0.541634, 2.77518, 0.0337506
16, 33.9869, 1000, 4227072, 4227072, 118.612, 29, 2.54728, 35, 24, 0.537243, 2.32766, 0.0441733
