Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 65.5968, 1000, 4194304, 4194304, 60.9785, 15, 5.6645, 22, 1, 0.0655828, 1.2139, 0.0188282
1, 55.9123, 1000, 4194304, 4194304, 71.5407, 17, 1.99038, 22, 11, 0.0558972, 0.269221, 0.018834
1, 55.1866, 1000, 4194304, 4194304, 72.4813, 18, 2.45457, 22, 12, 0.0551725, 0.264118, 0.019239
1, 54.9733, 1000, 4194304, 4194304, 72.7626, 18, 2.49276, 23, 11, 0.05496, 0.299856, 0.0184005
1, 56.0037, 1000, 4194304, 4194304, 71.4239, 17, 2.29873, 22, 12, 0.0559896, 0.272047, 0.0188617
1, 55.9008, 1000, 4194304, 4194304, 71.5554, 17, 2.46661, 23, 11, 0.055887, 0.277331, 0.0190011
1, 55.023, 1000, 4194304, 4194304, 72.6968, 18, 2.7064, 22, 10, 0.0550097, 0.307564, 0.0186011
1, 54.4303, 1000, 4194304, 4194304, 73.4884, 18, 2.05965, 23, 12, 0.054417, 0.266549, 0.0188941
1, 56.4241, 1000, 4194304, 4194304, 70.8918, 17, 2.23781, 22, 13, 0.0564104, 0.272997, 0.0189648
1, 55.1345, 1000, 4194304, 4194304, 72.5498, 18, 2.58238, 23, 12, 0.0551202, 0.26517, 0.018199
2, 44.0933, 1000, 4194304, 4194304, 90.7166, 22, 2.70179, 29, 16, 0.0881191, 1.09439, 0.0199333
2, 43.7659, 1000, 4194304, 4194304, 91.3953, 22, 2.30508, 27, 15, 0.0875046, 0.50161, 0.0188726
2, 42.4066, 1000, 4194304, 4194304, 94.3249, 23, 2.14202, 28, 17, 0.084731, 0.640467, 0.0193697
2, 42.017, 1000, 4194304, 4194304, 95.1995, 23, 2.06641, 27, 18, 0.0839757, 0.3392, 0.019638
2, 43.001, 1000, 4194304, 4194304, 93.0212, 23, 2.28526, 28, 15, 0.0859499, 0.369405, 0.0186618
2, 43.3558, 1000, 4194304, 4194304, 92.26, 23, 3.50099, 28, 8, 0.086661, 1.10516, 0.0192768
2, 42.8248, 1000, 4194304, 4194304, 93.4038, 23, 2.62216, 28, 17, 0.0855794, 1.1482, 0.0186824
2, 43.9019, 1000, 4194304, 4194304, 91.1122, 22, 2.45852, 27, 16, 0.0876945, 0.3626, 0.0187819
2, 42.7563, 1000, 4194304, 4194304, 93.5534, 23, 2.18803, 29, 17, 0.085484, 0.443835, 0.0190235
