Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 105.691, 1000, 4194304, 4194304, 37.8461, 4.70772, 48, 24, 9, 1.17693, 12, 6, 0.105661, 0.0367112, 0.38458, 0.0559651
1, 106.517, 1000, 4194304, 4194304, 37.5526, 4.07812, 44, 24, 9, 1.01953, 11, 6, 0.106487, 0.029899, 0.381139, 0.0542504
1, 104.077, 1000, 4194304, 4194304, 38.4329, 3.83821, 48, 20, 9, 0.959554, 12, 5, 0.104047, 0.0281932, 0.438904, 0.054976
1, 105.033, 1000, 4194304, 4194304, 38.0831, 4.19209, 48, 24, 9, 1.04802, 12, 6, 0.105002, 0.0323861, 0.355562, 0.0571601
1, 102.018, 1000, 4194304, 4194304, 39.2089, 3.70553, 48, 24, 9, 0.926382, 12, 6, 0.101987, 0.027942, 0.372327, 0.0538266
1, 105.983, 1000, 4194304, 4194304, 37.742, 3.95839, 48, 28, 9, 0.989598, 12, 7, 0.105952, 0.0265794, 0.210968, 0.0571162
1, 109.185, 1000, 4194304, 4194304, 36.635, 4.07974, 48, 24, 9, 1.01993, 12, 6, 0.109155, 0.0327229, 0.401837, 0.0553886
1, 104.901, 1000, 4194304, 4194304, 38.1311, 3.29732, 44, 28, 9, 0.824329, 11, 7, 0.10487, 0.0314791, 0.392358, 0.0545062
1, 103.736, 1000, 4194304, 4194304, 38.5594, 4.07207, 52, 28, 9, 1.01802, 13, 7, 0.103707, 0.0279081, 0.23554, 0.0557156
1, 104.201, 1000, 4194304, 4194304, 38.3874, 3.96531, 48, 28, 9, 0.991327, 12, 7, 0.10417, 0.0322746, 0.389202, 0.0575757
2, 69.5559, 1000, 4194304, 4194304, 57.5077, 5.41099, 72, 44, 14, 1.35275, 18, 11, 0.139023, 0.0483594, 0.415266, 0.0597734
2, 66.3069, 1000, 4194304, 4194304, 60.3256, 7.54807, 76, 36, 15, 1.88702, 19, 9, 0.132464, 0.0529075, 0.526659, 0.058165
2, 65.2434, 1000, 4194304, 4194304, 61.3088, 7.87157, 76, 48, 15, 1.96789, 19, 12, 0.130386, 0.0503672, 0.493156, 0.0588446
2, 67.1424, 1000, 4194304, 4194304, 59.5749, 7.97372, 76, 44, 14, 1.99343, 19, 11, 0.134197, 0.0507302, 0.429719, 0.0573408
2, 70.1171, 1000, 4194304, 4194304, 57.0474, 12.3229, 72, 16, 14, 3.08073, 18, 4, 0.140159, 0.0859621, 1.08108, 0.0581092
2, 64.7325, 1000, 4194304, 4194304, 61.7928, 6.86578, 76, 40, 15, 1.71644, 19, 10, 0.129417, 0.0500881, 0.555943, 0.0581997
2, 67.209, 1000, 4194304, 4194304, 59.5159, 6.55133, 76, 44, 14, 1.63783, 19, 11, 0.134279, 0.0506834, 0.486344, 0.0575563
2, 70.3928, 1000, 4194304, 4194304, 56.824, 5.97164, 72, 40, 14, 1.49291, 18, 10, 0.140737, 0.0496325, 0.405504, 0.0545294
2, 65.5778, 1000, 4194304, 4194304, 60.9962, 9.3677, 80, 36, 15, 2.34193, 20, 9, 0.131035, 0.0568175, 0.615051, 0.0575389
2, 66.6499, 1000, 4194304, 4194304, 60.0151, 7.60542, 76, 40, 15, 1.90136, 19, 10, 0.133158, 0.0533804, 0.430945, 0.0583111
4, 45.8629, 1000, 4194304, 4194304, 87.2165, 11.0258, 108, 56, 21, 2.75644, 27, 14, 0.182921, 0.0827918, 0.637092, 0.058064
4, 45.5212, 1000, 4194304, 4194304, 87.8711, 8.26823, 104, 72, 21, 2.06706, 26, 18, 0.181393, 0.0799817, 0.813137, 0.0672595
4, 45.2892, 1000, 4194304, 4194304, 88.3212, 10.3732, 116, 68, 22, 2.59331, 29, 17, 0.180672, 0.0796622, 0.547092, 0.0596708
4, 45.2812, 1000, 4194304, 4194304, 88.3369, 10.2903, 120, 72, 22, 2.57258, 30, 18, 0.180615, 0.08191, 0.593841, 0.0658428
4, 48.487, 1000, 4194304, 4194304, 82.4963, 8.99133, 104, 68, 20, 2.24783, 26, 17, 0.193608, 0.0883233, 1.25329, 0.0620477
4, 45.2638, 1000, 4194304, 4194304, 88.3709, 10.0689, 108, 68, 22, 2.51721, 27, 17, 0.180827, 0.0790623, 0.59249, 0.0636486
4, 45.2341, 1000, 4194304, 4194304, 88.4289, 9.21746, 108, 72, 22, 2.30437, 27, 18, 0.180613, 0.0775601, 0.551432, 0.058707
4, 46.076, 1000, 4194304, 4194304, 86.8131, 10.8392, 108, 56, 21, 2.7098, 27, 14, 0.184061, 0.0778587, 0.568353, 0.0630614
4, 47.096, 1000, 4194304, 4194304, 84.9329, 8.32548, 100, 64, 21, 2.08137, 25, 16, 0.188171, 0.0767677, 0.712398, 0.0652238
4, 45.6439, 1000, 4194304, 4194304, 87.635, 9.35754, 108, 68, 21, 2.33939, 27, 17, 0.18219, 0.0798658, 0.470916, 0.0619135
8, 34.6341, 1000, 4194304, 4194304, 115.493, 10.9421, 136, 88, 28, 2.73552, 34, 22, 0.276063, 0.129166, 1.27882, 0.0703504
8, 34.6745, 1000, 4194304, 4194304, 115.359, 9.90292, 136, 92, 28, 2.47573, 34, 23, 0.276198, 0.129961, 0.759335, 0.0667847
8, 34.361, 1000, 4194304, 4194304, 116.411, 12.4749, 148, 96, 29, 3.11871, 37, 24, 0.27391, 0.118516, 0.74721, 0.0709731
8, 34.6052, 1000, 4194304, 4194304, 115.589, 9.46934, 132, 100, 28, 2.36734, 33, 25, 0.27589, 0.120973, 0.826668, 0.0732424
8, 35.1527, 1000, 4194304, 4194304, 113.789, 11.0333, 140, 92, 28, 2.75833, 35, 23, 0.279608, 0.126429, 0.805829, 0.0743867
8, 35.1282, 1000, 4194304, 4194304, 113.869, 10.2801, 136, 92, 28, 2.57003, 34, 23, 0.279622, 0.122248, 0.777593, 0.0651963
8, 35.2184, 1000, 4194304, 4194304, 113.577, 10.2106, 136, 92, 28, 2.55264, 34, 23, 0.280787, 0.131183, 1.55815, 0.0702065
8, 35.6875, 1000, 4194304, 4194304, 112.084, 11.3173, 132, 88, 28, 2.82932, 33, 22, 0.283091, 0.138798, 1.38146, 0.0705098
8, 35.1809, 1000, 4194304, 4194304, 113.698, 12.2022, 140, 92, 28, 3.05055, 35, 23, 0.280095, 0.129106, 0.93719, 0.0737057
8, 35.4148, 1000, 4194304, 4194304, 112.947, 11.1702, 136, 92, 28, 2.79255, 34, 23, 0.281295, 0.11896, 0.819233, 0.0715672
16, 31.7849, 1000, 4194304, 4194304, 125.846, 14.4162, 148, 92, 31, 3.60406, 37, 23, 0.501785, 0.317299, 2.79943, 0.102659
16, 31.5495, 1000, 4194304, 4194304, 126.785, 12.6001, 152, 104, 31, 3.15001, 38, 26, 0.49978, 0.301971, 1.93389, 0.0944435
16, 31.211, 1000, 4194304, 4194304, 128.16, 11.6153, 144, 104, 32, 2.90384, 36, 26, 0.493649, 0.281579, 1.72538, 0.0960336
16, 31.586, 1000, 4194304, 4194304, 126.638, 10.8034, 148, 100, 31, 2.70086, 37, 25, 0.498219, 0.321152, 2.32498, 0.0983171
16, 30.8548, 1000, 4194304, 4194304, 129.639, 12.8109, 156, 100, 32, 3.20273, 39, 25, 0.488122, 0.299822, 2.01377, 0.0956081
16, 31.3906, 1000, 4194304, 4194304, 127.427, 12.4945, 148, 96, 31, 3.12362, 37, 24, 0.495298, 0.313126, 1.9235, 0.0847426
16, 31.9573, 1000, 4194304, 4194304, 125.167, 14.7408, 148, 76, 31, 3.68519, 37, 19, 0.506751, 0.285759, 1.56486, 0.107156
16, 31.7021, 1000, 4194304, 4194304, 126.175, 10.7107, 144, 96, 31, 2.67767, 36, 24, 0.503907, 0.325076, 2.29721, 0.0933577
16, 31.8012, 1000, 4194304, 4194304, 125.782, 12.4738, 148, 96, 31, 3.11845, 37, 24, 0.503379, 0.295644, 1.7682, 0.0923969
16, 31.3842, 1000, 4194304, 4194304, 127.453, 14.8848, 152, 84, 31, 3.7212, 38, 21, 0.497842, 0.296465, 2.05226, 0.0893788
