Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 67.9931, 1000, 4194304, 4194304, 58.8295, 14, 5.10855, 20, 1, 0.067142, 1.07429, 0.00280205
1, 59.7736, 1000, 4194304, 4194304, 66.9192, 16, 2.32122, 21, 8, 0.0589302, 0.282453, 0.00301113
1, 58.0097, 1000, 4194304, 4194304, 68.954, 17, 2.13413, 23, 13, 0.0571646, 0.170859, 0.0028039
1, 56.6707, 1000, 4194304, 4194304, 70.5833, 17, 1.80007, 22, 13, 0.0558773, 0.133542, 0.00289165
1, 58.5657, 1000, 4194304, 4194304, 68.2993, 17, 1.60986, 22, 14, 0.0576856, 0.127236, 0.0028847
1, 57.0492, 1000, 4194304, 4194304, 70.1149, 17, 1.95581, 22, 12, 0.0561883, 0.151732, 0.00307136
1, 58.9367, 1000, 4194304, 4194304, 67.8694, 16, 1.65397, 22, 13, 0.0581193, 0.129993, 0.00302823
1, 56.3253, 1000, 4194304, 4194304, 71.016, 17, 1.95634, 24, 15, 0.0554647, 0.136262, 0.00301816
1, 58.7675, 1000, 4194304, 4194304, 68.0649, 17, 1.7218, 21, 14, 0.0579355, 0.132497, 0.00281525
1, 56.0218, 1000, 4194304, 4194304, 71.4008, 17, 1.71387, 23, 14, 0.055227, 0.155292, 0.00280775
2, 33.9421, 1000, 4194304, 4194304, 117.848, 29, 2.78524, 34, 23, 0.0671161, 0.339024, 0.00283144
2, 33.4368, 1000, 4194304, 4194304, 119.629, 29, 3.05288, 34, 22, 0.0660621, 0.314123, 0.00283423
2, 32.9132, 1000, 4194304, 4194304, 121.532, 30, 3.801, 39, 23, 0.0650268, 0.288013, 0.00273406
2, 32.5934, 1000, 4194304, 4194304, 122.724, 30, 2.72903, 36, 26, 0.0644074, 0.317654, 0.00300361
2, 33.8852, 1000, 4194304, 4194304, 118.046, 29, 2.42306, 38, 26, 0.0669906, 0.333361, 0.00297752
2, 33.3288, 1000, 4194304, 4194304, 120.016, 30, 2.86667, 38, 25, 0.0659063, 0.306199, 0.00276077
2, 32.2209, 1000, 4194304, 4194304, 124.143, 31, 2.31405, 36, 25, 0.0636663, 0.287639, 0.00292112
2, 32.9514, 1000, 4194304, 4194304, 121.391, 30, 3.77545, 38, 22, 0.0651571, 0.290142, 0.00268912
2, 34.1663, 1000, 4194304, 4194304, 117.075, 29, 3.64758, 38, 21, 0.0675457, 0.355617, 0.00294896
2, 33.4273, 1000, 4194304, 4194304, 119.663, 29, 2.77809, 35, 23, 0.0660679, 0.305944, 0.0029411
4, 26.1775, 1000, 4194304, 4194304, 152.803, 38, 4.3937, 46, 29, 0.103803, 0.765449, 0.00281775
4, 25.419, 1000, 4194304, 4194304, 157.362, 39, 3.52373, 46, 32, 0.100759, 1.22459, 0.00304083
4, 25.2325, 1000, 4194304, 4194304, 158.526, 39, 4.66262, 51, 33, 0.100053, 0.462547, 0.00287566
4, 26.0156, 1000, 4194304, 4194304, 153.754, 38, 5.6722, 53, 29, 0.103021, 1.07764, 0.00310257
4, 25.6338, 1000, 4194304, 4194304, 156.044, 39, 4.38254, 48, 32, 0.101457, 0.364503, 0.00276348
4, 24.1973, 1000, 4194304, 4194304, 165.308, 41, 3.98548, 50, 32, 0.0959132, 0.381043, 0.00300606
4, 25.2039, 1000, 4194304, 4194304, 158.706, 39, 4.38482, 48, 32, 0.0998874, 0.349163, 0.00288893
4, 25.827, 1000, 4194304, 4194304, 154.877, 38, 3.89444, 46, 32, 0.102286, 0.509123, 0.00283885
4, 25.5889, 1000, 4194304, 4194304, 156.318, 39, 4.11987, 45, 32, 0.101442, 0.331479, 0.00316404
4, 24.868, 1000, 4194304, 4194304, 160.85, 40, 4.31378, 48, 29, 0.0984532, 0.371654, 0.00273783
8, 23.9398, 1000, 4194304, 4194304, 167.086, 41, 5.15989, 52, 34, 0.18987, 0.83532, 0.00314035
8, 25.3768, 1000, 4194304, 4194304, 157.624, 39, 3.96106, 51, 31, 0.201505, 1.09228, 0.00305529
8, 25.2065, 1000, 4194304, 4194304, 158.689, 39, 6.1161, 52, 30, 0.199691, 1.21899, 0.00310318
