Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 58.8691, 1000, 4194304, 4194304, 67.9473, 16, 1.47494, 21, 14, 0.0588492, 0.152515, 0.00310143
1, 58.7946, 1000, 4194304, 4194304, 68.0335, 17, 1.60582, 21, 13, 0.0587792, 0.164537, 0.00306221
1, 58.2617, 1000, 4194304, 4194304, 68.6558, 17, 1.47258, 20, 13, 0.0582461, 0.12881, 0.00302566
1, 58.4436, 1000, 4194304, 4194304, 68.4421, 17, 1.68666, 21, 14, 0.0584286, 0.1486, 0.00303583
1, 58.5366, 1000, 4194304, 4194304, 68.3333, 17, 1.71538, 21, 14, 0.0585193, 0.135811, 0.0028028
1, 58.436, 1000, 4194304, 4194304, 68.4509, 17, 1.68881, 21, 14, 0.0584204, 0.123696, 0.00303279
1, 58.4697, 1000, 4194304, 4194304, 68.4115, 17, 1.53651, 21, 14, 0.0584548, 0.161273, 0.00311559
1, 57.7709, 1000, 4194304, 4194304, 69.2391, 17, 1.43336, 21, 14, 0.0577548, 0.121942, 0.00312821
1, 58.6684, 1000, 4194304, 4194304, 68.1798, 17, 1.73126, 21, 14, 0.0586534, 0.136254, 0.00322192
1, 58.4437, 1000, 4194304, 4194304, 68.4419, 17, 1.5135, 21, 14, 0.0584272, 0.137945, 0.00290275
2, 33.1341, 1000, 4194304, 4194304, 120.721, 30, 2.51812, 34, 22, 0.0662158, 0.332396, 0.00285293
2, 33.3484, 1000, 4194304, 4194304, 119.946, 29, 3.19653, 35, 23, 0.0666534, 0.297779, 0.00318134
2, 33.5102, 1000, 4194304, 4194304, 119.367, 29, 2.90506, 34, 23, 0.0669647, 0.364486, 0.00298375
2, 34.3012, 1000, 4194304, 4194304, 116.614, 29, 2.93498, 35, 23, 0.0685427, 0.319244, 0.00292118
2, 34.1098, 1000, 4194304, 4194304, 117.268, 29, 3.53099, 38, 21, 0.0681803, 0.361186, 0.00308713
2, 33.4766, 1000, 4194304, 4194304, 119.486, 29, 2.31104, 35, 24, 0.0669102, 0.279436, 0.00281443
2, 33.444, 1000, 4194304, 4194304, 119.603, 29, 3.03889, 36, 23, 0.0668129, 0.36219, 0.00265247
2, 33.2515, 1000, 4194304, 4194304, 120.295, 30, 2.65754, 34, 25, 0.0664525, 0.363322, 0.00280724
2, 33.4977, 1000, 4194304, 4194304, 119.411, 29, 3.36115, 36, 23, 0.0669445, 0.393422, 0.00295367
2, 33.6918, 1000, 4194304, 4194304, 118.723, 29, 3.02107, 36, 24, 0.0673246, 0.580839, 0.00288028
4, 25.2797, 1000, 4194304, 4194304, 158.23, 39, 4.15452, 49, 33, 0.100994, 0.33577, 0.00318574
4, 25.443, 1000, 4194304, 4194304, 157.214, 39, 4.57967, 46, 31, 0.10164, 0.457242, 0.00326838
4, 25.364, 1000, 4194304, 4194304, 157.704, 39, 3.98455, 47, 31, 0.101316, 0.361583, 0.00303268
4, 25.3348, 1000, 4194304, 4194304, 157.886, 39, 4.45346, 48, 33, 0.101181, 0.43457, 0.00318142
4, 25.4076, 1000, 4194304, 4194304, 157.433, 39, 4.7655, 48, 32, 0.101483, 0.688996, 0.00291764
4, 25.3852, 1000, 4194304, 4194304, 157.572, 39, 4.57238, 48, 32, 0.101349, 0.364983, 0.00300349
4, 25.452, 1000, 4194304, 4194304, 157.159, 39, 4.4471, 49, 30, 0.101682, 0.401679, 0.00291306
4, 25.3916, 1000, 4194304, 4194304, 157.533, 39, 4.54166, 48, 31, 0.101429, 0.407414, 0.00300702
4, 25.4654, 1000, 4194304, 4194304, 157.076, 39, 4.82977, 48, 32, 0.101708, 0.424265, 0.00303429
4, 25.4035, 1000, 4194304, 4194304, 157.458, 39, 4.36387, 47, 32, 0.101479, 0.753807, 0.00324956
8, 24.5329, 1000, 4194304, 4194304, 163.046, 40, 5.28174, 50, 30, 0.195185, 0.954495, 0.00335865
8, 24.4647, 1000, 4194304, 4194304, 163.501, 40, 5.43322, 49, 32, 0.195053, 0.760295, 0.00332001
8, 24.4336, 1000, 4194304, 4194304, 163.709, 40, 5.18568, 52, 34, 0.194817, 0.733656, 0.00360584
8, 24.4634, 1000, 4194304, 4194304, 163.51, 40, 5.19877, 53, 31, 0.194973, 1.04495, 0.00327081
8, 24.4534, 1000, 4194304, 4194304, 163.577, 40, 5.33786, 50, 31, 0.194945, 0.674137, 0.00336
8, 24.4624, 1000, 4194304, 4194304, 163.516, 40, 5.88784, 51, 30, 0.194966, 0.861951, 0.00341702
8, 24.4628, 1000, 4194304, 4194304, 163.514, 40, 5.21425, 50, 31, 0.195009, 0.832411, 0.00337583
8, 24.4382, 1000, 4194304, 4194304, 163.678, 40, 5.73178, 51, 32, 0.194827, 0.83074, 0.00338705
8, 24.4693, 1000, 4194304, 4194304, 163.47, 40, 5.04473, 51, 32, 0.194983, 0.717888, 0.00320114
8, 24.4959, 1000, 4194304, 4194304, 163.292, 40, 5.18917, 49, 31, 0.195333, 0.869303, 0.00306656
16, 24.3731, 1000, 4194304, 4194304, 164.115, 41, 4.94737, 52, 34, 0.386799, 2.07985, 0.00331468
16, 24.3851, 1000, 4194304, 4194304, 164.035, 41, 4.43777, 51, 33, 0.386709, 2.07496, 0.00350099
16, 24.3944, 1000, 4194304, 4194304, 163.972, 40, 5.13231, 51, 32, 0.386644, 2.23744, 0.0035362
16, 24.3868, 1000, 4194304, 4194304, 164.023, 41, 4.68559, 51, 34, 0.386891, 1.98846, 0.00334148
16, 24.4679, 1000, 4194304, 4194304, 163.48, 40, 4.9371, 51, 32, 0.387969, 1.74025, 0.00310015
16, 24.3684, 1000, 4194304, 4194304, 164.147, 41, 4.63134, 49, 34, 0.386074, 2.56933, 0.00299741
16, 24.3926, 1000, 4194304, 4194304, 163.984, 40, 5.161, 51, 31, 0.387023, 2.34837, 0.00329842
16, 24.3849, 1000, 4194304, 4194304, 164.036, 41, 4.86261, 51, 32, 0.386916, 1.92609, 0.0035634
16, 24.3954, 1000, 4194304, 4194304, 163.965, 40, 4.65766, 50, 32, 0.386959, 2.84302, 0.00292242
16, 24.3733, 1000, 4194304, 4194304, 164.114, 41, 4.40026, 50, 33, 0.386275, 2.24584, 0.00332112
