Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 192.7, 1000, 4194304, 4194304, 20.7576, 2.22786, 24, 16, 5, 0.556964, 6, 4, 0.192673, 0.0369019, 0.351267, 0.0867812
1, 194.305, 1000, 4194304, 4194304, 20.5862, 2.33839, 28, 16, 5, 0.584598, 7, 4, 0.194276, 0.0392919, 0.438408, 0.0911222
1, 194.273, 1000, 4194304, 4194304, 20.5895, 2.26638, 28, 16, 5, 0.566595, 7, 4, 0.194249, 0.0403611, 0.467283, 0.0867787
1, 191.248, 1000, 4194304, 4194304, 20.9153, 2.65748, 28, 16, 5, 0.664371, 7, 4, 0.191223, 0.0408171, 0.416408, 0.0884143
1, 195.234, 1000, 4194304, 4194304, 20.4882, 2.19253, 24, 16, 5, 0.548133, 6, 4, 0.195209, 0.0403122, 0.420309, 0.0921895
1, 194.501, 1000, 4194304, 4194304, 20.5654, 2.65833, 28, 12, 5, 0.664582, 7, 3, 0.194478, 0.0412578, 0.479182, 0.0865734
1, 195.4, 1000, 4194304, 4194304, 20.4708, 2.7288, 28, 8, 5, 0.682201, 7, 2, 0.195377, 0.0420846, 0.663124, 0.092624
1, 198.612, 1000, 4194304, 4194304, 20.1398, 2.52906, 24, 12, 5, 0.632265, 6, 3, 0.198584, 0.0427143, 0.47483, 0.087636
1, 195.707, 1000, 4194304, 4194304, 20.4388, 2.48274, 24, 16, 5, 0.620685, 6, 4, 0.195679, 0.0387184, 0.377767, 0.0898956
1, 195.118, 1000, 4194304, 4194304, 20.5005, 2.45447, 28, 12, 5, 0.613618, 7, 3, 0.195091, 0.0425837, 0.598191, 0.0919173
2, 112.977, 1000, 4194304, 4194304, 35.4053, 4.06115, 48, 28, 8, 1.01529, 12, 7, 0.225744, 0.0657468, 0.555342, 0.0859534
2, 113.344, 1000, 4194304, 4194304, 35.2907, 3.80033, 44, 24, 8, 0.950082, 11, 6, 0.22658, 0.0625326, 0.54465, 0.0845555
2, 113.124, 1000, 4194304, 4194304, 35.3594, 4.4261, 48, 24, 8, 1.10653, 12, 6, 0.226028, 0.0640905, 0.777672, 0.09489
2, 110.779, 1000, 4194304, 4194304, 36.108, 4.50017, 44, 20, 9, 1.12504, 11, 5, 0.221408, 0.0663081, 0.620289, 0.0847965
2, 113.732, 1000, 4194304, 4194304, 35.1704, 4.49554, 48, 24, 8, 1.12388, 12, 6, 0.227365, 0.0644181, 0.639672, 0.0875727
2, 115.333, 1000, 4194304, 4194304, 34.6823, 4.13414, 44, 28, 8, 1.03353, 11, 7, 0.230575, 0.0684795, 0.549698, 0.0812985
2, 113.935, 1000, 4194304, 4194304, 35.1079, 4.80281, 48, 24, 8, 1.2007, 12, 6, 0.227806, 0.070804, 0.680072, 0.087621
2, 116.076, 1000, 4194304, 4194304, 34.4603, 4.97008, 44, 16, 8, 1.24252, 11, 4, 0.232001, 0.0792605, 0.841349, 0.0863912
2, 112.103, 1000, 4194304, 4194304, 35.6813, 4.33343, 44, 20, 8, 1.08336, 11, 5, 0.224064, 0.0648539, 0.632565, 0.0879678
2, 111.639, 1000, 4194304, 4194304, 35.8296, 4.31245, 48, 28, 8, 1.07811, 12, 7, 0.223228, 0.0648666, 0.532455, 0.0856272
4, 75.2037, 1000, 4194304, 4194304, 53.1889, 6.69199, 72, 36, 13, 1.673, 18, 9, 0.300405, 0.100264, 0.957722, 0.0923746
