Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 155.982, 1000, 4194304, 4194304, 25.6439, 2.94351, 32, 16, 6, 0.735878, 8, 4, 0.155956, 0.036827, 0.448913, 0.107054
1, 153.556, 1000, 4194304, 4194304, 26.0491, 2.71904, 32, 20, 6, 0.67976, 8, 5, 0.153531, 0.0343243, 0.422607, 0.10519
1, 152.505, 1000, 4194304, 4194304, 26.2287, 2.90383, 32, 20, 6, 0.725957, 8, 5, 0.152478, 0.03464, 0.413718, 0.107087
1, 157.805, 1000, 4194304, 4194304, 25.3478, 2.87834, 32, 12, 6, 0.719584, 8, 3, 0.157778, 0.0378293, 0.52154, 0.103215
1, 156.59, 1000, 4194304, 4194304, 25.5445, 2.81788, 32, 20, 6, 0.70447, 8, 5, 0.156564, 0.0361762, 0.49162, 0.103252
1, 154.376, 1000, 4194304, 4194304, 25.9108, 2.82651, 32, 16, 6, 0.706626, 8, 4, 0.154352, 0.0362598, 0.48109, 0.104748
1, 148.038, 1000, 4194304, 4194304, 27.0201, 2.50713, 32, 20, 6, 0.626783, 8, 5, 0.148012, 0.0287876, 0.365463, 0.102601
1, 148.111, 1000, 4194304, 4194304, 27.0069, 2.90905, 32, 16, 6, 0.727263, 8, 4, 0.148084, 0.0279743, 0.394423, 0.102317
1, 159.65, 1000, 4194304, 4194304, 25.0548, 3.29027, 32, 16, 6, 0.822568, 8, 4, 0.159624, 0.048827, 0.595952, 0.103298
1, 160.204, 1000, 4194304, 4194304, 24.9681, 3.1322, 32, 16, 6, 0.783051, 8, 4, 0.160176, 0.0458609, 0.493122, 0.106126
2, 161.941, 1000, 4194304, 4194304, 24.7004, 3.31325, 32, 8, 6, 0.828313, 8, 2, 0.161916, 0.0529968, 0.888709, 0.10456
2, 160.286, 1000, 4194304, 4194304, 24.9554, 2.9242, 32, 16, 6, 0.73105, 8, 4, 0.160263, 0.0449151, 0.636357, 0.105994
2, 159.816, 1000, 4194304, 4194304, 25.0287, 3.14924, 32, 12, 6, 0.787309, 8, 3, 0.159789, 0.0426523, 0.700465, 0.106316
2, 158.859, 1000, 4194304, 4194304, 25.1795, 3.24018, 32, 12, 6, 0.810044, 8, 3, 0.158837, 0.0389682, 0.501356, 0.103111
2, 163.099, 1000, 4194304, 4194304, 24.525, 4.14901, 32, 8, 6, 1.03725, 8, 2, 0.163072, 0.0591733, 0.744246, 0.104807
2, 85.54, 1000, 4194304, 4194304, 46.7617, 4.95266, 60, 36, 11, 1.23817, 15, 9, 0.170734, 0.0476713, 0.473027, 0.105987
2, 84.112, 1000, 4194304, 4194304, 47.5556, 5.05983, 60, 36, 11, 1.26496, 15, 9, 0.168155, 0.0450497, 0.450053, 0.102552
2, 80.5548, 1000, 4194304, 4194304, 49.6556, 4.39101, 60, 36, 12, 1.09775, 15, 9, 0.161026, 0.0445094, 0.642643, 0.097414
2, 82.6046, 1000, 4194304, 4194304, 48.4234, 4.21666, 56, 40, 12, 1.05416, 14, 10, 0.165015, 0.0446225, 0.586685, 0.104061
2, 92.558, 1000, 4194304, 4194304, 43.2162, 6.429, 60, 24, 10, 1.60725, 15, 6, 0.185024, 0.0615393, 0.607144, 0.104159
4, 89.1131, 1000, 4194304, 4194304, 44.8868, 5.5515, 56, 28, 11, 1.38788, 14, 7, 0.17798, 0.0537785, 0.561084, 0.103191
