Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 53.898, 1000, 4194304, 4194304, 74.2142, 18, 2.54623, 23, 10, 0.0538815, 0.268289, 0.0101505
1, 52.7117, 1000, 4194304, 4194304, 75.8845, 18, 1.85728, 23, 14, 0.052696, 0.338741, 0.0102159
1, 51.9641, 1000, 4194304, 4194304, 76.9761, 19, 1.79542, 23, 15, 0.0519493, 0.331637, 0.00970316
1, 51.9133, 1000, 4194304, 4194304, 77.0516, 19, 1.773, 23, 15, 0.0518987, 0.268432, 0.0101297
1, 51.9023, 1000, 4194304, 4194304, 77.0678, 19, 1.95799, 24, 15, 0.0518865, 0.230515, 0.00959908
1, 51.3799, 1000, 4194304, 4194304, 77.8514, 19, 2.023, 23, 13, 0.0513649, 0.303146, 0.00967018
1, 52.045, 1000, 4194304, 4194304, 76.8566, 19, 2.1175, 23, 12, 0.0520298, 0.278845, 0.00958973
1, 52.0352, 1000, 4194304, 4194304, 76.871, 19, 2.0033, 22, 14, 0.0520207, 0.272426, 0.00950513
1, 51.1587, 1000, 4194304, 4194304, 78.188, 19, 1.81389, 23, 15, 0.0511431, 0.112762, 0.00917026
1, 52.1588, 1000, 4194304, 4194304, 76.6889, 19, 1.84055, 23, 15, 0.0521433, 0.231273, 0.00887504
2, 36.584, 1000, 4194304, 4194304, 109.337, 27, 3.50363, 34, 19, 0.0730918, 0.451206, 0.00928419
2, 35.7577, 1000, 4194304, 4194304, 111.864, 27, 2.65115, 33, 22, 0.0714357, 0.350667, 0.0107037
2, 35.1168, 1000, 4194304, 4194304, 113.906, 28, 2.57101, 33, 23, 0.0701404, 0.325095, 0.00959425
2, 35.9349, 1000, 4194304, 4194304, 111.312, 27, 3.28224, 33, 17, 0.0717979, 0.368367, 0.0099497
2, 35.6006, 1000, 4194304, 4194304, 112.358, 28, 2.56446, 32, 22, 0.0711074, 0.331834, 0.00981224
2, 35.859, 1000, 4194304, 4194304, 111.548, 27, 2.95996, 33, 21, 0.0716292, 0.355704, 0.00962147
2, 35.4256, 1000, 4194304, 4194304, 112.913, 28, 2.6138, 34, 22, 0.0708045, 0.332504, 0.0101848
2, 35.3592, 1000, 4194304, 4194304, 113.125, 28, 2.43849, 33, 22, 0.0706516, 0.342862, 0.0107182
2, 37.7297, 1000, 4194304, 4194304, 106.017, 26, 4.00375, 33, 16, 0.0753901, 0.456254, 0.0101789
2, 35.5142, 1000, 4194304, 4194304, 112.631, 28, 2.49874, 33, 22, 0.0709399, 0.475512, 0.0106064
4, 29.9837, 1000, 4194304, 4194304, 133.406, 33, 2.51302, 38, 29, 0.119789, 0.795145, 0.00984212
4, 30.0985, 1000, 4194304, 4194306 7 8 9 104, 132.897, 33, 3.22633, 39, 28, 0.120033, 0.861494, 0.00988491
4, 29.6431, 1000, 4194304, 4194304, 134.939, 33, 2.59262, 40, 30, 0.118333, 0.722201, 0.00902403
4, 29.7638, 1000, 4194304, 4194304, 134.392, 33, 2.99507, 40, 29, 0.118842, 0.7757, 0.00997072
4, 29.8091, 1000, 4194304, 4194304, 134.187, 33, 2.89811, 38, 28, 0.119036, 0.594167, 0.0103201
4, 29.994, 1000, 4194304, 4194304, 133.36, 33, 2.80657, 38, 28, 0.119701, 0.461615, 0.00998646
4, 29.5796, 1000, 4194304, 4194304, 135.229, 33, 2.94782, 39, 28, 0.118126, 0.429641, 0.0109743
4, 29.5774, 1000, 4194304, 4194304, 135.238, 33, 2.51987, 39, 29, 0.11817, 0.641973, 0.00996808
4, 29.5899, 1000, 4194304, 4194304, 135.181, 33, 3.02249, 40, 27, 0.118207, 0.461266, 0.0107616
4, 29.9132, 1000, 4194304, 4194304, 133.72, 33, 2.8849, 38, 26, 0.119302, 0.591388, 0.0101864
8, 28.1497, 1000, 4194304, 4194304, 142.097, 35, 3.19122, 43, 30, 0.224469, 1.44584, 0.00978445
8, 27.9855, 1000, 4194304, 4194304, 142.931, 35, 2.66239, 42, 30, 0.223301, 1.31244, 0.0106362
8, 28.0441, 1000, 4194304, 4194304, 142.632, 35, 2.85728, 41, 31, 0.223819, 0.944603, 0.0102566
8, 28.2451, 1000, 4194304, 4194304, 141.618, 35, 3.53273, 44, 30, 0.224514, 1.22574, 0.0108469
8, 27.9896, 1000, 4194304, 4194304, 142.91, 35, 2.65757, 40, 32, 0.223316, 1.21319, 0.0114896
8, 28.1461, 1000, 4194304, 4194304, 142.115, 35, 2.87366, 43, 30, 0.224658, 1.23375, 0.0100031
8, 27.9713, 1000, 4194304, 4194304, 143.004, 35, 3.08336, 42, 30, 0.223122, 1.55741, 0.0107017
8, 27.9727, 1000, 4194304, 4194304, 142.996, 35, 3.18159, 44, 30, 0.22323, 0.930463, 0.0124053
8, 28.058, 1000, 4194304, 4194304, 142.562, 35, 2.7146, 42, 29, 0.224087, 1.16358, 0.0103539
8, 28.2011, 1000, 4194304, 4194304, 141.838, 35, 3.20115, 44, 29, 0.225073, 1.02133, 0.0111828
16, 27.6332, 1000, 4194304, 4194304, 144.753, 36, 3.96459, 44, 29, 0.439623, 3.64092, 0.0104038
16, 27.6048, 1000, 4194304, 4194304, 144.902, 36, 3.52928, 46, 29, 0.438518, 3.51522, 0.0121175
16, 27.5734, 1000, 4194304, 4194304, 145.067, 36, 3.42731, 44, 30, 0.438497, 3.32894, 0.0109559
16, 27.7614, 1000, 4194304, 4194304, 144.085, 36, 3.68295, 46, 29, 0.441251, 4.41238, 0.0114931
16, 27.6125, 1000, 4194304, 4194304, 144.862, 36, 4.42925, 47, 28, 0.4392, 3.3964, 0.0103708
16, 27.6892, 1000, 4194304, 4194304, 144.461, 36, 3.6162, 46, 29, 0.440336, 3.6655, 0.0102196
16, 27.6046, 1000, 4194304, 4194304, 144.903, 36, 4.13277, 45, 29, 0.438361, 3.28682, 0.011165
16, 27.6526, 1000, 4194304, 4194304, 144.652, 36, 2.63604, 42, 33, 0.439435, 3.71498, 0.0110154
16, 27.6431, 1000, 4194304, 4194304, 144.702, 36, 4.04779, 47, 29, 0.439652, 3.54947, 0.00940703
16, 27.6535, 1000, 4194304, 4194304, 144.647, 36, 3.34357, 45, 29, 0.439275, 3.54663, 0.0104155
