Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 61.2911, 1000, 4194304, 4194304, 65.2623, 16, 5.07652, 24, 0, 0.0612764, 1.79074, 0.0166925
1, 53.9515, 1000, 4194304, 4194304, 74.1407, 18, 2.24142, 22, 14, 0.0539378, 0.304629, 0.015038
1, 53.1385, 1000, 4194304, 4194304, 75.275, 18, 2.22794, 25, 14, 0.0531242, 0.272646, 0.0149807
1, 52.6557, 1000, 4194304, 4194304, 75.9651, 18, 2.67861, 23, 12, 0.0526424, 0.306228, 0.0151306
1, 53.7392, 1000, 4194304, 4194304, 74.4335, 18, 2.52304, 23, 13, 0.0537213, 0.271765, 0.01541
1, 54.5168, 1000, 4194304, 4194304, 73.3718, 18, 2.72653, 24, 12, 0.0545022, 0.270551, 0.0153302
1, 53.1221, 1000, 4194304, 4194304, 75.2982, 18, 2.80149, 24, 10, 0.0531076, 0.3007, 0.0158424
1, 53.5342, 1000, 4194304, 4194304, 74.7185, 18, 2.41713, 24, 13, 0.0535204, 0.307608, 0.0151045
1, 53.5281, 1000, 4194304, 4194304, 74.7271, 18, 3.00604, 25, 12, 0.0535139, 0.300989, 0.0150852
1, 54.3574, 1000, 4194304, 4194304, 73.587, 18, 2.94937, 24, 9, 0.0543433, 0.308778, 0.015764
2, 40.7317, 1000, 4194304, 4194304, 98.2036, 24, 2.80978, 29, 17, 0.0814108, 0.712418, 0.0165798
2, 40.0361, 1000, 4194304, 4194304, 99.9097, 24, 2.56692, 31, 20, 0.0800085, 0.504835, 0.0172816
2, 40.3447, 1000, 4194304, 4194304, 99.1456, 24, 2.64624, 29, 18, 0.0806346, 0.367728, 0.0158916
2, 40.8685, 1000, 4194304, 4194304, 97.8749, 24, 3.1451, 29, 17, 0.0816824, 0.349221, 0.0170283
2, 39.9827, 1000, 4194304, 4194304, 100.043, 25, 2.68323, 30, 17, 0.0798869, 0.335876, 0.01707
2, 40.7765, 1000, 4194304, 4194304, 98.0958, 24, 2.96031, 30, 17, 0.0814704, 0.497833, 0.0157908
2, 39.9567, 1000, 4194304, 4194304, 100.108, 25, 2.52357, 30, 19, 0.0798605, 0.336748, 0.0149926
2, 41.3242, 1000, 4194304, 4194304, 96.7955, 24, 3.32048, 31, 15, 0.0825933, 0.445855, 0.0150476
2, 41.4796, 1000, 4194304, 4194304, 96.433, 24, 2.93943, 30, 17, 0.0828751, 0.57611, 0.0151581
2, 42.0182, 1000, 4194304, 4194304, 95.1969, 23, 3.59902, 29, 12, 0.0839557, 0.452704, 0.0150986
4, 33.495, 1000, 4194304, 4194304, 119.421, 29, 2.64289, 35, 24, 0.133786, 0.846784, 0.0188697
4, 33.7289, 1000, 4194304, 4194304, 118.593, 29, 2.81668, 36, 23, 0.134705, 1.2733, 0.0186541
4, 32.8889, 1000, 4194304, 4194304, 121.622, 30, 2.44928, 35, 26, 0.131352, 0.835016, 0.0175188
4, 33.7862, 1000, 4194304, 4194304, 118.392, 29, 3.03203, 38, 22, 0.134943, 0.925823, 0.0196641
4, 33.5984, 1000, 4194304, 4194304, 119.053, 29, 2.62779, 36, 22, 0.134236, 0.709916, 0.0197992
4, 33.4021, 1000, 4194304, 4194304, 119.753, 29, 2.67352, 37, 24, 0.133011, 0.657265, 0.0194361
4, 32.9001, 1000, 4194304, 4194304, 121.58, 30, 1.90817, 34, 27, 0.131388, 1.71517, 0.019428
4, 33.769, 1000, 4194304, 4194304, 118.452, 29, 2.9689, 34, 21, 0.134803, 0.853795, 0.0178987
4, 33.0503, 1000, 4194304, 4194304, 121.028, 30, 2.62527, 35, 25, 0.131735, 0.777216, 0.0213309
4, 33.0552, 1000, 4194304, 4194304, 121.01, 30, 2.27802, 35, 25, 0.132001, 0.649632, 0.0153636
8, 30.5634, 1000, 4194304, 4194304, 130.875, 32, 2.51456, 37, 25, 0.243797, 1.80881, 0.024533
8, 30.9243, 1000, 4194304, 4194304, 129.348, 32, 2.79901, 39, 28, 0.246166, 1.42864, 0.0285388
8, 30.7124, 1000, 4194304, 4194304, 130.241, 32, 2.43159, 37, 29, 0.244958, 1.47646, 0.0258014
8, 30.5502, 1000, 4194304, 4194304, 130.932, 32, 2.47957, 37, 26, 0.243301, 1.1295, 0.0296289
8, 30.5951, 1000, 4194304, 4194304, 130.74, 32, 2.37419, 39, 28, 0.243885, 1.25203, 0.0244004
8, 30.6076, 1000, 4194304, 4194304, 130.687, 32, 2.12511, 37, 29, 0.244104, 1.17614, 0.0271657
8, 30.762, 1000, 4194304, 4194304, 130.031, 32, 2.38891, 36, 28, 0.245374, 1.3268, 0.02542
8, 30.5328, 1000, 4194304, 4194304, 131.007, 32, 2.4842, 37, 29, 0.243456, 1.19735, 0.0302339
8, 30.7644, 1000, 4194304, 4194304, 130.02, 32, 2.29843, 37, 25, 0.245228, 1.64556, 0.0245652
8, 30.5523, 1000, 4194304, 4194304, 130.923, 32, 2.64705, 39, 28, 0.243597, 1.3107, 0.0276084
16, 29.7619, 1000, 4194304, 4194304, 134.4, 33, 1.95642, 39, 31, 0.471978, 4.44805, 0.036913
16, 29.7243, 1000, 4194304, 4194304, 134.57, 33, 2.87378, 40, 29, 0.47218, 3.38791, 0.0342481
16, 29.641, 1000, 4194304, 4194304, 134.948, 33, 2.66615, 39, 28, 0.470932, 3.72075, 0.0366413
16, 29.8123, 1000, 4194304, 4194304, 134.173, 33, 2.49877, 39, 27, 0.473684, 4.27936, 0.0287275
16, 29.6732, 1000, 4194304, 4194304, 134.802, 33, 2.41455, 40, 29, 0.471933, 2.94375, 0.0305148
16, 29.7954, 1000, 4194304, 4194304, 134.249, 33, 2.55771, 39, 28, 0.473254, 4.09773, 0.0362279
16, 29.9501, 1000, 4194304, 4194304, 133.556, 33, 2.20836, 38, 29, 0.47523, 3.64005, 0.034979
16, 29.7863, 1000, 4194304, 4194304, 134.29, 33, 2.69373, 39, 27, 0.473337, 4.28049, 0.0321032
16, 29.9209, 1000, 4194304, 4194304, 133.686, 33, 2.76591, 39, 28, 0.474953, 2.96127, 0.0317097
16, 29.6446, 1000, 4194304, 4194304, 134.932, 33, 2.54128, 39, 29, 0.470933, 3.84515, 0.039893
