Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 140.849, 1000, 4194304, 4194304, 28.3993, 9.17133, 36, 0, 7, 2.30349, 9, 0, 0.140822, 0.12315, 1.37652, 0.0824571
1, 127.283, 1000, 4194304, 4194304, 31.426, 2.85429, 40, 24, 7, 0.713573, 10, 6, 0.127255, 0.0271322, 0.330707, 0.0831488
1, 126.766, 1000, 4194304, 4194304, 31.5542, 2.84454, 36, 24, 7, 0.711136, 9, 6, 0.126737, 0.0271022, 0.397427, 0.0835447
1, 125.554, 1000, 4194304, 4194304, 31.8587, 3.08403, 40, 24, 7, 0.771007, 10, 6, 0.125526, 0.0264674, 0.415402, 0.0809846
1, 126.107, 1000, 4194304, 4194304, 31.7191, 2.9144, 36, 24, 7, 0.728599, 9, 6, 0.126078, 0.0288638, 0.383102, 0.0822818
1, 126.292, 1000, 4194304, 4194304, 31.6726, 2.706, 36, 24, 7, 0.676499, 9, 6, 0.126263, 0.0276849, 0.40791, 0.0832064
1, 127.57, 1000, 4194304, 4194304, 31.3552, 2.81016, 36, 24, 7, 0.702541, 9, 6, 0.12754, 0.0276069, 0.431291, 0.0825271
1, 126.955, 1000, 4194304, 4194304, 31.5073, 3.26365, 40, 20, 7, 0.815913, 10, 5, 0.126924, 0.0309438, 0.450677, 0.0830548
1, 126.38, 1000, 4194304, 4194304, 31.6507, 2.86305, 40, 24, 7, 0.715764, 10, 6, 0.12635, 0.0264607, 0.357821, 0.0814041
1, 124.557, 1000, 4194304, 4194304, 32.1137, 2.90617, 40, 28, 8, 0.726543, 10, 7, 0.124529, 0.0223959, 0.258892, 0.0807147
2, 71.5366, 1000, 4194304, 4194304, 55.9154, 5.71461, 68, 40, 13, 1.42865, 17, 10, 0.143026, 0.0489774, 0.481702, 0.0807815
2, 68.6714, 1000, 4194304, 4194304, 58.2484, 5.5424, 68, 36, 14, 1.3856, 17, 9, 0.13728, 0.0409951, 0.488711, 0.079463
2, 70.9078, 1000, 4194304, 4194304, 56.4113, 6.48719, 68, 36, 14, 1.6218, 17, 9, 0.141676, 0.0510048, 0.589582, 0.0807461
2, 71.4426, 1000, 4194304, 4194304, 55.989, 6.36034, 68, 32, 13, 1.59008, 17, 8, 0.142748, 0.0496726, 0.508403, 0.0792058
2, 69.6519, 1000, 4194304, 4194304, 57.4284, 6.05178, 68, 40, 14, 1.51294, 17, 10, 0.139206, 0.0469062, 0.578205, 0.0792168
