Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 58.1552, 1000, 4194304, 4194304, 68.7815, 17, 1.86508, 21, 11, 0.0581362, 0.21344, 0.0152855
1, 57.4231, 1000, 4194304, 4194304, 69.6584, 17, 1.56921, 21, 15, 0.0574034, 0.164164, 0.0174947
1, 56.6305, 1000, 4194304, 4194304, 70.6333, 17, 1.22514, 20, 15, 0.0566127, 0.175702, 0.0153233
1, 56.773, 1000, 4194304, 4194304, 70.4561, 17, 1.64662, 21, 14, 0.0567587, 0.158134, 0.0169929
1, 56.9287, 1000, 4194304, 4194304, 70.2633, 17, 1.34647, 21, 15, 0.0569141, 0.185117, 0.020013
1, 57.9888, 1000, 4194304, 4194304, 68.9788, 17, 2.02908, 21, 11, 0.0579705, 0.27586, 0.0173782
1, 57.6549, 1000, 4194304, 4194304, 69.3783, 17, 1.56401, 21, 15, 0.0576396, 0.155932, 0.0200581
1, 56.8962, 1000, 4194304, 4194304, 70.3034, 17, 1.50971, 21, 15, 0.0568785, 0.149839, 0.0150318
1, 56.8619, 1000, 4194304, 4194304, 70.3459, 17, 1.67089, 21, 15, 0.0568475, 0.153637, 0.0156602
1, 56.6878, 1000, 4194304, 4194304, 70.5619, 17, 1.64514, 22, 14, 0.0566717, 0.154722, 0.0198699
2, 31.1208, 1000, 4194304, 4194304, 128.532, 32, 3.1022, 42, 26, 0.0621894, 0.291152, 0.0174294
2, 31.4615, 1000, 4194304, 4194304, 127.14, 31, 2.96865, 37, 26, 0.0628807, 0.349625, 0.0163685
2, 31.3026, 1000, 4194304, 4194304, 127.785, 31, 3.17212, 39, 24, 0.0625636, 0.325924, 0.0160054
2, 31.3605, 1000, 4194304, 4194304, 127.549, 31, 3.33763, 37, 24, 0.0626686, 0.323141, 0.016222
2, 32.0437, 1000, 4194304, 4194304, 124.829, 31, 2.64499, 39, 26, 0.0640519, 0.554239, 0.0153032
2, 31.7101, 1000, 4194304, 4194304, 126.143, 31, 3.19139, 40, 25, 0.0633867, 0.397492, 0.0162119
2, 31.5934, 1000, 4194304, 4194304, 126.609, 31, 3.67672, 39, 22, 0.063137, 0.358302, 0.0167948
2, 30.8609, 1000, 4194304, 4194304, 129.614, 32, 2.78667, 38, 25, 0.0616787, 0.311283, 0.0158105
2, 31.4931, 1000, 4194304, 4194304, 127.012, 31, 3.0328, 37, 25, 0.0629217, 0.487779, 0.0172326
2, 31.313, 1000, 4194304, 4194304, 127.742, 31, 3.12981, 39, 25, 0.0625792, 0.323967, 0.0160055
4, 21.802, 1000, 4194304, 4194304, 183.469, 45, 6.20177, 62, 35, 0.0871426, 0.588897, 0.020023
