Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 140.005, 1000, 4194304, 4194304, 28.5705, 2.89733, 36, 20, 7, 0.724333, 9, 5, 0.13998, 0.0274076, 0.375926, 0.0838638
1, 139.316, 1000, 4194304, 4194304, 28.7117, 2.35553, 32, 20, 7, 0.588883, 8, 5, 0.139292, 0.0244209, 0.291734, 0.0903109
1, 140.85, 1000, 4194304, 4194304, 28.3991, 2.55247, 36, 20, 7, 0.638118, 9, 5, 0.140825, 0.0260431, 0.316384, 0.091557
1, 140.317, 1000, 4194304, 4194304, 28.5069, 2.37337, 32, 24, 7, 0.593343, 8, 6, 0.140293, 0.0263563, 0.3934, 0.0938461
1, 140.62, 1000, 4194304, 4194304, 28.4454, 2.4791, 36, 24, 7, 0.619775, 9, 6, 0.140597, 0.0237278, 0.282839, 0.0920246
1, 139.822, 1000, 4194304, 4194304, 28.6078, 2.4676, 32, 24, 7, 0.6169, 8, 6, 0.139798, 0.023751, 0.395813, 0.095102
1, 139.217, 1000, 4194304, 4194304, 28.7321, 2.2199, 32, 24, 7, 0.554975, 8, 6, 0.139193, 0.0240296, 0.347555, 0.0912803
1, 140.811, 1000, 4194304, 4194304, 28.407, 2.7269, 36, 20, 7, 0.681724, 9, 5, 0.140785, 0.0245757, 0.343933, 0.0897083
1, 139.956, 1000, 4194304, 4194304, 28.5804, 2.36895, 36, 24, 7, 0.592238, 9, 6, 0.139932, 0.0246802, 0.316771, 0.0899778
1, 141.229, 1000, 4194304, 4194304, 28.3227, 2.34562, 32, 20, 7, 0.586405, 8, 5, 0.141203, 0.0262294, 0.365746, 0.0924646
2, 79.6865, 1000, 4194304, 4194304, 50.1967, 6.00162, 64, 36, 12, 1.50041, 16, 9, 0.159268, 0.0486838, 0.571371, 0.0919086
2, 78.8063, 1000, 4194304, 4194304, 50.7573, 5.80583, 64, 36, 12, 1.45146, 16, 9, 0.157528, 0.0497801, 0.561162, 0.0914915
2, 79.2202, 1000, 4194304, 4194304, 50.4922, 4.36385, 60, 40, 12, 1.09096, 15, 10, 0.158377, 0.0472104, 0.433303, 0.0871107
2, 78.9437, 1000, 4194304, 4194304, 50.669, 6.1149, 60, 32, 12, 1.52872, 15, 8, 0.157837, 0.0502087, 0.584459, 0.0904409
2, 78.646, 1000, 4194304, 4194304, 50.8608, 4.75633, 60, 36, 12, 1.18908, 15, 9, 0.157105, 0.044512, 0.431525, 0.0903887
2, 76.925, 1000, 4194304, 4194304, 51.9987, 5.24568, 64, 40, 12, 1.31142, 16, 10, 0.153707, 0.0457102, 0.559101, 0.0872706
2, 78.1101, 1000, 4194304, 4194304, 51.2097, 5.21173, 60, 36, 12, 1.30293, 15, 9, 0.156195, 0.0462216, 0.446913, 0.0915
2, 77.7534, 1000, 4194304, 4194304, 51.4447, 5.9241, 64, 32, 12, 1.48103, 16, 8, 0.155426, 0.0468236, 0.583623, 0.0879157
