Thread, Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
1, 175.037, 1000, 4194304, 4194304, 22.8523, 3.4326, 28, 4, 5, 0.858149, 7, 1, 0.175012, 0.0637917, 1.37178, 0.128753
1, 174.243, 1000, 4194304, 4194304, 22.9564, 2.68309, 28, 16, 5, 0.670773, 7, 4, 0.174218, 0.0372254, 0.43329, 0.126579
1, 174.699, 1000, 4194304, 4194304, 22.8966, 2.33116, 28, 16, 5, 0.582791, 7, 4, 0.174673, 0.0356685, 0.433759, 0.126991
1, 170.654, 1000, 4194304, 4194304, 23.4393, 2.47328, 28, 16, 5, 0.618319, 7, 4, 0.170629, 0.0323737, 0.45506, 0.128442
1, 174.643, 1000, 4194304, 4194304, 22.9038, 2.66441, 28, 12, 5, 0.666102, 7, 3, 0.174618, 0.0389964, 0.599874, 0.129032
1, 175.24, 1000, 4194304, 4194304, 22.8259, 2.58285, 28, 16, 5, 0.645713, 7, 4, 0.175216, 0.0369219, 0.450194, 0.131322
1, 171.707, 1000, 4194304, 4194304, 23.2956, 2.66357, 28, 16, 5, 0.665892, 7, 4, 0.171681, 0.033332, 0.45741, 0.128879
1, 172.431, 1000, 4194304, 4194304, 23.1977, 2.39452, 28, 16, 5, 0.598629, 7, 4, 0.172405, 0.0322571, 0.424808, 0.130133
1, 171.901, 1000, 4194304, 4194304, 23.2692, 2.41586, 28, 16, 5, 0.603966, 7, 4, 0.171876, 0.0333756, 0.494663, 0.128665
1, 170.855, 1000, 4194304, 4194304, 23.4117, 2.50015, 28, 16, 5, 0.625037, 7, 4, 0.17083, 0.0347556, 0.425199, 0.129407
2, 98.9766, 1000, 4194304, 4194304, 40.4136, 4.71855, 52, 28, 10, 1.17964, 13, 7, 0.197892, 0.0597673, 0.5463, 0.126816
2, 99.0365, 1000, 4194304, 4194304, 40.3891, 4.76986, 52, 28, 10, 1.19247, 13, 7, 0.198042, 0.0604016, 0.646157, 0.126523
2, 101.811, 1000, 4194304, 4194304, 39.2885, 5.7051, 52, 20, 9, 1.42627, 13, 5, 0.203541, 0.0709829, 0.924894, 0.12821
2, 101.472, 1000, 4194304, 4194304, 39.4196, 5.75183, 48, 20, 9, 1.43796, 12, 5, 0.202861, 0.06965, 0.69992, 0.12888
2, 100.815, 1000, 4194304, 4194304, 39.6766, 5.02422, 52, 24, 9, 1.25606, 13, 6, 0.201533, 0.0629548, 0.605448, 0.125022
2, 97.4397, 1000, 4194304, 4194304, 41.051, 4.51953, 52, 28, 10, 1.12988, 13, 7, 0.194753, 0.0590905, 0.715186, 0.130263
2, 98.5114, 1000, 4194304, 4194304, 40.6044, 4.7832, 48, 28, 10, 1.1958, 12, 7, 0.196794, 0.058142, 0.645805, 0.125852
2, 98.8332, 1000, 4194304, 4194304, 40.4722, 4.59072, 48, 28, 10, 1.14768, 12, 7, 0.197539, 0.0582281, 0.597802, 0.124342
2, 98.928, 1000, 4194304, 4194304, 40.4334, 4.18487, 48, 32, 10, 1.04622, 12, 8, 0.197779, 0.060254, 0.792211, 0.129949
2, 98.5853, 1000, 4194304, 4194304, 40.574, 4.70139, 52, 32, 10, 1.17535, 13, 8, 0.19694, 0.0602016, 0.607255, 0.12632
4, 69.478, 1000, 4194304, 4194304, 57.5722, 5.90519, 68, 44, 14, 1.4763, 17, 11, 0.277587, 0.100258, 0.863955, 0.132214
4, 72.0435, 1000, 4194304, 4194304, 55.522, 8.38342, 72, 12, 13, 2.09585, 18, 3, 0.287622, 0.125827, 1.35503, 0.130884
4, 71.9131, 1000, 4194304, 4194304, 55.6227, 7.53369, 72, 32, 13, 1.88342, 18, 8, 0.287299, 0.115961, 1.0707, 0.131293
4, 69.5002, 1000, 4194304, 4194304, 57.5538, 6.17284, 68, 40, 14, 1.54321, 17, 10, 0.277681, 0.0965098, 0.806904, 0.133358
4, 70.4096, 1000, 4194304, 4194304, 56.8104, 7.05001, 72, 36, 14, 1.7625, 18, 9, 0.280656, 0.0954387, 0.742249, 0.131525
4, 69.8409, 1000, 4194304, 4194304, 57.2731, 7.39162, 72, 32, 14, 1.8479, 18, 8, 0.27893, 0.0934859, 0.972636, 0.125779
4, 70.7276, 1000, 4194304, 4194304, 56.555, 5.99682, 72, 36, 14, 1.49921, 18, 9, 0.282563, 0.100582, 0.850326, 0.129705
4, 70.0987, 1000, 4194304, 4194304, 57.0624, 7.19696, 72, 36, 14, 1.79924, 18, 9, 0.279986, 0.104701, 1.00125, 0.130403
4, 70.301, 1000, 4194304, 4194304, 56.8982, 6.66874, 72, 36, 14, 1.66718, 18, 9, 0.280917, 0.0998021, 0.801415, 0.130456
4, 70.9911, 1000, 4194304, 4194304, 56.3451, 5.46656, 68, 36, 14, 1.36664, 17, 9, 0.283674, 0.100777, 0.899177, 0.130186
8, 58.3814, 1000, 4194304, 4194304, 68.515, 8.1192, 84, 44, 17, 2.0298, 21, 11, 0.465881, 0.180869, 1.48761, 0.151279
8, 58.6577, 1000, 4194304, 4194304, 68.1923, 8.44841, 92, 48, 17, 2.1121, 23, 12, 0.463855, 0.166391, 1.5748, 0.14028
8, 59.9762, 1000, 4194304, 4194304, 66.6932, 10.3737, 84, 36, 16, 2.59343, 21, 9, 0.477103, 0.202974, 1.7166, 0.139316
8, 59.6368, 1000, 4194304, 4194304, 67.0727, 8.7903, 80, 28, 16, 2.19758, 20, 7, 0.476056, 0.194677, 1.64144, 0.137115
8, 58.295, 1000, 4194304, 4194304, 68.6166, 7.20422, 80, 44, 17, 1.80106, 20, 11, 0.465136, 0.166733, 1.23428, 0.140072
8, 58.8032, 1000, 4194304, 4194304, 68.0236, 8.19041, 92, 44, 17, 2.0476, 23, 11, 0.468833, 0.180479, 1.45051, 0.138442
8, 58.4219, 1000, 4194304, 4194304, 68.4675, 9.486, 88, 28, 17, 2.3715, 22, 7, 0.466211, 0.170898, 1.1954, 0.134095
8, 59.8024, 1000, 4194304, 4194304, 66.8869, 8.41195, 88, 52, 16, 2.10299, 22, 13, 0.47762, 0.195593, 1.34207, 0.144264
8, 58.4087, 1000, 4194304, 4194304, 68.4829, 8.65022, 84, 44, 17, 2.16256, 21, 11, 0.465605, 0.174159, 1.37527, 0.139294
8, 61.3406, 1000, 4194304, 4194304, 65.2097, 11.8737, 84, 16, 16, 2.96841, 21, 4, 0.489082, 0.214561, 1.69252, 0.146015
16, 55.695, 1000, 4194304, 4194304, 71.8198, 12.2629, 96, 20, 17, 3.06572, 24, 5, 0.886366, 0.40569, 2.85144, 0.216754
16, 55.4967, 1000, 4194304, 4194304, 72.0763, 11.9325, 96, 24, 18, 2.98312, 24, 6, 0.884023, 0.431075, 3.90257, 0.172056
16, 55.6406, 1000, 4194304, 4194304, 71.8899, 14.1038, 112, 24, 17, 3.52595, 28, 6, 0.884779, 0.461, 3.41984, 0.139526
16, 56.3472, 1000, 4194304, 4194304, 70.9884, 9.48656, 88, 36, 17, 2.37164, 22, 9, 0.898154, 0.443725, 3.17505, 0.199647
16, 55.1942, 1000, 4194304, 4194304, 72.4714, 9.97667, 88, 44, 18, 2.49417, 22, 11, 0.879448, 0.448957, 3.52401, 0.204071
16, 54.9486, 1000, 4194304, 4194304, 72.7954, 10.4327, 100, 32, 18, 2.60818, 25, 8, 0.873996, 0.430621, 3.78871, 0.20196
16, 56.1413, 1000, 4194304, 4194304, 71.2488, 8.4764, 88, 44, 17, 2.1191, 22, 11, 0.895395, 0.450318, 3.16692, 0.208631
16, 55.615, 1000, 4194304, 4194304, 71.9231, 10.1957, 100, 40, 17, 2.54892, 25, 10, 0.88624, 0.437584, 3.23081, 0.198567
16, 55.5273, 1000, 4194304, 4194304, 72.0367, 11.2459, 96, 28, 18, 2.81147, 24, 7, 0.880936, 0.414032, 3.44132, 0.215454
16, 55.2905, 1000, 4194304, 4194304, 72.3451, 10.2268, 92, 32, 18, 2.5567, 23, 8, 0.879371, 0.45437, 3.03163, 0.157593
