Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.02, 535, 1048576, 1048576, 17.8215, 12.3949, 33, 1, 17, 12.3949, 33, 1, 0.112194, 0.195067, 1.33053, 0.0448931
30.0403, 858, 1048576, 1048576, 28.5616, 2.80066, 32, 18, 28, 2.80066, 32, 18, 0.069986, 0.0273474, 0.286734, 0.0444497
30.0774, 836, 1048576, 1048576, 27.795, 2.65746, 33, 18, 27, 2.65746, 33, 18, 0.0718995, 0.033206, 0.362083, 0.042384
30.0245, 849, 1048576, 1048576, 28.2769, 2.66113, 33, 22, 28, 2.66113, 33, 22, 0.0707097, 0.0273764, 0.353203, 0.0440509
30.0415, 859, 1048576, 1048576, 28.5938, 2.17641, 33, 25, 28, 2.17641, 33, 25, 0.0699189, 0.0290142, 0.286236, 0.0410894
30.0471, 859, 1048576, 1048576, 28.5884, 2.45909, 33, 24, 28, 2.45909, 33, 24, 0.069908, 0.0248946, 0.274079, 0.0450378
30.0332, 863, 1048576, 1048576, 28.7348, 1.80325, 32, 24, 28, 1.80325, 32, 24, 0.0695729, 0.0245695, 0.278001, 0.0450257
30.0481, 864, 1048576, 1048576, 28.7539, 2.40593, 33, 24, 28, 2.40593, 33, 24, 0.069495, 0.0281142, 0.278422, 0.0435733
30.0525, 861, 1048576, 1048576, 28.6499, 1.92055, 32, 25, 28, 1.92055, 32, 25, 0.0697733, 0.0264475, 0.28717, 0.043702
30.1982, 530, 2097152, 2097152, 35.1014, 3.0445, 42, 28, 17, 1.52225, 21, 14, 0.113594, 0.0306195, 0.33223, 0.0739999
30.0994, 528, 2097152, 2097152, 35.0837, 2.81539, 40, 28, 17, 1.4077, 20, 14, 0.113882, 0.0279302, 0.312202, 0.0762429
30.0631, 514, 2097152, 2097152, 34.1947, 3.67408, 40, 26, 17, 1.83704, 20, 13, 0.116881, 0.0425684, 0.503968, 0.0745675
