Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0674, 562, 1048576, 1048576, 18.6913, 12.5047, 33, 1, 18, 12.5047, 33, 1, 0.106931, 0.186227, 1.2244, 0.0419702
30.0363, 876, 1048576, 1048576, 29.1647, 1.9954, 33, 25, 29, 1.9954, 33, 25, 0.0685439, 0.0255865, 0.288466, 0.0421944
30.0477, 866, 1048576, 1048576, 28.8209, 2.28035, 33, 26, 28, 2.28035, 33, 26, 0.0693257, 0.028842, 0.333281, 0.0448814
30.0538, 876, 1048576, 1048576, 29.1478, 2.17721, 33, 24, 29, 2.17721, 33, 24, 0.0685813, 0.0268155, 0.349974, 0.0448528
30.0471, 894, 1048576, 1048576, 29.7533, 2.19613, 33, 25, 29, 2.19613, 33, 25, 0.0671686, 0.0235655, 0.275422, 0.0428042
30.043, 873, 1048576, 1048576, 29.0584, 2.31164, 32, 24, 29, 2.31164, 32, 24, 0.0687663, 0.0287555, 0.302715, 0.0440979
30.0259, 900, 1048576, 1048576, 29.9741, 1.77984, 33, 26, 29, 1.77984, 33, 26, 0.0666843, 0.0213584, 0.280099, 0.0409512
30.0384, 881, 1048576, 1048576, 29.3291, 2.18669, 33, 24, 29, 2.18669, 33, 24, 0.0681332, 0.0252464, 0.358813, 0.0415665
30.0577, 889, 1048576, 1048576, 29.5765, 1.95818, 33, 26, 29, 1.95818, 33, 26, 0.0675368, 0.0222451, 0.274413, 0.043394
30.2923, 501, 2097152, 2097152, 33.0778, 2.25806, 36, 28, 16, 1.12903, 18, 14, 0.120416, 0.0352489, 0.335386, 0.0841999
30.2056, 506, 2097152, 2097152, 33.5037, 2.5407, 38, 28, 16, 1.27035, 19, 14, 0.119054, 0.0321198, 0.361158, 0.0831519
30.1116, 507, 2097152, 2097152, 33.6747, 2.2335, 38, 30, 16, 1.11675, 19, 15, 0.118578, 0.028565, 0.317199, 0.082407
30.0818, 490, 2097152, 2097152, 32.5778, 3.71143, 38, 20, 16, 1.85571, 19, 10, 0.122627, 0.0395048, 0.410643, 0.0829703
30.0794, 507, 2097152, 2097152, 33.7108, 2.46819, 38, 26, 16, 1.23409, 19, 13, 0.118569, 0.0320162, 0.33972, 0.0843453
30.0251, 502, 2097152, 2097152, 33.4387, 2.64358, 38, 28, 16, 1.32179, 19, 14, 0.119547, 0.0306537, 0.327372, 0.0830264
30.0613, 511, 2097152, 2097152, 33.9972, 2.70291, 38, 28, 16, 1.35146, 19, 14, 0.117536, 0.0288082, 0.362913, 0.08271
30.065, 513, 2097152, 2097152, 34.1261, 2.37709, 40, 30, 17, 1.18855, 20, 15, 0.117097, 0.0282292, 0.344023, 0.0832442
30.0983, 513, 2097152, 2097152, 34.0883, 1.99885, 38, 30, 17, 0.999425, 19, 15, 0.11715, 0.0271719, 0.322674, 0.08372
30.0568, 362, 3145728, 3145728, 36.1316, 2.70468, 42, 33, 12, 0.901559, 14, 11, 0.165909, 0.0433254, 0.497775, 0.11587
30.1223, 376, 3145728, 3145728, 37.4473, 2.69866, 42, 33, 12, 0.899553, 14, 11, 0.159941, 0.0335958, 0.366288, 0.112206
30.1041, 369, 3145728, 3145728, 36.7724, 3.12001, 42, 30, 12, 1.04, 14, 10, 0.162971, 0.0384856, 0.373464, 0.116844
30.1287, 369, 3145728, 3145728, 36.7424, 2.80578, 42, 30, 12, 0.935261, 14, 10, 0.16296, 0.0316699, 0.379229, 0.115829
30.123, 363, 3145728, 3145728, 36.1518, 3.47751, 42, 27, 12, 1.15917, 14, 9, 0.165639, 0.046931, 0.445843, 0.115556
30.1082, 367, 3145728, 3145728, 36.5682, 2.84968, 42, 30, 12, 0.949894, 14, 10, 0.163843, 0.0357912, 0.452249, 0.11709
30.1528, 366, 3145728, 3145728, 36.4145, 3.91813, 42, 24, 12, 1.30604, 14, 8, 0.164575, 0.0372705, 0.441088, 0.116023
30.0977, 366, 3145728, 3145728, 36.4813, 3.67283, 42, 27, 12, 1.22428, 14, 9, 0.16431, 0.0375683, 0.403205, 0.114937
30.1501, 371, 3145728, 3145728, 36.9153, 3.44764, 42, 30, 12, 1.14921, 14, 10, 0.162251, 0.0341332, 0.364452, 0.115969
30.1163, 297, 4194304, 4194304, 39.4471, 4.07967, 48, 32, 9, 1.01992, 12, 8, 0.202435, 0.0527002, 0.458678, 0.142382
30.0624, 297, 4194304, 4194304, 39.5178, 3.44146, 44, 32, 9, 0.860366, 11, 8, 0.202159, 0.045333, 0.411843, 0.141897
30.0301, 299, 4194304, 4194304, 39.8267, 3.8381, 48, 28, 9, 0.959526, 12, 7, 0.200706, 0.0422718, 0.461082, 0.141592
30.1721, 293, 4194304, 4194304, 38.8439, 3.34664, 44, 32, 9, 0.83666, 11, 8, 0.205539, 0.0434726, 0.421282, 0.142276
30.1004, 295, 4194304, 4194304, 39.2021, 3.09542, 48, 32, 9, 0.773854, 12, 8, 0.203725, 0.0442071, 0.389501, 0.145028
30.1414, 298, 4194304, 4194304, 39.5469, 3.10432, 44, 36, 9, 0.776079, 11, 9, 0.202149, 0.0459531, 0.44244, 0.148448
30.1644, 300, 4194304, 4194304, 39.782, 4.44843, 48, 28, 9, 1.11211, 12, 7, 0.200681, 0.0477541, 0.488714, 0.145744
30.1942, 299, 4194304, 4194304, 39.6103, 3.37945, 44, 32, 9, 0.844863, 11, 8, 0.201322, 0.0444019, 0.474203, 0.141791
30.1889, 299, 4194304, 4194304, 39.6172, 3.37945, 44, 32, 9, 0.844863, 11, 8, 0.201541, 0.0430866, 0.417458, 0.14377
30.0631, 1468, 1048576, 1048576, 48.8306, 2.65746, 55, 43, 48, 2.65746, 55, 43, 0.0818259, 0.0386153, 0.422485, 0.0443037
30.0709, 1449, 1048576, 1048576, 48.1862, 3.21723, 53, 36, 48, 3.21723, 53, 36, 0.0828871, 0.0389486, 0.394906, 0.0429408
30.058, 1474, 1048576, 1048576, 49.0385, 2.91252, 55, 44, 49, 2.91252, 55, 44, 0.0814688, 0.0352793, 0.329007, 0.0439676
30.061, 1486, 1048576, 1048576, 49.4328, 2.55424, 54, 43, 49, 2.55424, 54, 43, 0.0808285, 0.0364634, 0.401978, 0.0433713
30.1944, 1454, 1048576, 1048576, 48.1547, 3.32528, 54, 41, 48, 3.32528, 54, 41, 0.0827143, 0.0395255, 0.376725, 0.0435918
30.0765, 1448, 1048576, 1048576, 48.144, 2.92119, 53, 40, 48, 2.92119, 53, 40, 0.0829494, 0.0410817, 0.360792, 0.0438273
30.0658, 1437, 1048576, 1048576, 47.7951, 4.16623, 55, 40, 47, 4.16623, 55, 40, 0.0835968, 0.0404631, 0.414697, 0.0416844
30.0982, 1436, 1048576, 1048576, 47.7106, 3.22366, 54, 40, 47, 3.22366, 54, 40, 0.083659, 0.0402795, 0.378366, 0.0428463
