Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0052, 757, 4194304, 4194304, 100.916, 25, 3.34664, 33, 17, 0.0792558, 0.366175, 0.00336807
30.0647, 750, 4194304, 4194304, 99.7849, 24, 3.20488, 32, 17, 0.0801138, 0.370408, 0.0185727
30.0712, 758, 4194304, 4194304, 100.827, 25, 2.21904, 29, 20, 0.0792454, 0.330631, 0.0267659
30.0526, 752, 4194304, 4194304, 100.091, 25, 2.22834, 29, 19, 0.079884, 0.33887, 0.0200928
30.0265, 752, 4194304, 4194304, 100.178, 25, 2.75431, 31, 19, 0.0798364, 0.336758, 0.0143143
30.1071, 754, 4194304, 4194304, 100.176, 25, 2.81539, 32, 18, 0.0798191, 0.329461, 0.0161452
30.0722, 756, 4194304, 4194304, 100.558, 25, 3.00268, 31, 16, 0.0794736, 0.290616, 0.0172131
30.0617, 751, 4194304, 4194304, 99.9277, 24, 1.9298, 29, 22, 0.0799646, 0.327909, 0.01494
30.0444, 751, 4194304, 4194304, 99.9852, 24, 3.32683, 31, 18, 0.0799828, 0.335444, 0.0146329
30.1059, 1078, 4194304, 4194304, 143.228, 35, 3.537, 45, 31, 0.111528, 0.561725, 0.0150093
30.0656, 1071, 4194304, 4194304, 142.489, 35, 3.1905, 42, 29, 0.112149, 0.401004, 0.0180163
30.0696, 1072, 4194304, 4194304, 142.602, 35, 3.47007, 44, 30, 0.112079, 0.528035, 0.0174375
30.0444, 1068, 4194304, 4194304, 142.189, 35, 3.88395, 43, 28, 0.112453, 0.395537, 0.0182058
30.0746, 1060, 4194304, 4194304, 140.983, 35, 4.36601, 44, 25, 0.113367, 0.407736, 0.0194801
30.0541, 1068, 4194304, 4194304, 142.144, 35, 3.66468, 44, 31, 0.112487, 0.545933, 0.0165021
30.104, 1064, 4194304, 4194304, 141.377, 35, 3.57514, 43, 30, 0.113, 0.393468, 0.0167781
30.076, 1068, 4194304, 4194304, 142.04, 35, 4.04912, 46, 29, 0.112549, 0.497279, 0.0148306
30.123, 1065, 4194304, 4194304, 141.42, 35, 3.59581, 42, 29, 0.112954, 0.546606, 0.0142886
30.18, 1138, 4194304, 4194304, 150.828, 37, 4.26965, 48, 31, 0.21155, 0.786672, 0.0136563
30.1752, 1138, 4194304, 4194304, 150.853, 37, 4.16181, 47, 31, 0.211619, 0.646665, 0.0236083
30.1932, 1139, 4194304, 4194304, 150.895, 37, 4.17009, 46, 29, 0.211522, 0.783301, 0.0228474
30.1365, 1137, 4194304, 4194304, 150.913, 37, 4.14673, 49, 30, 0.21156, 0.837499, 0.0171298
30.1706, 1137, 4194304, 4194304, 150.743, 37, 4.16333, 46, 30, 0.211754, 1.20638, 0.0174208
30.1936, 1139, 4194304, 4194304, 150.893, 37, 3.96667, 44, 29, 0.211543, 0.75368, 0.0196704
30.1683, 1138, 4194304, 4194304, 150.887, 37, 3.96826, 45, 31, 0.211553, 1.0419, 0.0169642
30.163, 1138, 4194304, 4194304, 150.913, 37, 3.79049, 44, 28, 0.211551, 0.810524, 0.0169687
30.1629, 1136, 4194304, 4194304, 150.649, 37, 3.97058, 47, 29, 0.211823, 0.824927, 0.0228815
30.3658, 1148, 4194304, 4194304, 151.223, 37, 3.86793, 46, 31, 0.420712, 2.18974, 0.0235835
30.3966, 1149, 4194304, 4194304, 151.201, 37, 4.1745, 49, 30, 0.420479, 2.17085, 0.0225086
30.4691, 1151, 4194304, 4194304, 151.104, 37, 3.92238, 48, 31, 0.420879, 2.04828, 0.0198061
30.3116, 1147, 4194304, 4194304, 151.361, 37, 4.4268, 49, 31, 0.420466, 2.02058, 0.0147228
30.3751, 1148, 4194304, 4194304, 151.177, 37, 3.83211, 46, 31, 0.420752, 2.3359, 0.0216991
30.3763, 1148, 4194304, 4194304, 151.17, 37, 3.77773, 46, 29, 0.420749, 2.62337, 0.0146673
30.4037, 1149, 4194304, 4194304, 151.166, 37, 4.16623, 48, 30, 0.420543, 2.25012, 0.0173892
30.4202, 1150, 4194304, 4194304, 151.215, 37, 4.04628, 50, 32, 0.420694, 2.08547, 0.0160962
30.4109, 1148, 4194304, 4194304, 150.998, 37, 3.75025, 47, 32, 0.420938, 2.0086, 0.0148661
