Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0682, 511, 4194304, 4194304, 67.9789, 16, 10.2031, 29, 1, 0.117573, 1.60196, 0.023041
30.0702, 759, 4194304, 4194304, 100.964, 25, 2.5008, 31, 19, 0.0791636, 0.297096, 0.0145882
30.0379, 756, 4194304, 4194304, 100.673, 25, 2.62722, 30, 19, 0.0794039, 0.568061, 0.0167331
30.0437, 757, 4194304, 4194304, 100.787, 25, 2.88974, 31, 18, 0.0793354, 0.348982, 0.0143358
30.0995, 740, 4194304, 4194304, 98.3405, 24, 2.85995, 30, 18, 0.0812336, 0.374339, 0.0150728
30.0434, 757, 4194304, 4194304, 100.787, 25, 2.81723, 29, 16, 0.0793348, 0.318012, 0.0194645
30.0811, 754, 4194304, 4194304, 100.262, 25, 2.79079, 31, 17, 0.0797721, 0.358503, 0.0153746
30.0025, 768, 4194304, 4194304, 102.392, 25, 2.22945, 31, 21, 0.078113, 0.316181, 0.0178947
30.0563, 785, 4194304, 4194304, 104.471, 26, 1.93605, 31, 23, 0.0765398, 0.337232, 0.0150294
30.1375, 1070, 4194304, 4194304, 142.016, 35, 3.56935, 45, 30, 0.112422, 0.478392, 0.0167069
30.109, 1063, 4194304, 4194304, 141.22, 35, 3.65919, 43, 29, 0.113191, 0.385233, 0.0147478
30.1073, 1066, 4194304, 4194304, 141.627, 35, 3.56806, 44, 29, 0.112792, 0.588871, 0.014934
30.0943, 1051, 4194304, 4194304, 139.694, 34, 3.24143, 41, 29, 0.114401, 0.788659, 0.0145304
30.0444, 1074, 4194304, 4194304, 142.988, 35, 3.91578, 45, 28, 0.111843, 0.568229, 0.0178252
30.0478, 1073, 4194304, 4194304, 142.839, 35, 3.93467, 44, 28, 0.111916, 0.429616, 0.0168818
30.0543, 1073, 4194304, 4194304, 142.808, 35, 3.60396, 43, 30, 0.111947, 0.39595, 0.0146135
30.0675, 1072, 4194304, 4194304, 142.613, 35, 3.58733, 42, 30, 0.11208, 0.400672, 0.0149523
30.1096, 1063, 4194304, 4194304, 141.218, 35, 3.153, 42, 28, 0.113174, 0.562433, 0.0194682
30.1816, 1138, 4194304, 4194304, 150.82, 37, 3.8804, 47, 31, 0.211661, 0.6952, 0.0210963
30.1944, 1136, 4194304, 4194304, 150.491, 37, 3.79292, 44, 28, 0.212104, 0.931949, 0.0165222
30.1772, 1139, 4194304, 4194304, 150.975, 37, 4.03562, 47, 30, 0.21157, 0.719761, 0.0164946
30.1731, 1136, 4194304, 4194304, 150.598, 37, 4.30397, 49, 32, 0.211921, 1.19323, 0.0232527
30.1485, 1137, 4194304, 4194304, 150.853, 37, 3.81, 45, 30, 0.211634, 0.830362, 0.0165438
30.1967, 1139, 4194304, 4194304, 150.877, 37, 3.67799, 45, 31, 0.211626, 0.770441, 0.0189506
30.1812, 1136, 4194304, 4194304, 150.557, 37, 3.98791, 47, 29, 0.212045, 0.756673, 0.0169916
30.2026, 1139, 4194304, 4194304, 150.848, 37, 4.13688, 45, 30, 0.211636, 0.749373, 0.0163288
30.2165, 1139, 4194304, 4194304, 150.779, 37, 4.32435, 45, 29, 0.211645, 0.685232, 0.023744
30.364, 1148, 4194304, 4194304, 151.232, 37, 4.68257, 50, 29, 0.421, 2.1148, 0.0148861
30.4706, 1151, 4194304, 4194304, 151.097, 37, 4.00933, 48, 31, 0.420759, 2.28834, 0.0165931
30.4121, 1149, 4194304, 4194304, 151.124, 37, 4.83296, 50, 28, 0.420544, 2.15322, 0.014934
30.4411, 1150, 4194304, 4194304, 151.111, 37, 3.95143, 47, 30, 0.420673, 2.2442, 0.0172021
30.4038, 1149, 4194304, 4194304, 151.165, 37, 3.97131, 48, 31, 0.42094, 2.55238, 0.0218326
30.4886, 1149, 4194304, 4194304, 150.745, 37, 4.0657, 49, 31, 0.421343, 2.31344, 0.0218089
30.3951, 1149, 4194304, 4194304, 151.208, 37, 3.74795, 47, 31, 0.420624, 2.32159, 0.0167438
30.4348, 1150, 4194304, 4194304, 151.143, 37, 3.80924, 47, 31, 0.421015, 2.31987, 0.0179006
30.3875, 1149, 4194304, 4194304, 151.246, 37, 3.76631, 46, 32, 0.420879, 2.14676, 0.0212352
