Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0683, 729, 4194304, 4194304, 96.9791, 24, 2.81233, 29, 17, 0.0816511, 0.347719, 0.00361066
30.0372, 726, 4194304, 4194304, 96.6801, 24, 2.30042, 28, 19, 0.0819858, 0.342962, 0.00346259
30.0877, 760, 4194304, 4194304, 101.038, 25, 2.59885, 29, 18, 0.0783945, 0.292369, 0.0265546
30.0244, 722, 4194304, 4194304, 96.1883, 24, 2.61297, 28, 18, 0.0823259, 0.357518, 0.0185259
30.046, 718, 4194304, 4194304, 95.5868, 23, 3.17026, 31, 19, 0.0829122, 0.358396, 0.026012
30.0612, 735, 4194304, 4194304, 97.8003, 24, 2.64814, 29, 18, 0.0809613, 0.338982, 0.0235073
30.0568, 764, 4194304, 4194304, 101.674, 25, 2.07918, 30, 22, 0.0778163, 0.343388, 0.00920433
30.0623, 749, 4194304, 4194304, 99.6599, 24, 2.23375, 29, 21, 0.0794465, 0.313866, 0.0100554
30.0718, 722, 4194304, 4194304, 96.037, 24, 2.65226, 29, 18, 0.0824627, 0.367145, 0.0189156
30.0737, 1065, 4194304, 4194304, 141.652, 35, 3.63508, 43, 28, 0.112007, 0.550516, 0.00334908
30.1184, 1100, 4194304, 4194304, 146.09, 36, 3.59821, 42, 28, 0.108651, 0.458249, 0.00387916
30.1205, 1070, 4194304, 4194304, 142.096, 35, 3.68345, 47, 29, 0.111636, 0.55573, 0.00373927
30.0773, 1075, 4194304, 4194304, 142.965, 35, 2.86397, 43, 31, 0.110957, 0.426373, 0.00307285
30.0898, 1077, 4194304, 4194304, 143.172, 35, 3.70833, 44, 30, 0.110791, 0.429715, 0.00395051
30.0932, 1064, 4194304, 4194304, 141.427, 35, 3.04374, 40, 27, 0.112237, 0.446308, 0.0033331
30.0854, 1074, 4194304, 4194304, 142.794, 35, 3.79791, 44, 27, 0.111144, 1.22979, 0.00357465
30.12, 1089, 4194304, 4194304, 144.621, 36, 3.98344, 46, 27, 0.10978, 0.374196, 0.0201385
30.2723, 1070, 4194304, 4194304, 141.383, 35, 3.65526, 45, 29, 0.111851, 0.510778, 0.00310824
30.2058, 1204, 4194304, 4194304, 159.44, 39, 3.27723, 48, 34, 0.199403, 1.28917, 0.0156564
30.0634, 1155, 4194304, 4194304, 153.675, 38, 4.8685, 49, 30, 0.207248, 1.22921, 0.00837123
30.2023, 1203, 4194304, 4194304, 159.326, 39, 4.3844, 48, 31, 0.199496, 1.39076, 0.00369194
30.1869, 1179, 4194304, 4194304, 156.227, 39, 4.32262, 48, 31, 0.203483, 0.799607, 0.00356197
30.2146, 1130, 4194304, 4194304, 149.597, 37, 3.54868, 46, 32, 0.212521, 1.29938, 0.0198781
30.1431, 1200, 4194304, 4194304, 159.241, 39, 4.35243, 49, 32, 0.199684, 0.801539, 0.0035989
30.1725, 1181, 4194304, 4194304, 156.567, 39, 3.7576, 46, 31, 0.202998, 0.743945, 0.0133835
30.2658, 1172, 4194304, 4194304, 154.894, 38, 4.7007, 49, 31, 0.205193, 1.23336, 0.0185449
30.1813, 1176, 4194304, 4194304, 155.858, 38, 4.48702, 48, 30, 0.204089, 0.830782, 0.0159932
30.3972, 1165, 4194304, 4194304, 153.304, 38, 4.45785, 47, 30, 0.413882, 2.30772, 0.0184394
30.4828, 1187, 4194304, 4194304, 155.76, 38, 4.2303, 48, 31, 0.40729, 2.27702, 0.00514828
30.3825, 1177, 4194304, 4194304, 154.958, 38, 4.12854, 46, 31, 0.409294, 2.36139, 0.00654291
30.4164, 1183, 4194304, 4194304, 155.574, 38, 3.64219, 50, 33, 0.407656, 2.19321, 0.00420463
30.354, 1152, 4194304, 4194304, 151.809, 37, 4.59935, 47, 29, 0.418143, 2.53385, 0.00633245
30.5336, 1142, 4194304, 4194304, 149.606, 37, 5.31578, 53, 27, 0.423768, 2.58533, 0.0137596
30.3361, 1160, 4194304, 4194304, 152.953, 38, 4.37929, 47, 30, 0.41513, 2.4952, 0.00736216
30.5147, 1157, 4194304, 4194304, 151.665, 37, 4.26278, 48, 31, 0.418053, 1.84886, 0.0140532
30.4092, 1121, 4194304, 4194304, 147.456, 36, 3.87506, 46, 30, 0.43036, 2.54071, 0.0112679
