Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0438, 812, 1048576, 1048576, 27.0272, 4.84234, 32, 15, 27, 4.84234, 32, 15, 0.0739429, 0.0946457, 2.51127, 0.0431879
30.0744, 512, 2097152, 2097152, 34.0489, 2.87678, 38, 26, 17, 1.43839, 19, 13, 0.117437, 0.0330582, 0.329846, 0.0779554
30.1118, 382, 3145728, 3145728, 38.0582, 3.55256, 45, 27, 12, 1.18419, 15, 9, 0.157403, 0.0377732, 0.594903, 0.102933
30.1124, 300, 4194304, 4194304, 39.8507, 3.77773, 44, 32, 9, 0.944433, 11, 8, 0.200727, 0.0453074, 0.446482, 0.134094
30.0581, 1307, 1048576, 1048576, 43.4825, 3.82986, 50, 34, 43, 3.82986, 50, 34, 0.0919057, 0.0806319, 2.20289, 0.0437219
30.1346, 816, 2097152, 2097152, 54.157, 3.10432, 58, 44, 27, 1.55216, 29, 22, 0.147486, 0.0736603, 1.87143, 0.079059
30.2393, 562, 3145728, 3145728, 55.7552, 5.3201, 63, 45, 18, 1.77337, 21, 15, 0.214662, 0.0858291, 1.18535, 0.110411
30.3074, 437, 4194304, 4194304, 57.6757, 6.53338, 72, 44, 14, 1.63335, 18, 11, 0.276261, 0.0792119, 0.60361, 0.131748
30.1617, 1904, 1048576, 1048576, 63.1265, 4.78071, 70, 48, 63, 4.78071, 70, 48, 0.126271, 0.106702, 2.96529, 0.0464454
30.1745, 1063, 2097152, 2097152, 70.4568, 5.09451, 78, 58, 35, 2.54725, 39, 29, 0.226557, 0.107587, 2.14451, 0.0840514
30.2067, 747, 3145728, 3145728, 74.1889, 5.70753, 84, 54, 24, 1.90251, 28, 18, 0.322474, 0.108808, 1.53617, 0.126474
30.4131, 543, 4194304, 4194304, 71.4165, 8.07437, 88, 52, 17, 2.01859, 22, 13, 0.446222, 0.144154, 1.3693, 0.157807
30.3038, 2267, 1048576, 1048576, 74.8091, 5.05783, 83, 66, 74, 5.05783, 83, 66, 0.21264, 0.125927, 2.33036, 0.060857
30.5843, 1192, 2097152, 2097152, 77.9486, 6.61034, 90, 64, 38, 3.30517, 45, 32, 0.405888, 0.176659, 3.05034, 0.120993
30.4424, 815, 3145728, 3145728, 80.3155, 10.2868, 99, 54, 26, 3.42892, 33, 18, 0.594129, 0.268865, 2.46237, 0.146001
32.7924, 560, 4194304, 4194304, 68.3085, 17.8013, 92, 0, 17, 4.45033, 23, 0, 0.868836, 0.447639, 4.5672, 0.270454
