Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0389, 655, 1048576, 1048576, 21.805, 4.74657, 28, 11, 21, 4.74657, 28, 11, 0.0916591, 0.167719, 3.63557, 0.0475595
30.1315, 416, 2097152, 2097152, 27.6123, 7.83955, 34, 0, 13, 3.96087, 17, 0, 0.144647, 0.156507, 1.99888, 0.0850519
30.072, 312, 3145728, 3145728, 31.1253, 4.11892, 39, 21, 10, 1.37297, 13, 7, 0.192531, 0.0631095, 0.53232, 0.113837
30.2689, 276, 4194304, 4194304, 36.473, 3.44146, 44, 28, 9, 0.860366, 11, 7, 0.218649, 0.0535244, 0.604144, 0.146978
30.1882, 1019, 1048576, 1048576, 33.7549, 7.35191, 47, 15, 33, 7.35191, 47, 15, 0.118026, 0.159262, 3.02221, 0.0478303
30.1567, 625, 2097152, 2097152, 41.4502, 2.68585, 48, 36, 20, 1.34293, 24, 18, 0.192333, 0.0735823, 0.757411, 0.0869169
30.1619, 465, 3145728, 3145728, 46.2503, 7.85801, 57, 24, 15, 2.61934, 19, 8, 0.258965, 0.260093, 3.40471, 0.117913
30.2578, 382, 4194304, 4194304, 50.4994, 6.69328, 60, 24, 12, 1.67332, 15, 6, 0.315547, 0.13962, 1.83698, 0.153763
30.2478, 1690, 1048576, 1048576, 55.8718, 6.06819, 65, 44, 55, 6.06819, 65, 44, 0.142499, 0.135004, 3.78678, 0.0462418
30.2055, 899, 2097152, 2097152, 59.5257, 5.82859, 68, 44, 29, 2.91429, 34, 22, 0.267894, 0.101145, 0.848808, 0.0997601
30.4127, 623, 3145728, 3145728, 61.4546, 5.0282, 75, 54, 20, 1.67607, 25, 18, 0.386974, 0.127919, 0.931539, 0.156181
30.3072, 512, 4194304, 4194304, 67.5748, 7.81863, 80, 48, 16, 1.95466, 20, 12, 0.471555, 0.211004, 3.04267, 0.175983
30.4036, 2114, 1048576, 1048576, 69.5312, 5.80091, 82, 58, 69, 5.80091, 82, 58, 0.227609, 0.136445, 1.25746, 0.0569823
30.353, 1111, 2097152, 2097152, 73.2052, 6.95588, 92, 50, 36, 3.47794, 46, 25, 0.434312, 0.193741, 1.31409, 0.13013
30.8319, 749, 3145728, 3145728, 72.879, 6.43348, 87, 51, 24, 2.14449, 29, 17, 0.645143, 0.327313, 4.09923, 0.177703
30.5925, 576, 4194304, 4194304, 75.3126, 13.3011, 100, 36, 18, 3.32528, 25, 9, 0.840576, 0.39802, 3.06198, 0.225145
