Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 78.2764, 1000, 4194304, 4194304, 51.101, 12, 2.20933, 16, 7, 0.0782532, 0.499928, 0.0163125
1, 75.1645, 1000, 4194304, 4194304, 53.2166, 13, 1.66976, 17, 7, 0.0751409, 0.305413, 0.0151571
1, 83.4084, 1000, 4194304, 4194304, 47.9568, 11, 1.92223, 16, 7, 0.0833854, 0.420181, 0.0157873
1, 73.2852, 1000, 4194304, 4194304, 54.5813, 13, 1.98165, 18, 9, 0.0732628, 0.272883, 0.0142152
1, 83.234, 1000, 4194304, 4194304, 48.0573, 12, 2.27121, 17, 7, 0.083211, 0.40409, 0.0146598
1, 76.6492, 1000, 4194304, 4194304, 52.1858, 13, 1.9421, 18, 9, 0.0766262, 0.261499, 0.0156119
1, 74.9463, 1000, 4194304, 4194304, 53.3715, 13, 2.05695, 17, 9, 0.0749237, 0.28693, 0.0148796
1, 76.8462, 1000, 4194304, 4194304, 52.052, 13, 2.23603, 19, 8, 0.0768228, 0.333727, 0.0148951
1, 75.4416, 1000, 4194304, 4194304, 53.0211, 13, 1.77317, 17, 9, 0.0754194, 0.312116, 0.0143919
1, 84.6401, 1000, 4194304, 4194304, 47.2589, 11, 1.85083, 16, 5, 0.0846175, 0.35815, 0.014492
2, 103.741, 2000, 4194304, 4194304, 77.1148, 19, 3.50339, 27, 11, 0.103717, 0.540961, 0.0124221
2, 101.546, 2000, 4194304, 4194304, 78.7821, 19, 2.81464, 28, 14, 0.101494, 0.47566, 0.0126087
2, 98.2572, 2000, 4194304, 4194304, 81.419, 20, 2.81727, 27, 14, 0.0982153, 0.374915, 0.01236
2, 95.6335, 2000, 4194304, 4194304, 83.6527, 20, 3.29301, 29, 13, 0.0955536, 0.388342, 0.0121845
2, 93.6283, 2000, 4194304, 4194304, 85.4443, 21, 2.73827, 30, 14, 0.0935786, 0.415511, 0.0127598
2, 91.5686, 2000, 4194304, 4194304, 87.3662, 21, 3.59388, 33, 14, 0.0915178, 0.383713, 0.012361
2, 78.968, 2000, 4194304, 4194304, 101.307, 25, 3.24935, 35, 19, 0.0789299, 0.569377, 0.0118421
2, 91.4224, 2000, 4194304, 4194304, 87.5059, 21, 3.01644, 30, 14, 0.0913383, 0.371321, 0.0129703
2, 90.3693, 2000, 4194304, 4194304, 88.5256, 22, 2.71262, 29, 16, 0.0903426, 0.469184, 0.0128194
2, 99.2857, 2000, 4194304, 4194304, 80.5755, 20, 2.46309, 25, 14, 0.0992454, 0.368146, 0.0125157
4, 125.948, 4000, 4194304, 4194304, 127.036, 31, 5.33422, 45, 20, 0.125839, 0.550814, 0.0120669
4, 136.826, 4000, 4194304, 4194304, 116.937, 29, 4.0816, 39, 19, 0.136744, 0.993428, 0.0122895
4, 133.246, 4000, 4194304, 4194304, 120.079, 30, 3.89249, 40, 22, 0.13317, 0.47105, 0.0123188
4, 126.367, 4000, 4194304, 4194304, 126.616, 31, 4.12827, 43, 19, 0.126256, 0.490489, 0.0120763
4, 154.952, 4000, 4194304, 4194304, 103.258, 25, 3.34519, 34, 17, 0.15485, 1.35577, 0.0123962
4, 112.075, 4000, 4194304, 4194304, 142.762, 35, 4.60715, 46, 22, 0.112018, 0.742237, 0.0119922
