Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 91.5245, 1000, 4194304, 4194304, 43.7041, 10, 6.15345, 18, 0, 0.0915049, 1.35422, 0.0142448
1, 66.7829, 1000, 4194304, 4194304, 59.8956, 14, 1.40296, 18, 12, 0.0667634, 0.154951, 0.0141436
1, 67.2634, 1000, 4194304, 4194304, 59.4677, 14, 1.50651, 18, 11, 0.0672436, 0.170157, 0.0145318
1, 67.2239, 1000, 4194304, 4194304, 59.5026, 14, 1.39148, 18, 11, 0.0672037, 0.193637, 0.014888
1, 66.2474, 1000, 4194304, 4194304, 60.3797, 15, 1.43288, 18, 12, 0.0662269, 0.155057, 0.0149703
1, 66.8566, 1000, 4194304, 4194304, 59.8295, 14, 1.54354, 18, 11, 0.066836, 0.184299, 0.014381
1, 67.1486, 1000, 4194304, 4194304, 59.5694, 14, 1.4474, 19, 12, 0.0671281, 0.193774, 0.0146504
1, 66.466, 1000, 4194304, 4194304, 60.1811, 15, 1.49287, 19, 12, 0.0664476, 0.201542, 0.0142003
1, 67.3629, 1000, 4194304, 4194304, 59.3798, 14, 1.46264, 19, 11, 0.0673425, 0.177412, 0.0146232
1, 66.7162, 1000, 4194304, 4194304, 59.9555, 14, 1.5835, 18, 11, 0.066698, 0.185652, 0.0155677
2, 73.6786, 2000, 4194304, 4194304, 108.58, 27, 3.47337, 35, 17, 0.0736399, 0.366881, 0.0120483
2, 72.2969, 2000, 4194304, 4194304, 110.655, 27, 3.03111, 33, 21, 0.0722676, 0.35063, 0.0117701
2, 72.7882, 2000, 4194304, 4194304, 109.908, 27, 2.99752, 34, 20, 0.072755, 0.363782, 0.0116693
2, 71.5898, 2000, 4194304, 4194304, 111.748, 27, 3.03938, 35, 20, 0.0715566, 0.341869, 0.0119612
2, 73.1314, 2000, 4194304, 4194304, 109.392, 27, 3.22342, 33, 17, 0.0731, 0.33701, 0.0117762
2, 73.1681, 2000, 4194304, 4194304, 109.337, 27, 3.26196, 37, 20, 0.073114, 0.353963, 0.011698
2, 73.1292, 2000, 4194304, 4194304, 109.395, 27, 3.42466, 33, 19, 0.0730863, 0.514983, 0.0114885
2, 72.0301, 2000, 4194304, 4194304, 111.065, 27, 3.10154, 35, 19, 0.0719918, 0.328833, 0.0120715
2, 72.8801, 2000, 4194304, 4194304, 109.769, 27, 3.03884, 34, 20, 0.0728302, 0.366622, 0.0118819
2, 73.0153, 2000, 4194304, 4194304, 109.566, 27, 2.89458, 35, 21, 0.0729811, 0.328265, 0.0120701
4, 106.405, 4000, 4194304, 4194304, 150.369, 37, 3.76723, 46, 29, 0.106351, 0.460614, 0.0117212
4, 106.498, 4000, 4194304, 4194304, 150.237, 37, 3.61276, 47, 30, 0.106448, 0.53154, 0.0116273
4, 106.902, 4000, 4194304, 4194304, 149.67, 37, 3.68753, 45, 28, 0.106847, 0.495155, 0.0118649
4, 106.972, 4000, 4194304, 4194304, 149.571, 37, 3.34585, 47, 29, 0.106916, 0.443806, 0.0116544
4, 107.471, 4000, 4194304, 4194304, 148.878, 37, 3.67842, 46, 30, 0.107415, 0.533879, 0.0117164
4, 106.907, 4000, 4194304, 4194304, 149.663, 37, 3.72606, 46, 28, 0.106847, 0.444296, 0.01182
4, 106.65, 4000, 4194304, 4194304, 150.024, 37, 3.78008, 47, 31, 0.106589, 0.402627, 0.0121437
4, 106.94, 4000, 4194304, 4194304, 149.616, 37, 3.52916, 49, 30, 0.10688, 0.54914, 0.0119259
4, 107.088, 4000, 4194304, 4194304, 149.409, 37, 3.70429, 50, 30, 0.107026, 0.563749, 0.0118953
4, 107.507, 4000, 4194304, 4194304, 148.828, 37, 3.69468, 47, 28, 0.107452, 0.617583, 0.0117852
8, 207.626, 8000, 4194304, 4194304, 154.123, 38, 4.21483, 53, 27, 0.207534, 1.21652, 0.0115339
8, 207.615, 8000, 4194304, 4194304, 154.131, 38, 4.16143, 51, 28, 0.207515, 1.04946, 0.0116144
8, 207.704, 8000, 4194304, 4194304, 154.065, 38, 4.43603, 52, 30, 0.207611, 0.958694, 0.0116014
8, 207.575, 8000, 4194304, 4194304, 154.161, 38, 4.07408, 51, 28, 0.207404, 1.07775, 0.0117516
8, 207.494, 8000, 4194304, 4194304, 154.221, 38, 3.83344, 50, 29, 0.207403, 0.943923, 0.0116316
8, 207.439, 8000, 4194304, 4194304, 154.262, 38, 3.937, 50, 27, 0.207346, 1.07431, 0.0119116
8, 207.569, 8000, 4194304, 4194304, 154.165, 38, 4.28551, 54, 25, 0.207478, 1.07294, 0.0116694
8, 207.506, 8000, 4194304, 4194304, 154.212, 38, 4.08836, 52, 28, 0.207424, 0.969739, 0.0116418
8, 207.56, 8000, 4194304, 4194304, 154.173, 38, 4.15548, 53, 28, 0.207475, 1.11043, 0.0117431
8, 207.468, 8000, 4194304, 4194304, 154.241, 38, 4.16482, 51, 28, 0.207369, 0.89491, 0.0114263
16, 411.832, 16000, 4194304, 4194304, 155.403, 38, 4.12604, 53, 30, 0.411453, 2.85419, 0.0116126
16, 411.641, 16000, 4194304, 4194304, 155.475, 38, 4.07166, 52, 29, 0.411422, 2.94891, 0.0116546
16, 411.6, 16000, 4194304, 4194304, 155.491, 38, 4.08675, 53, 28, 0.411408, 2.98458, 0.0114535
16, 411.584, 16000, 4194304, 4194304, 155.497, 38, 4.04462, 53, 29, 0.411403, 2.66804, 0.0117783
16, 411.608, 16000, 4194304, 4194304, 155.488, 38, 4.20834, 53, 29, 0.411429, 2.87538, 0.0115402
16, 411.647, 16000, 4194304, 4194304, 155.473, 38, 4.13158, 52, 29, 0.411448, 2.75188, 0.0117251
16, 411.633, 16000, 4194304, 4194304, 155.478, 38, 4.01921, 53, 28, 0.411439, 2.81283, 0.0114266
16, 411.591, 16000, 4194304, 4194304, 155.494, 38, 4.04318, 55, 28, 0.411406, 2.82458, 0.0115597
16, 411.672, 16000, 4194304, 4194304, 155.464, 38, 4.0447, 53, 27, 0.411466, 2.77308, 0.0116089
16, 411.57, 16000, 4194304, 4194304, 155.502, 38, 4.02565, 54, 29, 0.411381, 2.60281, 0.0116292
