Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 75.679, 1000, 4194304, 4194304, 52.8549, 13, 4.14824, 19, 1, 0.0748157, 1.01954, 0.0125184
1, 67.9901, 1000, 4194304, 4194304, 58.8321, 14, 1.39278, 18, 12, 0.0671017, 0.170459, 0.00409542
1, 69.3214, 1000, 4194304, 4194304, 57.7023, 14, 1.2533, 18, 12, 0.0684939, 0.15149, 0.0246626
1, 66.8907, 1000, 4194304, 4194304, 59.799, 14, 1.34086, 19, 12, 0.0660206, 0.160473, 0.00488975
1, 67.0172, 1000, 4194304, 4194304, 59.6862, 14, 1.35659, 19, 12, 0.0661358, 0.153983, 0.0127426
1, 67.2656, 1000, 4194304, 4194304, 59.4657, 14, 1.5327, 18, 12, 0.0663859, 0.172136, 0.0125921
1, 66.5876, 1000, 4194304, 4194304, 60.0712, 15, 1.59318, 19, 12, 0.065716, 0.137207, 0.0124729
1, 67.3446, 1000, 4194304, 4194304, 59.396, 14, 1.56915, 19, 11, 0.0664423, 0.140734, 0.00283079
1, 67.2199, 1000, 4194304, 4194304, 59.5062, 14, 1.30874, 19, 12, 0.066349, 0.18094, 0.00352605
1, 69.63, 1000, 4194304, 4194304, 57.4465, 14, 1.33913, 17, 12, 0.0687981, 0.151187, 0.00318706
2, 74.8495, 2000, 4194304, 4194304, 106.881, 26, 2.8694, 34, 21, 0.0740135, 0.334607, 0.0124603
2, 76.2552, 2000, 4194304, 4194304, 104.911, 26, 2.57328, 33, 17, 0.0754101, 0.364413, 0.0101163
2, 75.6782, 2000, 4194304, 4194304, 105.711, 26, 2.6918, 32, 20, 0.0748241, 0.343688, 0.0250689
2, 73.8145, 2000, 4194304, 4194304, 108.38, 27, 2.55904, 32, 22, 0.0729057, 0.339755, 0.0158543
2, 75.1731, 2000, 4194304, 4194304, 106.421, 26, 2.27853, 32, 20, 0.0742989, 0.354347, 0.00367595
2, 75.6831, 2000, 4194304, 4194304, 105.704, 26, 2.24355, 30, 20, 0.0747936, 0.342187, 0.00426484
2, 73.7155, 2000, 4194304, 4194304, 108.525, 27, 2.65394, 35, 21, 0.0728207, 0.354892, 0.0133927
2, 74.7747, 2000, 4194304, 4194304, 106.988, 26, 2.85983, 32, 20, 0.073883, 0.339367, 0.0160356
2, 75.7271, 2000, 4194304, 4194304, 105.642, 26, 2.39985, 31, 18, 0.0748323, 0.355205, 0.0131127
2, 74.5427, 2000, 4194304, 4194304, 107.321, 26, 2.33306, 34, 21, 0.0736625, 0.340288, 0.00362594
4, 108.674, 4000, 4194304, 4194304, 147.229, 36, 3.61062, 46, 29, 0.107747, 0.454642, 0.00371923
4, 110.229, 4000, 4194304, 4194304, 145.153, 36, 3.60261, 45, 29, 0.109343, 0.466228, 0.00356076
4, 107.381, 4000, 4194304, 4194304, 149.001, 37, 3.30688, 48, 30, 0.106437, 0.597562, 0.00332363
4, 108.779, 4000, 4194304, 4194304, 147.087, 36, 3.17337, 46, 30, 0.10789, 0.569747, 0.0077216
4, 110.437, 4000, 4194304, 4194304, 144.879, 36, 3.50046, 44, 27, 0.109541, 0.575107, 0.00322964
4, 106.898, 4000, 4194304, 4194304, 149.675, 37, 3.83187, 49, 28, 0.105994, 0.539686, 0.00355177
4, 108.742, 4000, 4194304, 4194304, 147.137, 36, 3.49131, 47, 30, 0.107884, 0.577531, 0.00348364
4, 108.369, 4000, 4194304, 4194304, 147.644, 36, 4.01851, 48, 28, 0.10749, 0.653015, 0.00628072
4, 109.844, 4000, 4194304, 4194304, 145.661, 36, 3.24713, 45, 29, 0.10895, 0.554664, 0.00348716
4, 109.821, 4000, 4194304, 4194304, 145.691, 36, 3.28135, 44, 29, 0.108895, 0.456168, 0.00371699
8, 205.711, 8000, 4194304, 4194304, 155.558, 38, 3.941, 52, 30, 0.204771, 1.00922, 0.00346222
8, 205.23, 8000, 4194304, 4194304, 155.922, 38, 4.19205, 52, 30, 0.204296, 0.96873, 0.00305734
8, 208.801, 8000, 4194304, 4194304, 153.256, 38, 3.98454, 52, 29, 0.207856, 1.00439, 0.00353239
8, 206.71, 8000, 4194304, 4194304, 154.807, 38, 4.33413, 51, 29, 0.205709, 1.0816, 0.00583791
8, 206.918, 8000, 4194304, 4194304, 154.651, 38, 4.14455, 54, 30, 0.205849, 1.26561, 0.00326743
8, 205.979, 8000, 4194304, 4194304, 155.356, 38, 4.70138, 62, 27, 0.204984, 0.914995, 0.00342964
8, 204.174, 8000, 4194304, 4194304, 156.729, 39, 4.19731, 52, 31, 0.203245, 1.08857, 0.00633621
8, 207.443, 8000, 4194304, 4194304, 154.259, 38, 4.75955, 62, 29, 0.206519, 1.07261, 0.014655
8, 208.837, 8000, 4194304, 4194304, 153.23, 38, 4.22453, 53, 29, 0.207908, 1.12231, 0.0119015
8, 206.656, 8000, 4194304, 4194304, 154.847, 38, 4.27387, 53, 28, 0.205699, 1.03989, 0.00328128
16, 410.209, 16000, 4194304, 4194304, 156.018, 39, 4.21459, 53, 27, 0.408848, 2.94926, 0.00312292
16, 414.565, 16000, 4194304, 4194304, 154.379, 38, 4.38444, 52, 29, 0.413256, 2.72154, 0.00393503
16, 412.334, 16000, 4194304, 4194304, 155.214, 38, 4.37636, 51, 29, 0.411193, 2.72526, 0.00356804
16, 413.243, 16000, 4194304, 4194304, 154.873, 38, 4.22782, 51, 29, 0.412042, 3.2202, 0.003408
16, 411.294, 16000, 4194304, 4194304, 155.606, 38, 4.23507, 53, 28, 0.410129, 2.80863, 0.00334006
16, 412.158, 16000, 4194304, 4194304, 155.28, 38, 4.17639, 56, 28, 0.410845, 2.69366, 0.0037011
16, 415.359, 16000, 4194304, 4194304, 154.084, 38, 4.2214, 50, 27, 0.414077, 2.84719, 0.0067463
16, 412.879, 16000, 4194304, 4194304, 155.009, 38, 4.36242, 52, 28, 0.411748, 3.16241, 0.00357941
16, 412.361, 16000, 4194304, 4194304, 155.204, 38, 4.33005, 55, 27, 0.411088, 2.89258, 0.00340996
16, 415.18, 16000, 4194304, 4194304, 154.15, 38, 4.21501, 52, 27, 0.414036, 2.79733, 0.00347275
