Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 76.4946, 1000, 4194304, 4194304, 52.2913, 13, 5.12104, 18, 1, 0.0756516, 1.34326, 0.0251577
1, 63.8936, 1000, 4194304, 4194304, 62.6041, 15, 1.44979, 20, 13, 0.0629865, 0.154659, 0.0121577
1, 65.5764, 1000, 4194304, 4194304, 60.9975, 15, 1.14941, 18, 13, 0.0646964, 0.144957, 0.00376877
1, 65.6941, 1000, 4194304, 4194304, 60.8883, 15, 1.24711, 18, 12, 0.064797, 0.133694, 0.00638972
1, 64.7388, 1000, 4194304, 4194304, 61.7868, 15, 1.31903, 19, 13, 0.063949, 0.130113, 0.0245016
1, 65.4775, 1000, 4194304, 4194304, 61.0897, 15, 1.2312, 19, 13, 0.0645894, 0.141107, 0.00638925
1, 64.2937, 1000, 4194304, 4194304, 62.2145, 15, 1.18093, 18, 13, 0.0634127, 0.135976, 0.0129135
1, 64.1477, 1000, 4194304, 4194304, 62.3561, 15, 1.20474, 20, 13, 0.0632748, 0.122948, 0.0126892
1, 65.1535, 1000, 4194304, 4194304, 61.3935, 15, 1.22827, 18, 13, 0.0642805, 0.163087, 0.011718
1, 65.1993, 1000, 4194304, 4194304, 61.3504, 15, 1.30033, 18, 13, 0.0643277, 0.142215, 0.012547
2, 72.9976, 2000, 4194304, 4194304, 109.593, 27, 2.36427, 32, 22, 0.0721566, 0.333868, 0.00346054
2, 72.9961, 2000, 4194304, 4194304, 109.595, 27, 2.95453, 34, 19, 0.0721054, 0.353602, 0.0154632
2, 72.7278, 2000, 4194304, 4194304, 109.999, 27, 2.69004, 33, 20, 0.0718759, 0.372963, 0.0137334
2, 73.4005, 2000, 4194304, 4194304, 108.991, 27, 2.53432, 33, 21, 0.072553, 0.33207, 0.0111652
2, 73.9244, 2000, 4194304, 4194304, 108.219, 27, 2.45135, 34, 21, 0.0730553, 0.348976, 0.0145924
2, 71.5189, 2000, 4194304, 4194304, 111.858, 27, 2.37543, 33, 21, 0.0706569, 0.300363, 0.0109659
2, 72.1725, 2000, 4194304, 4194304, 110.846, 27, 2.10447, 33, 19, 0.0712742, 0.330799, 0.0115491
2, 71.9864, 2000, 4194304, 4194304, 111.132, 27, 2.52393, 33, 21, 0.0711462, 0.337711, 0.020687
2, 72.0209, 2000, 4194304, 4194304, 111.079, 27, 2.70364, 34, 22, 0.0711384, 0.369676, 0.00360652
2, 72.726, 2000, 4194304, 4194304, 110.002, 27, 2.32557, 35, 23, 0.0718838, 0.294786, 0.012502
4, 106.708, 4000, 4194304, 4194304, 149.942, 37, 4.10401, 47, 28, 0.105808, 0.567457, 0.00724508
4, 107.226, 4000, 4194304, 4194304, 149.218, 37, 3.60844, 48, 30, 0.106243, 0.51059, 0.00365973
4, 106.646, 4000, 4194304, 4194304, 150.03, 37, 3.53811, 47, 30, 0.105739, 0.62685, 0.010133
4, 108.364, 4000, 4194304, 4194304, 147.65, 36, 3.44862, 46, 30, 0.107495, 0.672624, 0.00336202
4, 110.272, 4000, 4194304, 4194304, 145.096, 36, 3.94326, 47, 25, 0.109423, 0.663694, 0.0129275
4, 107.877, 4000, 4194304, 4194304, 148.317, 37, 3.42772, 49, 30, 0.106914, 0.607859, 0.00720248
