Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 67.4879, 1000, 4194304, 4194304, 59.2699, 14, 6.73995, 23, 0, 0.067468, 1.40449, 0.0144375
1, 53.8698, 1000, 4194304, 4194304, 74.2531, 18, 1.72575, 24, 15, 0.0538507, 0.136371, 0.0127876
1, 54.2367, 1000, 4194304, 4194304, 73.7508, 18, 1.56135, 23, 15, 0.0542181, 0.165628, 0.013109
1, 54.045, 1000, 4194304, 4194304, 74.0124, 18, 1.71288, 23, 15, 0.0540266, 0.143757, 0.0127432
1, 54.2951, 1000, 4194304, 4194304, 73.6715, 18, 1.40778, 22, 15, 0.0542761, 0.142294, 0.0123029
1, 53.9702, 1000, 4194304, 4194304, 74.1149, 18, 1.80388, 24, 15, 0.053952, 0.141746, 0.0133769
1, 54.2197, 1000, 4194304, 4194304, 73.774, 18, 1.91914, 24, 14, 0.0542009, 0.151286, 0.0129596
1, 54.1772, 1000, 4194304, 4194304, 73.8317, 18, 1.59795, 24, 14, 0.0541578, 0.141321, 0.0127506
1, 53.9937, 1000, 4194304, 4194304, 74.0827, 18, 1.82508, 23, 14, 0.0539748, 0.143936, 0.013161
1, 54.4528, 1000, 4194304, 4194304, 73.4582, 18, 1.58169, 23, 16, 0.0544337, 0.166933, 0.0120958
2, 30.0771, 1000, 4194304, 4194304, 132.991, 33, 3.76631, 39, 22, 0.0601097, 0.300905, 0.0125071
2, 30.3024, 1000, 4194304, 4194304, 132.003, 33, 2.91252, 39, 26, 0.0605587, 0.337031, 0.0130195
2, 30.344, 1000, 4194304, 4194304, 131.822, 32, 3.16754, 42, 27, 0.0606392, 0.354834, 0.0126199
2, 30.1526, 1000, 4194304, 4194304, 132.659, 33, 2.40306, 37, 29, 0.0602746, 0.295717, 0.0124849
2, 30.9685, 1000, 4194304, 4194304, 129.164, 32, 4.02706, 39, 24, 0.061892, 0.461354, 0.0125948
2, 30.9432, 1000, 4194304, 4194304, 129.269, 32, 3.28161, 39, 24, 0.0618497, 0.332506, 0.0123479
2, 30.1103, 1000, 4194304, 4194304, 132.845, 33, 2.37346, 38, 28, 0.0601809, 0.343961, 0.0120525
2, 30.1933, 1000, 4194304, 4194304, 132.48, 33, 2.78832, 38, 26, 0.0603488, 0.327254, 0.0124869
2, 30.2759, 1000, 4194304, 4194304, 132.118, 33, 3.09616, 37, 24, 0.0605212, 0.362608, 0.0127277
2, 30.0183, 1000, 4194304, 4194304, 133.252, 33, 2.99597, 40, 27, 0.0599981, 0.315102, 0.0121124
4, 21.5474, 1000, 4194304, 4194304, 185.637, 46, 4.19012, 55, 41, 0.0860588, 0.395534, 0.012896
4, 21.788, 1000, 4194304, 4194304, 183.587, 45, 4.83342, 55, 37, 0.087023, 0.416567, 0.0142341
4, 21.5718, 1000, 4194304, 4194304, 185.427, 46, 3.78908, 54, 37, 0.0861774, 0.431994, 0.0130802
4, 21.4771, 1000, 4194304, 4194304, 186.245, 46, 4.42288, 54, 38, 0.0857578, 0.439335, 0.0128998
4, 21.3562, 1000, 4194304, 4194304, 187.299, 46, 5.10788, 55, 37, 0.0853097, 0.541154, 0.0128531
4, 21.8101, 1000, 4194304, 4194304, 183.401, 45, 4.46414, 54, 38, 0.0871376, 0.444198, 0.012985
4, 21.3716, 1000, 4194304, 4194304, 187.164, 46, 4.60331, 54, 39, 0.0853693, 0.383408, 0.0131071
4, 21.7544, 1000, 4194304, 4194304, 183.871, 45, 3.57638, 55, 41, 0.0868844, 0.431519, 0.0126538
4, 21.5591, 1000, 4194304, 4194304, 185.537, 46, 4.47852, 55, 38, 0.0861138, 0.62977, 0.0123867
4, 21.3512, 1000, 4194304, 4194304, 187.343, 46, 4.6527, 54, 38, 0.0852729, 0.394749, 0.012962
8, 21.5343, 1000, 4194304, 4194304, 185.751, 46, 4.84326, 57, 38, 0.0860241, 0.425723, 0.0131539
8, 20.2356, 1000, 4194304, 4194304, 197.671, 49, 4.12279, 61, 41, 0.161069, 1.20273, 0.0128334
8, 20.4455, 1000, 4194304, 4194304, 195.642, 48, 5.11422, 59, 37, 0.162823, 0.970219, 0.013186
8, 20.345, 1000, 4194304, 4194304, 196.609, 49, 5.35355, 59, 40, 0.162065, 0.685991, 0.0133552
8, 20.2132, 1000, 4194304, 4194304, 197.891, 49, 4.39467, 59, 43, 0.161054, 0.655236, 0.012958
8, 20.3391, 1000, 4194304, 4194304, 196.665, 49, 4.41767, 60, 41, 0.161994, 0.79168, 0.013033
8, 20.8599, 1000, 4194304, 4194304, 191.755, 47, 7.05822, 61, 32, 0.166123, 1.17414, 0.012392
8, 20.2354, 1000, 4194304, 4194304, 197.673, 49, 4.6949, 62, 40, 0.161118, 0.696589, 0.0133117
8, 20.2611, 1000, 4194304, 4194304, 197.423, 49, 4.40574, 60, 42, 0.161395, 0.758373, 0.0134881
8, 20.4195, 1000, 4194304, 4194304, 195.892, 48, 4.0246, 56, 41, 0.162235, 0.871245, 0.0126497
16, 20.1832, 1000, 4194304, 4194304, 198.185, 49, 5.13092, 64, 43, 0.319579, 1.75736, 0.0131891
16, 20.1781, 1000, 4194304, 4194304, 198.235, 49, 4.85446, 58, 42, 0.318939, 1.89515, 0.0129596
16, 20.1697, 1000, 4194304, 4194304, 198.317, 49, 5.27032, 63, 43, 0.319203, 2.27438, 0.0140574
16, 20.1931, 1000, 4194304, 4194304, 198.088, 49, 5.43962, 63, 40, 0.319178, 2.17255, 0.0125
16, 20.1644, 1000, 4194304, 4194304, 198.369, 49, 5.01445, 60, 42, 0.31892, 1.9215, 0.0132618
16, 20.1747, 1000, 4194304, 4194304, 198.268, 49, 5.38883, 64, 41, 0.319176, 2.01358, 0.0133487
16, 20.1833, 1000, 4194304, 4194304, 198.183, 49, 4.97467, 57, 40, 0.318981, 1.93228, 0.0131947
16, 20.192, 1000, 4194304, 4194304, 198.099, 49, 6.00241, 63, 40, 0.319358, 2.08011, 0.013923
16, 20.1733, 1000, 4194304, 4194304, 198.282, 49, 5.33977, 62, 40, 0.318848, 2.04442, 0.0133187
16, 20.1819, 1000, 4194304, 4194304, 198.197, 49, 5.68354, 65, 42, 0.319026, 1.91198, 0.0138418
