Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1,  52.6843, 1000, 4194304, 4194304, 75.9239, 18, 2.06749, 24, 15, 0.0526666, 0.142628, 0.00333909
1,  53.8436, 1000, 4194304, 4194304, 74.2892, 18, 1.68059, 22, 15, 0.0538241, 0.140324, 0.0124195
1,  53.9747, 1000, 4194304, 4194304, 74.1087, 18, 1.80388, 24, 15, 0.0539567, 0.16575, 0.0123786
1,  54.1147, 1000, 4194304, 4194304, 73.9171, 18, 1.70173, 23, 13, 0.0540955, 0.136981, 0.0138206
1,  54.5697, 1000, 4194304, 4194304, 73.3008, 18, 1.86325, 23, 14, 0.0545513, 0.149173, 0.0119118
1,  54.0759, 1000, 4194304, 4194304, 73.9701, 18, 1.71278, 23, 14, 0.0540566, 0.148468, 0.0123906
1,  54.0995, 1000, 4194304, 4194304, 73.9378, 18, 1.59883, 22, 13, 0.0540808, 0.154872, 0.0125982
1,  54.0539, 1000, 4194304, 4194304, 74.0002, 18, 1.97866, 25, 13, 0.0540354, 0.145258, 0.0122934
1,  53.9812, 1000, 4194304, 4194304, 74.0999, 18, 1.63573, 23, 15, 0.0539628, 0.140579, 0.0127221
1,  53.3836, 1000, 4194304, 4194304, 74.9294, 18, 1.74478, 23, 15, 0.0533642, 0.137756, 0.0128126
2,  30.9315, 1000, 4194304, 4194304, 129.318, 32, 4.02135, 42, 25, 0.0618407, 0.487711, 0.0121887
2,  30.2307, 1000, 4194304, 4194304, 132.316, 33, 1.66816, 37, 31, 0.0604257, 0.324822, 0.0121022
2,  31.6228, 1000, 4194304, 4194304, 126.491, 31, 4.28701, 37, 18, 0.0631886, 0.394384, 0.0125705
2,  31.0717, 1000, 4194304, 4194304, 128.734, 32, 4.53943, 42, 21, 0.0620971, 0.35148, 0.0127274
2,  31.2726, 1000, 4194304, 4194304, 127.907, 31, 3.35659, 42, 24, 0.0624923, 0.345277, 0.0131213
2,  30.1399, 1000, 4194304, 4194304, 132.714, 33, 2.64445, 40, 30, 0.0602258, 0.339696, 0.0128394
2,  30.8876, 1000, 4194304, 4194304, 129.502, 32, 3.40874, 38, 24, 0.0617326, 0.319443, 0.011887
2,  30.6048, 1000, 4194304, 4194304, 130.699, 32, 2.69525, 37, 26, 0.0611682, 0.323964, 0.0131187
2,  29.58, 1000, 4194304, 4194304, 135.227, 33, 2.44546, 39, 30, 0.0591153, 0.273356, 0.0129158
2,  30.1963, 1000, 4194304, 4194304, 132.467, 33, 2.7384, 39, 27, 0.06035, 0.281017, 0.012685
4,  21.4178, 1000, 4194304, 4194304, 186.76, 46, 4.48224, 53, 38, 0.0855608, 0.369081, 0.0128105
4,  21.4077, 1000, 4194304, 4194304, 186.849, 46, 5.00904, 55, 36, 0.0855006, 0.573486, 0.0129802
4,  21.44, 1000, 4194304, 4194304, 186.568, 46, 4.77394, 54, 37, 0.0856286, 0.57364, 0.0131586
4,  21.6793, 1000, 4194304, 4194304, 184.508, 46, 4.27284, 55, 34, 0.0865171, 0.418461, 0.0125497
4,  21.7041, 1000, 4194304, 4194304, 184.297, 46, 4.54397, 54, 37, 0.0863495, 0.497618, 0.0129571
4,  21.5673, 1000, 4194304, 4194304, 185.466, 46, 5.06858, 54, 37, 0.0861316, 0.459048, 0.0121231
4,  21.5618, 1000, 4194304, 4194304, 185.513, 46, 4.77094, 57, 38, 0.0861444, 0.701326, 0.0120836
4,  22.4059, 1000, 4194304, 4194304, 178.524, 44, 8.76349, 54, 17, 0.0895184, 1.24921, 0.0125244
4,  21.5309, 1000, 4194304, 4194304, 185.779, 46, 4.0538, 53, 37, 0.0860399, 0.550457, 0.0124654
4,  21.6657, 1000, 4194304, 4194304, 184.624, 46, 4.30835, 54, 38, 0.0862398, 0.393865, 0.0130171
8,  20.4077, 1000, 4194304, 4194304, 196.005, 49, 4.42332, 58, 40, 0.162603, 0.946612, 0.0136707
8,  20.2279, 1000, 4194304, 4194304, 197.746, 49, 4.82837, 62, 42, 0.161234, 0.778491, 0.012693
8,  20.2078, 1000, 4194304, 4194304, 197.944, 49, 4.9789, 59, 42, 0.161038, 0.65584, 0.0130855
8,  20.3307, 1000, 4194304, 4194304, 196.747, 49, 3.75955, 57, 41, 0.161941, 0.773712, 0.0127029
8,  20.2196, 1000, 4194304, 4194304, 197.828, 49, 4.72953, 61, 42, 0.161041, 0.76591, 0.0142707
8,  20.2097, 1000, 4194304, 4194304, 197.925, 49, 4.29688, 61, 42, 0.160884, 0.818604, 0.013033
8,  20.2986, 1000, 4194304, 4194304, 197.058, 49, 4.32131, 62, 42, 0.161737, 1.24624, 0.0135093
8,  20.2166, 1000, 4194304, 4194304, 197.857, 49, 5.15548, 60, 42, 0.161132, 0.770914, 0.0126809
8,  20.2306, 1000, 4194304, 4194304, 197.72, 49, 4.75173, 62, 42, 0.16114, 0.834722, 0.0127978
8,  20.2811, 1000, 4194304, 4194304, 197.228, 49, 4.28553, 59, 43, 0.16159, 0.636666, 0.0125788
16, 20.2001, 1000, 4194304, 4194304, 198.019, 49, 5.70411, 65, 41, 0.319349, 1.97342, 0.013068
16, 20.1861, 1000, 4194304, 4194304, 198.157, 49, 4.25626, 58, 42, 0.319421, 2.31273, 0.0132976
16, 20.1885, 1000, 4194304, 4194304, 198.133, 49, 5.40078, 63, 40, 0.319306, 2.41899, 0.0132129
16, 20.1804, 1000, 4194304, 4194304, 198.213, 49, 5.73883, 63, 40, 0.319033, 2.04637, 0.0125126
16, 20.1763, 1000, 4194304, 4194304, 198.252, 49, 5.748, 65, 42, 0.319028, 2.08965, 0.01288
16, 20.1718, 1000, 4194304, 4194304, 198.297, 49, 4.7448, 59, 42, 0.318945, 2.13038, 0.0129687
16, 20.1766, 1000, 4194304, 4194304, 198.25, 49, 5.63705, 64, 42, 0.318873, 2.37931, 0.0131039
