Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 62.398, 1000, 4194304, 4194304, 64.1046, 16, 1.65452, 20, 13, 0.061543, 0.166938, 0.00308133
1, 59.8972, 1000, 4194304, 4194304, 66.7811, 16, 1.73036, 21, 13, 0.0590258, 0.151917, 0.00320473
1, 61.4762, 1000, 4194304, 4194304, 65.0658, 16, 1.47937, 21, 14, 0.0606266, 0.14638, 0.00317217
1, 61.4438, 1000, 4194304, 4194304, 65.1002, 16, 1.53982, 19, 13, 0.0605603, 0.146902, 0.00337669
1, 61.3926, 1000, 4194304, 4194304, 65.1544, 16, 1.49571, 20, 12, 0.0604996, 0.159072, 0.00322751
1, 60.8285, 1000, 4194304, 4194304, 65.7586, 16, 1.45468, 20, 13, 0.0599652, 0.189912, 0.00305195
1, 59.1277, 1000, 4194304, 4194304, 67.6501, 16, 1.50044, 21, 14, 0.0582826, 0.136199, 0.00312099
1, 60.9519, 1000, 4194304, 4194304, 65.6256, 16, 1.65524, 20, 13, 0.0600982, 0.15336, 0.00327432
1, 62.1135, 1000, 4194304, 4194304, 64.3982, 16, 1.60644, 21, 12, 0.061218, 0.164773, 0.00400138
1, 62.5186, 1000, 4194304, 4194304, 63.981, 15, 1.57854, 20, 13, 0.0616502, 0.157252, 0.00360375
2, 33.9045, 1000, 4194304, 4194304, 117.979, 29, 4.22138, 39, 19, 0.0668418, 0.327184, 0.00347197
2, 32.9646, 1000, 4194304, 4194304, 121.342, 30, 4.05494, 37, 22, 0.0650346, 0.339467, 0.00264844
2, 33.6315, 1000, 4194304, 4194304, 118.936, 29, 3.04822, 34, 21, 0.0663851, 0.339728, 0.00343663
2, 32.7431, 1000, 4194304, 4194304, 122.163, 30, 3.03591, 40, 26, 0.0646172, 0.343025, 0.00330523
2, 33.5473, 1000, 4194304, 4194304, 119.235, 29, 3.60581, 36, 20, 0.0662144, 0.37498, 0.00332638
2, 33.8068, 1000, 4194304, 4194304, 118.319, 29, 2.88117, 35, 25, 0.0667778, 0.48082, 0.00341652
2, 32.3425, 1000, 4194304, 4194304, 123.676, 30, 3.2701, 37, 23, 0.0638365, 0.372615, 0.00343083
