Thread, Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
1, 70.1786, 1000, 4194304, 4194304, 56.9974, 14, 4.90913, 20, 1, 0.0692868, 1.26091, 0.00682822
1, 60.6733, 1000, 4194304, 4194304, 65.9268, 16, 1.65157, 20, 13, 0.059803, 0.135597, 0.00331616
1, 62.3415, 1000, 4194304, 4194304, 64.1627, 16, 1.39046, 19, 13, 0.0614851, 0.153956, 0.00391039
1, 60.734, 1000, 4194304, 4194304, 65.861, 16, 1.56687, 21, 14, 0.0598672, 0.138462, 0.00329093
1, 61.9751, 1000, 4194304, 4194304, 64.5421, 16, 1.56882, 20, 13, 0.0610471, 0.137922, 0.00514275
1, 60.7753, 1000, 4194304, 4194304, 65.8162, 16, 1.61944, 20, 13, 0.0599402, 0.161905, 0.0029258
1, 60.4241, 1000, 4194304, 4194304, 66.1988, 16, 1.4193, 20, 14, 0.0595243, 0.16994, 0.00306894
1, 61.0049, 1000, 4194304, 4194304, 65.5685, 16, 1.56948, 20, 13, 0.0601406, 0.14402, 0.00383995
1, 61.1101, 1000, 4194304, 4194304, 65.4556, 16, 1.69345, 20, 12, 0.0602298, 0.197496, 0.00306718
1, 60.1016, 1000, 4194304, 4194304, 66.5539, 16, 1.74634, 20, 13, 0.0592596, 0.13991, 0.00337009
2, 33.4269, 1000, 4194304, 4194304, 119.664, 29, 3.55636, 38, 24, 0.0660208, 0.309322, 0.0064998
2, 33.323, 1000, 4194304, 4194304, 120.037, 30, 3.90318, 37, 20, 0.0657158, 0.348294, 0.00649632
2, 33.2966, 1000, 4194304, 4194304, 120.133, 30, 3.15178, 35, 24, 0.0657697, 0.331273, 0.00338772
2, 33.1219, 1000, 4194304, 4194304, 120.766, 30, 2.58309, 35, 24, 0.0653687, 0.329214, 0.00317651
2, 33.9832, 1000, 4194304, 4194304, 117.705, 29, 3.59529, 35, 17, 0.067134, 0.497769, 0.00348825
2, 33.3972, 1000, 4194304, 4194304, 119.771, 29, 3.45452, 35, 23, 0.0659547, 0.313454, 0.00378034
