Total time run, Total writes made, Write size, Object size, Bandwidth (MB/sec), Stddev Bandwidth, Max bandwidth (MB/sec), Min bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Stddev Latency(s), Max latency(s), Min latency(s) 
30.0029, 1092, 1024, 1024, 0.0355434, 0.0193087, 0.0498047, 0, 36, 19.8035, 51, 0, 0.0274598, 0.0763841, 1.26665, 0.0114731
30.0048, 1478, 1024, 1024, 0.0481043, 0.00242717, 0.0517578, 0.0400391, 49, 2.48543, 53, 41, 0.0202858, 0.00532177, 0.0626852, 0.0103633
30.0181, 1495, 1024, 1024, 0.0486361, 0.00197656, 0.0527344, 0.0439453, 49, 2.02399, 54, 45, 0.0200636, 0.00504275, 0.0580125, 0.0113397
30.0075, 1579, 1024, 1024, 0.0513868, 0.00280467, 0.0556641, 0.0429688, 52, 2.87198, 57, 44, 0.0189892, 0.00664731, 0.148383, 0.011408
30.0144, 1521, 1024, 1024, 0.0494879, 0.00263208, 0.0537109, 0.0419922, 50, 2.69525, 55, 43, 0.0197185, 0.00608912, 0.0987023, 0.0125225
30.0152, 1593, 1024, 1024, 0.0518292, 0.00224943, 0.0556641, 0.0478516, 53, 2.30342, 57, 49, 0.0188272, 0.00560301, 0.0731386, 0.00953627
30.0139, 1520, 1024, 1024, 0.0494562, 0.00284984, 0.0546875, 0.0449219, 50, 2.91823, 56, 46, 0.019731, 0.00572252, 0.0715785, 0.0101202
30.0011, 1533, 1024, 1024, 0.0499005, 0.00227429, 0.0537109, 0.0449219, 51, 2.32887, 55, 46, 0.0195554, 0.00626008, 0.0929416, 0.0112586
30.0296, 1024, 1024, 1024, 0.0333005, 0.0102177, 0.0537109, 0.0185547, 34, 10.4629, 55, 19, 0.0293102, 0.0273469, 0.242778, 0.0117027
30.0384, 887, 2048, 2048, 0.0576737, 0.00774033, 0.0703125, 0.0429688, 29, 3.96305, 36, 22, 0.0338492, 0.0296472, 0.244585, 0.0121292
30.0178, 911, 2048, 2048, 0.0592747, 0.00987057, 0.0859375, 0.0429688, 30, 5.05373, 44, 22, 0.0329347, 0.0297638, 0.272498, 0.0112282
30.0376, 861, 2048, 2048, 0.0559845, 0.0090211, 0.0703125, 0.0351562, 28, 4.6188, 36, 18, 0.0348714, 0.0317777, 0.235544, 0.012392
30.0015, 868, 2048, 2048, 0.0565076, 0.0111913, 0.0839844, 0.0351562, 28, 5.72997, 43, 18, 0.0345483, 0.0329661, 0.262755, 0.0129931
30.0313, 879, 2048, 2048, 0.057167, 0.0110834, 0.0839844, 0.0351562, 29, 5.67471, 43, 18, 0.0341496, 0.0326179, 0.30723, 0.0127369
30.0015, 831, 2048, 2048, 0.0540988, 0.00913221, 0.0742188, 0.03125, 27, 4.67569, 38, 16, 0.0360871, 0.0327402, 0.237083, 0.012152
30.0025, 906, 2048, 2048, 0.0589794, 0.00829094, 0.0761719, 0.0390625, 30, 4.24496, 39, 20, 0.0330998, 0.0286204, 0.254333, 0.012099
30.0048, 857, 2048, 2048, 0.0557854, 0.0108278, 0.0761719, 0.0351562, 28, 5.54382, 39, 18, 0.034996, 0.0354396, 0.273731, 0.0129363
30.0126, 850, 2048, 2048, 0.0553153, 0.00832047, 0.0742188, 0.0429688, 28, 4.26008, 38, 22, 0.035293, 0.0342622, 0.26502, 0.0122037
30.0408, 868, 4096, 4096, 0.112867, 0.0197416, 0.15625, 0.0742188, 28, 5.05385, 40, 19, 0.0345941, 0.0327886, 0.254113, 0.0126707
30.0295, 981, 4096, 4096, 0.127609, 0.0189802, 0.160156, 0.09375, 32, 4.85893, 41, 24, 0.0305961, 0.026185, 0.250555, 0.0122353
30.0167, 913, 4096, 4096, 0.118814, 0.0181951, 0.152344, 0.0898438, 30, 4.65796, 39, 23, 0.0328615, 0.0274836, 0.223028, 0.0120501
30.1374, 856, 4096, 4096, 0.11095, 0.0166283, 0.132812, 0.0625, 28, 4.25684, 34, 16, 0.0351915, 0.0327378, 0.262412, 0.0135421
30.0192, 863, 4096, 4096, 0.112298, 0.0170094, 0.15625, 0.0898438, 28, 4.35441, 40, 23, 0.0347695, 0.0340822, 0.262542, 0.0131419
30.0312, 803, 4096, 4096, 0.104449, 0.0192171, 0.144531, 0.0664062, 26, 4.91958, 37, 17, 0.0373837, 0.0355518, 0.252766, 0.0128445
30.1289, 835, 4096, 4096, 0.108259, 0.0262621, 0.167969, 0.0664062, 27, 6.72309, 43, 17, 0.0360669, 0.036535, 0.325571, 0.0119749
30.0169, 911, 4096, 4096, 0.118553, 0.0234225, 0.164062, 0.0742188, 30, 5.99617, 42, 19, 0.0329335, 0.0321156, 0.255479, 0.0102024
30.035, 897, 4096, 4096, 0.116661, 0.0222805, 0.160156, 0.0742188, 29, 5.7038, 41, 19, 0.0334687, 0.0302286, 0.237761, 0.0105968
30.019, 890, 8192, 8192, 0.231624, 0.0330492, 0.296875, 0.171875, 29, 4.2303, 38, 22, 0.0337142, 0.0295943, 0.24632, 0.0105763
30.1181, 877, 8192, 8192, 0.22749, 0.0433964, 0.296875, 0.132812, 29, 5.55474, 38, 17, 0.0343265, 0.0315538, 0.24081, 0.0122167
30.0087, 844, 8192, 8192, 0.219728, 0.0443534, 0.304688, 0.148438, 28, 5.67724, 39, 19, 0.0355404, 0.0319797, 0.24371, 0.0100561
30.061, 857, 8192, 8192, 0.222725, 0.0388048, 0.296875, 0.148438, 28, 4.96702, 38, 19, 0.0350609, 0.0329256, 0.218075, 0.0104989
30.0397, 844, 8192, 8192, 0.219502, 0.037177, 0.273438, 0.132812, 28, 4.75866, 35, 17, 0.0355767, 0.0351405, 0.288944, 0.0114375
30.0097, 882, 8192, 8192, 0.229614, 0.0397559, 0.328125, 0.164062, 29, 5.08875, 42, 21, 0.0340085, 0.033085, 0.263598, 0.0104092
30.0214, 863, 8192, 8192, 0.224579, 0.0376039, 0.28125, 0.140625, 28, 4.8133, 36, 18, 0.0347717, 0.033741, 0.263427, 0.0117643
30.0089, 879, 8192, 8192, 0.228838, 0.0395143, 0.304688, 0.117188, 29, 5.05783, 39, 15, 0.0341237, 0.0300055, 0.223377, 0.0104174
