 Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0169, 653, 4194304, 4194304, 87.0177, 21, 2.39156, 25, 13, 0.0450111, 0.169161, 0.00963162
30.0048, 634, 4194304, 4194304, 84.5197, 21, 1.83963, 24, 17, 0.0464072, 0.237679, 0.0267262
30.0266, 669, 4194304, 4194304, 89.1209, 22, 2.09981, 26, 17, 0.0439358, 0.244352, 0.0239851
30.0021, 661, 4194304, 4194304, 88.1272, 22, 2.06901, 25, 16, 0.0444453, 0.15324, 0.0127289
30.0366, 628, 4194304, 4194304, 83.6313, 20, 1.95378, 25, 18, 0.046871, 0.203202, 0.0101072
30.0163, 657, 4194304, 4194304, 87.5525, 21, 2.37419, 26, 16, 0.0447447, 0.188586, 0.0213422
30.0745, 640, 4194304, 4194304, 85.1218, 21, 2.87858, 26, 12, 0.0460265, 0.286981, 0.0260825
30.0282, 639, 4194304, 4194304, 85.12, 21, 2.44855, 24, 14, 0.0459863, 0.230041, 0.0183411
30.0018, 651, 4194304, 4194304, 86.7947, 21, 2.23442, 26, 17, 0.0451534, 0.20418, 0.00623451
30.0239, 1305, 4194304, 4194304, 173.862, 43, 2.32947, 48, 39, 0.0450606, 0.252272, 0.00914037
30.016, 1339, 4194304, 4194304, 178.438, 44, 1.94197, 48, 41, 0.0439157, 0.238037, 0.00732734
30.072, 1328, 4194304, 4194304, 176.643, 44, 2.5008, 48, 38, 0.0442964, 0.237817, 0.018365
30.0431, 1306, 4194304, 4194304, 173.883, 43, 3.23505, 49, 35, 0.0450563, 0.211627, 0.0248832
30.0467, 1333, 4194304, 4194304, 177.457, 44, 3.42892, 49, 37, 0.0441752, 0.307465, 0.0133976
30.025, 1333, 4194304, 4194304, 177.585, 44, 3.18924, 49, 35, 0.0442041, 0.224872, 0.0112149
30.0227, 1324, 4194304, 4194304, 176.4, 44, 3.05053, 49, 37, 0.0445039, 0.197948, 0.0129292
30.0161, 1338, 4194304, 4194304, 178.304, 44, 3.3706, 51, 39, 0.0440186, 0.265057, 0.00874212
30.0183, 1341, 4194304, 4194304, 178.691, 44, 2.72262, 50, 39, 0.0438725, 0.207931, 0.0160838
30.035, 2007, 4194304, 4194304, 267.288, 66, 4.27019, 74, 57, 0.0440529, 0.296485, 0.00909103
30.0246, 1968, 4194304, 4194304, 262.185, 65, 4.65166, 75, 54, 0.0449202, 0.404101, 0.00820496
30.0834, 1935, 4194304, 4194304, 257.285, 64, 4.58333, 72, 52, 0.0457062, 0.276015, 0.0133811
30.0085, 1929, 4194304, 4194304, 257.127, 64, 5.08502, 73, 54, 0.0458117, 0.268485, 0.013435
30.0358, 2009, 4194304, 4194304, 267.547, 66, 3.47139, 72, 58, 0.0439901, 0.292539, 0.014554
30.0467, 1949, 4194304, 4194304, 259.463, 64, 3.74488, 71, 55, 0.0453582, 0.367266, 0.00805206
30.1588, 1936, 4194304, 4194304, 256.774, 64, 4.93183, 72, 52, 0.0457893, 0.289806, 0.0137695
30.0658, 1936, 4194304, 4194304, 257.569, 64, 4.60647, 71, 50, 0.0456708, 0.435703, 0.007203
30.0455, 1999, 4194304, 4194304, 266.13, 66, 3.8032, 72, 58, 0.0442435, 0.207902, 0.0164767
30.0528, 2516, 4194304, 4194304, 334.878, 83, 5.23703, 91, 70, 0.0468675, 0.305717, 0.0137595
30.037, 2473, 4194304, 4194304, 329.327, 82, 6.2496, 94, 69, 0.0476752, 0.357794, 0.0139236
30.0322, 2553, 4194304, 4194304, 340.035, 85, 4.90238, 94, 76, 0.0461758, 0.29669, 0.0156339
30.0305, 2468, 4194304, 4194304, 328.733, 82, 5.76005, 92, 72, 0.0477888, 0.305837, 0.0167245
30.0481, 2485, 4194304, 4194304, 330.803, 82, 4.91409, 92, 68, 0.0474862, 0.24897, 0.00797079
30.0288, 2512, 4194304, 4194304, 334.612, 83, 5.51862, 93, 67, 0.046951, 0.288783, 0.00862384
30.055, 2480, 4194304, 4194304, 330.061, 82, 4.30504, 90, 73, 0.047587, 0.466512, 0.0110069
30.0338, 2549, 4194304, 4194304, 339.484, 84, 4.90414, 96, 77, 0.0462444, 0.319501, 0.010004
30.0356, 2539, 4194304, 4194304, 338.132, 84, 5.78156, 96, 74, 0.0464446, 0.323568, 0.0119925
30.0555, 3010, 4194304, 4194304, 400.593, 100, 6.81479, 109, 85, 0.0490115, 0.390153, 0.0118295
30.0582, 2978, 4194304, 4194304, 396.298, 99, 5.68937, 113, 88, 0.0495567, 0.376609, 0.00849996
30.0404, 2992, 4194304, 4194304, 398.396, 99, 5.94041, 110, 86, 0.0493194, 0.408094, 0.00938918
30.111, 2982, 4194304, 4194304, 396.134, 99, 8.64903, 110, 73, 0.0495265, 0.555588, 0.00845662
30.0571, 3005, 4194304, 4194304, 399.905, 99, 3.79185, 110, 93, 0.0491125, 0.449077, 0.0090673
30.0446, 2987, 4194304, 4194304, 397.675, 99, 7.8375, 111, 72, 0.0494438, 0.407998, 0.00894673
30.0355, 2966, 4194304, 4194304, 394.999, 98, 5.86721, 112, 89, 0.0497451, 0.445591, 0.0136632
