 Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0381, 722, 4194304, 4194304, 96.1445, 24, 2.37056, 27, 18, 0.0415827, 0.1978, 0.0127624
30.0349, 693, 4194304, 4194304, 92.2926, 23, 2.69013, 27, 18, 0.0433196, 0.181992, 0.0127294
30.0115, 707, 4194304, 4194304, 94.2304, 23, 2.12916, 27, 19, 0.0424286, 0.22439, 0.0128668
30.038, 714, 4194304, 4194304, 95.0795, 23, 2.11209, 27, 18, 0.042049, 0.177654, 0.0131048
30.0092, 721, 4194304, 4194304, 96.1038, 24, 2.05107, 28, 19, 0.0416007, 0.147512, 0.0130843
30.0014, 706, 4194304, 4194304, 94.1289, 23, 2.48691, 28, 18, 0.0424735, 0.155809, 0.0126069
30.0067, 707, 4194304, 4194304, 94.2456, 23, 2.6747, 28, 18, 0.0424218, 0.207947, 0.0128077
30.0221, 725, 4194304, 4194304, 96.5956, 24, 2.28539, 28, 19, 0.0413882, 0.147472, 0.0128633
30.0247, 701, 4194304, 4194304, 93.3896, 23, 3.06632, 28, 16, 0.0428106, 0.223261, 0.0126159
30.0426, 1443, 4194304, 4194304, 192.127, 48, 3.68111, 54, 40, 0.0416097, 0.232883, 0.0127349
30.0308, 1453, 4194304, 4194304, 193.535, 48, 4.67274, 58, 40, 0.0412985, 0.220068, 0.0129127
30.023, 1444, 4194304, 4194304, 192.386, 48, 3.72642, 55, 42, 0.0415506, 0.176231, 0.0130002
30.0193, 1394, 4194304, 4194304, 185.747, 46, 4.14133, 54, 37, 0.0430374, 0.216795, 0.0125531
30.0373, 1380, 4194304, 4194304, 183.771, 45, 5.11579, 54, 34, 0.0434891, 0.227483, 0.0132006
30.0833, 1457, 4194304, 4194304, 193.729, 48, 3.57915, 54, 41, 0.0412456, 0.21547, 0.013115
30.0156, 1420, 4194304, 4194304, 189.235, 47, 4.28255, 55, 37, 0.0422497, 0.20638, 0.0133714
30.0397, 1445, 4194304, 4194304, 192.412, 48, 3.99439, 57, 38, 0.0415436, 0.232016, 0.0123211
30.0539, 1415, 4194304, 4194304, 188.328, 47, 4.79032, 59, 38, 0.0424228, 0.265062, 0.0123213
30.0505, 2067, 4194304, 4194304, 275.137, 68, 4.60197, 75, 58, 0.0435533, 0.237264, 0.0132727
30.0368, 2063, 4194304, 4194304, 274.73, 68, 5.33143, 77, 59, 0.0436359, 0.266811, 0.0132374
30.0444, 2079, 4194304, 4194304, 276.79, 69, 4.50593, 79, 60, 0.0433187, 0.225529, 0.0129768
30.02, 2058, 4194304, 4194304, 274.217, 68, 4.08262, 75, 60, 0.0437271, 0.273191, 0.0130988
30.034, 1959, 4194304, 4194304, 260.905, 65, 4.48292, 78, 57, 0.045951, 0.220635, 0.0128756
30.0373, 2090, 4194304, 4194304, 278.321, 69, 5.85858, 79, 58, 0.0430808, 0.214791, 0.0129158
30.0208, 2064, 4194304, 4194304, 275.009, 68, 5.14044, 77, 57, 0.0436064, 0.277909, 0.012968
30.0285, 2085, 4194304, 4194304, 277.736, 69, 5.21668, 77, 57, 0.0431747, 0.190562, 0.0132584
30.031, 2092, 4194304, 4194304, 278.645, 69, 4.91643, 79, 58, 0.0430404, 0.248361, 0.0129376
30.0393, 2638, 4194304, 4194304, 351.273, 87, 5.96195, 96, 73, 0.045514, 0.273263, 0.0135307
30.0222, 2663, 4194304, 4194304, 354.804, 88, 6.06564, 99, 74, 0.0450651, 0.280354, 0.0132236
30.0313, 2644, 4194304, 4194304, 352.166, 88, 5.70229, 95, 70, 0.0454026, 0.279677, 0.0132577
30.04, 2644, 4194304, 4194304, 352.064, 88, 5.90431, 98, 76, 0.0454016, 0.269576, 0.0131026
30.0255, 2692, 4194304, 4194304, 358.629, 89, 5.17609, 98, 76, 0.0445787, 0.230684, 0.0134578
30.0942, 2638, 4194304, 4194304, 350.633, 87, 5.83923, 100, 74, 0.0455328, 0.265536, 0.0130279
30.064, 2640, 4194304, 4194304, 351.251, 87, 6.45266, 100, 75, 0.0455035, 0.281077, 0.0129315
30.0243, 2657, 4194304, 4194304, 353.98, 88, 6.47409, 101, 68, 0.0451624, 0.264461, 0.013212
30.0503, 2633, 4194304, 4194304, 350.478, 87, 6.74401, 98, 74, 0.0455961, 0.235009, 0.0133681
30.0485, 3196, 4194304, 4194304, 425.445, 106, 6.03143, 119, 92, 0.0469709, 0.267132, 0.0136889
30.0515, 3203, 4194304, 4194304, 426.334, 106, 5.72713, 116, 93, 0.0468582, 0.287167, 0.0134784
30.0385, 3166, 4194304, 4194304, 421.592, 105, 6.90627, 115, 88, 0.0473887, 0.261861, 0.0134231
30.036, 3166, 4194304, 4194304, 421.627, 105, 6.26805, 117, 89, 0.0473867, 0.317979, 0.0132794
30.0381, 3162, 4194304, 4194304, 421.066, 105, 6.74119, 119, 89, 0.0474433, 0.254579, 0.0129415
30.0337, 3187, 4194304, 4194304, 424.456, 106, 6.73309, 122, 89, 0.047084, 0.345035, 0.0142095
30.0402, 3165, 4194304, 4194304, 421.435, 105, 7.43987, 123, 90, 0.0474037, 0.267524, 0.0132742
