 Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0049, 823, 4194304, 4194304, 109.716, 27, 3.18788, 32, 18, 0.0364415, 0.213792, 0.0129063
30.0025, 821, 4194304, 4194304, 109.458, 27, 2.55096, 32, 21, 0.0365278, 0.214972, 0.0126089
30.0287, 829, 4194304, 4194304, 110.428, 27, 2.71141, 31, 21, 0.0362067, 0.214686, 0.0119345
30.0133, 809, 4194304, 4194304, 107.819, 26, 2.79079, 32, 20, 0.0370839, 0.212412, 0.0127852
30.0032, 809, 4194304, 4194304, 107.855, 26, 3.12506, 31, 19, 0.03707, 0.214443, 0.0125208
30.0311, 818, 4194304, 4194304, 108.954, 27, 2.43088, 32, 20, 0.0366966, 0.219005, 0.0118985
30.0228, 816, 4194304, 4194304, 108.717, 27, 2.60084, 31, 18, 0.0367763, 0.212968, 0.0122626
30.0713, 818, 4194304, 4194304, 108.808, 27, 2.5008, 32, 19, 0.0367455, 0.235448, 0.0116041
30.0214, 810, 4194304, 4194304, 107.923, 26, 2.97673, 31, 18, 0.0370471, 0.213329, 0.0128011
30.0216, 1599, 4194304, 4194304, 213.047, 53, 4.24007, 61, 41, 0.0375268, 0.134774, 0.0119092
30.0099, 1596, 4194304, 4194304, 212.73, 53, 3.87817, 61, 46, 0.037584, 0.127854, 0.0125304
30.0672, 1590, 4194304, 4194304, 211.526, 52, 3.90343, 63, 44, 0.0377937, 0.134668, 0.0125278
30.0425, 1605, 4194304, 4194304, 213.697, 53, 3.58813, 60, 46, 0.0374041, 0.261772, 0.0120691
30.018, 1588, 4194304, 4194304, 211.606, 52, 4.4594, 61, 44, 0.0377789, 0.142746, 0.0126647
30.0189, 1598, 4194304, 4194304, 212.933, 53, 3.70833, 62, 45, 0.0375523, 0.135313, 0.0124581
30.0107, 1598, 4194304, 4194304, 212.991, 53, 3.82731, 59, 43, 0.0375428, 0.142047, 0.0124205
30.0329, 1603, 4194304, 4194304, 213.499, 53, 3.64455, 61, 45, 0.0374349, 0.139025, 0.0126133
30.0187, 1610, 4194304, 4194304, 214.533, 53, 4.15725, 63, 45, 0.0372686, 0.114337, 0.0126809
30.0417, 2308, 4194304, 4194304, 307.306, 76, 5.25936, 89, 65, 0.0390079, 0.180358, 0.0121545
30.0672, 2311, 4194304, 4194304, 307.445, 76, 5.24886, 87, 65, 0.0389868, 0.145246, 0.0134002
30.0168, 2276, 4194304, 4194304, 303.297, 75, 5.09496, 88, 66, 0.0395384, 0.186996, 0.0118294
30.0332, 2317, 4194304, 4194304, 308.592, 77, 5.24174, 88, 65, 0.0388445, 0.149446, 0.0121991
30.021, 2305, 4194304, 4194304, 307.118, 76, 5.84827, 86, 65, 0.0390458, 0.193049, 0.0117162
30.0317, 2310, 4194304, 4194304, 307.674, 76, 5.73515, 88, 65, 0.0389689, 0.156561, 0.0125715
30.0431, 2274, 4194304, 4194304, 302.765, 75, 6.57136, 85, 61, 0.0395979, 0.168358, 0.0122167
30.0543, 2328, 4194304, 4194304, 309.839, 77, 5.05658, 88, 66, 0.0386995, 0.145797, 0.0122608
30.0297, 2300, 4194304, 4194304, 306.364, 76, 5.481, 83, 59, 0.039137, 0.19296, 0.0127572
30.0339, 2897, 4194304, 4194304, 385.831, 96, 6.40411, 112, 82, 0.0414347, 0.151268, 0.0124903
30.0567, 2927, 4194304, 4194304, 389.531, 97, 6.60555, 112, 80, 0.0410198, 0.172199, 0.0126989
30.0405, 2915, 4194304, 4194304, 388.142, 97, 7.1145, 114, 78, 0.0411709, 0.168203, 0.0128372
30.0367, 2892, 4194304, 4194304, 385.129, 96, 6.40007, 110, 84, 0.0415137, 0.190919, 0.0128543
30.0526, 2913, 4194304, 4194304, 387.721, 96, 6.47799, 111, 82, 0.041233, 0.179045, 0.0130267
30.0319, 2905, 4194304, 4194304, 386.922, 96, 6.80846, 109, 78, 0.0413207, 0.180953, 0.0121472
30.0331, 2933, 4194304, 4194304, 390.636, 97, 6.44419, 111, 83, 0.0409138, 0.169528, 0.0122772
30.0278, 2951, 4194304, 4194304, 393.102, 98, 6.15144, 109, 80, 0.0406742, 0.168148, 0.0124096
