 Total time run, Total reads made, Read size, Object size, Bandwidth (MB/sec), Average IOPS, Stddev IOPS, Max IOPS, Min IOPS, Average Latency(s), Max latency(s), Min latency(s)
30.0181, 624, 4194304, 4194304, 83.1499, 20, 1.45468, 24, 19, 0.0472143, 0.170387, 0.00832939
30.0316, 619, 4194304, 4194304, 82.4464, 20, 2.23761, 25, 17, 0.0476312, 0.2102, 0.0101252
30.1098, 603, 4194304, 4194304, 80.1068, 20, 2.18037, 24, 16, 0.0491161, 0.212679, 0.0258529
30.0218, 642, 4194304, 4194304, 85.5378, 21, 2.17324, 25, 15, 0.0459006, 0.181843, 0.0112789
30.0242, 606, 4194304, 4194304, 80.735, 20, 2.61406, 24, 15, 0.0487521, 0.18275, 0.0077145
30.0164, 620, 4194304, 4194304, 82.6216, 20, 1.69143, 24, 17, 0.0475254, 0.218477, 0.0130693
30.0372, 604, 4194304, 4194304, 80.4336, 20, 2.20266, 25, 16, 0.0488547, 0.197877, 0.0165343
30.021, 621, 4194304, 4194304, 82.7422, 20, 2.18669, 24, 15, 0.0474528, 0.206142, 0.00937063
30.0055, 629, 4194304, 4194304, 83.8514, 20, 1.70987, 25, 18, 0.0468682, 0.133857, 0.0109976
30.0755, 1326, 4194304, 4194304, 176.356, 44, 3.00268, 49, 37, 0.0444017, 0.188481, 0.0132129
30.0883, 1276, 4194304, 4194304, 169.634, 42, 3.22419, 48, 36, 0.0461946, 0.277852, 0.0148426
30.0163, 1293, 4194304, 4194304, 172.306, 43, 3.03921, 47, 34, 0.0455375, 0.229213, 0.0104975
30.0567, 1262, 4194304, 4194304, 167.949, 41, 3.10728, 47, 36, 0.0467808, 0.2633, 0.0151208
30.0307, 1292, 4194304, 4194304, 172.091, 43, 3.24285, 49, 35, 0.0456041, 0.218871, 0.00832873
30.0357, 1305, 4194304, 4194304, 173.793, 43, 2.63574, 49, 39, 0.045091, 0.287207, 0.00729309
30.0108, 1312, 4194304, 4194304, 174.87, 43, 4.16333, 49, 31, 0.0449295, 0.251409, 0.0146471
30.0096, 1293, 4194304, 4194304, 172.345, 43, 2.95872, 50, 36, 0.0455265, 0.257012, 0.01648
30.0177, 1308, 4194304, 4194304, 174.297, 43, 2.32947, 47, 38, 0.0450135, 0.241628, 0.0122805
30.0188, 1925, 4194304, 4194304, 256.506, 64, 3.75408, 70, 53, 0.0459222, 0.294276, 0.00678375
30.0322, 1871, 4194304, 4194304, 249.2, 62, 5.07292, 69, 46, 0.0472652, 0.343472, 0.00840487
30.1153, 1912, 4194304, 4194304, 253.958, 63, 3.67173, 70, 54, 0.0462822, 0.333631, 0.00682709
30.0156, 1921, 4194304, 4194304, 256, 64, 3.47884, 72, 58, 0.0460213, 0.329742, 0.0192246
30.0476, 1873, 4194304, 4194304, 249.338, 62, 3.9869, 72, 57, 0.0471865, 0.297858, 0.00963029
30.0126, 1929, 4194304, 4194304, 257.092, 64, 4.59898, 73, 56, 0.0458261, 0.316584, 0.0260438
30.005, 2145, 4194304, 4194304, 285.952, 71, 3.72616, 77, 61, 0.041086, 0.152066, 0.00971293
30.0446, 2161, 4194304, 4194304, 287.705, 71, 3.24763, 78, 65, 0.0408166, 0.175337, 0.0217324
30.0444, 2159, 4194304, 4194304, 287.441, 71, 3.98907, 76, 56, 0.0409314, 0.140105, 0.0126035
30.0584, 2724, 4194304, 4194304, 362.494, 90, 4.54973, 97, 81, 0.0432432, 0.146202, 0.0123781
30.0343, 2741, 4194304, 4194304, 365.05, 91, 4.63631, 98, 81, 0.0429053, 0.18135, 0.00713511
30.0314, 2749, 4194304, 4194304, 366.15, 91, 4.91128, 100, 78, 0.0428407, 0.141051, 0.00989062
30.0386, 2744, 4194304, 4194304, 365.396, 91, 4.55111, 99, 85, 0.0429004, 0.16243, 0.00917
30.0377, 2764, 4194304, 4194304, 368.071, 92, 5.32064, 100, 81, 0.0426191, 0.15371, 0.00975391
30.1513, 2759, 4194304, 4194304, 366.021, 91, 5.17343, 101, 78, 0.0427492, 0.244075, 0.0134589
30.0378, 2748, 4194304, 4194304, 365.939, 91, 4.96713, 99, 80, 0.042839, 0.162377, 0.00938295
30.0337, 2762, 4194304, 4194304, 367.854, 91, 3.7553, 99, 79, 0.0426032, 0.158796, 0.00829421
30.0375, 2761, 4194304, 4194304, 367.674, 91, 3.3475, 97, 85, 0.0426315, 0.144406, 0.0127496
30.0406, 3291, 4194304, 4194304, 438.207, 109, 6.23524, 121, 93, 0.044773, 0.201469, 0.0141967
30.0313, 3288, 4194304, 4194304, 437.943, 109, 5.30246, 121, 98, 0.044793, 0.210794, 0.00721531
30.0375, 3285, 4194304, 4194304, 437.453, 109, 5.16275, 119, 94, 0.044879, 0.222055, 0.0122881
30.0263, 3279, 4194304, 4194304, 436.817, 109, 5.46925, 121, 95, 0.0449069, 0.203458, 0.0136521
30.0347, 3251, 4194304, 4194304, 432.965, 108, 5.21062, 117, 99, 0.0453389, 0.197592, 0.00828174
30.0146, 3293, 4194304, 4194304, 438.853, 109, 5.1894, 121, 99, 0.0447359, 0.223047, 0.00899553
30.0424, 3320, 4194304, 4194304, 442.042, 110, 3.89296, 120, 103, 0.0443763, 0.14982, 0.00842786
30.034, 3366, 4194304, 4194304, 448.291, 112, 4.17285, 120, 104, 0.0437366, 0.176787, 0.0100267
30.0511, 3204, 4194304, 4194304, 426.474, 106, 7.31311, 116, 87, 0.0459852, 0.17525, 0.00926553
30.0621, 3786, 4194304, 4194304, 503.758, 125, 7.29423, 138, 104, 0.0467497, 0.285632, 0.00981034
30.0768, 3782, 4194304, 4194304, 502.979, 125, 5.04702, 137, 113, 0.0468128, 0.232924, 0.00861136
30.0888, 3815, 4194304, 4194304, 507.165, 126, 5.07869, 135, 117, 0.0464115, 0.188472, 0.0125024
30.0654, 3757, 4194304, 4194304, 499.844, 124, 5.25838, 135, 116, 0.0470778, 0.173578, 0.00962416
30.044, 3735, 4194304, 4194304, 497.27, 124, 4.77168, 133, 115, 0.0473864, 0.256584, 0.0117484
30.0637, 3718, 4194304, 4194304, 494.682, 123, 7.76679, 139, 105, 0.0476116, 0.24533, 0.0142247
30.0323, 3764, 4194304, 4194304, 501.327, 125, 6.53338, 135, 108, 0.0470139, 0.261292, 0.00876401
30.0979, 3751, 4194304, 4194304, 498.507, 124, 7.2734, 138, 112, 0.0472051, 0.222985, 0.0173561
30.0346, 3776, 4194304, 4194304, 502.887, 125, 5.96628, 133, 109, 0.046836, 0.206839, 0.00914271
30.0539, 4214, 4194304, 4194304, 560.859, 140, 7.80664, 155, 119, 0.0489812, 0.237869, 0.0127226
30.0317, 4204, 4194304, 4194304, 559.942, 139, 6.43268, 155, 124, 0.0491055, 0.252823, 0.00887908
30.0348, 4200, 4194304, 4194304, 559.351, 139, 6.30098, 149, 126, 0.0491504, 0.260038, 0.0102101
30.0912, 4193, 4194304, 4194304, 557.371, 139, 6.47373, 154, 124, 0.0492813, 0.277858, 0.0124917
30.0706, 4179, 4194304, 4194304, 555.892, 138, 6.80635, 152, 121, 0.0494156, 0.231856, 0.00885531
30.0395, 4181, 4194304, 4194304, 556.734, 139, 7.9455, 155, 113, 0.0494037, 0.274518, 0.0128701
30.0609, 4186, 4194304, 4194304, 557.002, 139, 6.0497, 150, 121, 0.0493459, 0.263301, 0.0108203
30.1067, 4203, 4194304, 4194304, 558.414, 139, 6.49323, 152, 128, 0.0491815, 0.225602, 0.0100072
30.057, 4170, 4194304, 4194304, 554.946, 138, 7.00443, 157, 126, 0.0495481, 0.251324, 0.00803765
30.1111, 4507, 4194304, 4194304, 598.717, 149, 11.0375, 164, 106, 0.0524659, 0.441729, 0.0118345
30.076, 4525, 4194304, 4194304, 601.81, 150, 7.85859, 165, 138, 0.0522448, 0.311029, 0.0119595
30.0662, 4581, 4194304, 4194304, 609.455, 152, 8.21577, 167, 129, 0.0515667, 0.349152, 0.0177097
30.0673, 4499, 4194304, 4194304, 598.525, 149, 7.55181, 162, 133, 0.0525826, 0.327005, 0.0143622
30.0915, 4479, 4194304, 4194304, 595.384, 148, 9.67572, 170, 131, 0.052797, 0.304824, 0.0138024
30.1065, 4491, 4194304, 4194304, 596.681, 149, 8.11016, 166, 135, 0.0526701, 0.323138, 0.0122205
30.0423, 4570, 4194304, 4194304, 608.476, 152, 7.20321, 171, 139, 0.0516638, 0.23518, 0.00823399
30.0499, 4492, 4194304, 4194304, 597.939, 149, 10.7599, 169, 113, 0.0525982, 0.27226, 0.0108773
30.0479, 4462, 4194304, 4194304, 593.985, 148, 9.49295, 166, 122, 0.0529599, 0.356746, 0.00984493
30.0647, 4785, 4194304, 4194304, 636.626, 159, 9.4263, 179, 140, 0.0556182, 0.295861, 0.0103115
30.1298, 4826, 4194304, 4194304, 640.694, 160, 8.60907, 179, 140, 0.0551606, 0.276507, 0.0134242
30.066, 4858, 4194304, 4194304, 646.311, 161, 8.37237, 173, 144, 0.0547603, 0.353361, 0.00988056
30.0706, 4793, 4194304, 4194304, 637.566, 159, 8.43535, 178, 137, 0.0555036, 0.348782, 0.00964542
30.1142, 4792, 4194304, 4194304, 636.51, 159, 11.4854, 178, 127, 0.0555564, 0.289951, 0.0118153
30.1019, 4813, 4194304, 4194304, 639.562, 159, 9.97474, 179, 133, 0.0552908, 0.360196, 0.0189859
30.1011, 4755, 4194304, 4194304, 631.871, 157, 13.0435, 176, 113, 0.0560019, 0.497085, 0.00837224
30.0724, 4781, 4194304, 4194304, 635.932, 158, 9.70371, 181, 140, 0.0556945, 0.367412, 0.0153183
30.044, 4709, 4194304, 4194304, 626.946, 156, 10.616, 177, 120, 0.0564676, 0.381265, 0.0134223
30.1124, 5022, 4194304, 4194304, 667.102, 166, 10.6568, 189, 141, 0.058932, 0.358073, 0.0176048
30.07, 5044, 4194304, 4194304, 670.967, 167, 15.3085, 185, 123, 0.0586618, 0.414286, 0.0108253
30.0479, 5022, 4194304, 4194304, 668.533, 167, 13.1247, 189, 142, 0.0589211, 0.348608, 0.0146603
30.0675, 4976, 4194304, 4194304, 661.976, 165, 12.9952, 187, 141, 0.0594778, 0.529047, 0.0135376
30.0857, 5180, 4194304, 4194304, 688.7, 172, 9.75681, 189, 150, 0.0571206, 0.359919, 0.0117578
30.0468, 5046, 4194304, 4194304, 671.753, 167, 9.77941, 184, 137, 0.058643, 0.395451, 0.0140646
30.0845, 5089, 4194304, 4194304, 676.628, 169, 10.1692, 185, 151, 0.0581721, 0.350416, 0.0106672
30.0713, 5009, 4194304, 4194304, 666.284, 166, 13.4245, 192, 136, 0.0590637, 0.367137, 0.0127439
